comparates,Stat|STL–SN,Transformer|STL–SN,Stat|Direct,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,Neural|Direct,ML|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0021
1693 / 1 / 1306
 $\leq$ 1e-04","-0.0027
1133 / 0 / 1867
 $\leq$ 1e-04","-0.0350
1255 / 0 / 1745
 $\leq$ 1e-04","-0.0402
1386 / 0 / 1614
0.0160","-0.0526
2034 / 0 / 966
 $\leq$ 1e-04","-0.0556
2042 / 0 / 958
 $\leq$ 1e-04","-0.0596
2048 / 0 / 952
 $\leq$ 1e-04","-0.2516
2205 / 0 / 795
 $\leq$ 1e-04","-0.2605
2059 / 0 / 941
 $\leq$ 1e-04","-0.3664
2059 / 0 / 941
 $\leq$ 1e-04","-0.3716
2199 / 0 / 801
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0021
1306 / 1 / 1693
 $\leq$ 1e-04",-,"-0.0006
1138 / 0 / 1862
 $\leq$ 1e-04","-0.0329
1229 / 0 / 1771
 $\leq$ 1e-04","-0.0381
1336 / 0 / 1664
0.0009","-0.0505
2012 / 0 / 988
 $\leq$ 1e-04","-0.0535
2011 / 0 / 989
 $\leq$ 1e-04","-0.0575
2020 / 0 / 980
 $\leq$ 1e-04","-0.2495
2203 / 0 / 797
 $\leq$ 1e-04","-0.2584
2040 / 0 / 960
 $\leq$ 1e-04","-0.3643
2078 / 0 / 922
 $\leq$ 1e-04","-0.3695
2207 / 0 / 793
 $\leq$ 1e-04"
Stat|Direct,"0.0027
1867 / 0 / 1133
 $\leq$ 1e-04","0.0006
1862 / 0 / 1138
 $\leq$ 1e-04",-,"-0.0323
1817 / 0 / 1183
 $\leq$ 1e-04","-0.0375
1860 / 0 / 1140
 $\leq$ 1e-04","-0.0499
1997 / 3 / 1000
 $\leq$ 1e-04","-0.0529
2011 / 4 / 985
 $\leq$ 1e-04","-0.0569
2017 / 2 / 981
 $\leq$ 1e-04","-0.2489
2175 / 0 / 825
 $\leq$ 1e-04","-0.2578
2159 / 0 / 841
 $\leq$ 1e-04","-0.3637
2180 / 0 / 820
 $\leq$ 1e-04","-0.3689
2225 / 0 / 775
 $\leq$ 1e-04"
Stat|STL–AC,"0.0350
1745 / 0 / 1255
 $\leq$ 1e-04","0.0329
1771 / 0 / 1229
 $\leq$ 1e-04","0.0323
1183 / 0 / 1817
 $\leq$ 1e-04",-,"-0.0052
1807 / 0 / 1193
 $\leq$ 1e-04","-0.0176
2007 / 0 / 993
 $\leq$ 1e-04","-0.0206
2013 / 0 / 987
 $\leq$ 1e-04","-0.0246
2015 / 0 / 985
 $\leq$ 1e-04","-0.2166
2154 / 0 / 846
 $\leq$ 1e-04","-0.2255
2139 / 0 / 861
 $\leq$ 1e-04","-0.3314
2103 / 0 / 897
 $\leq$ 1e-04","-0.3365
2160 / 0 / 840
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0402
1614 / 0 / 1386
0.0160","0.0381
1664 / 0 / 1336
0.0009","0.0375
1140 / 0 / 1860
 $\leq$ 1e-04","0.0052
1193 / 0 / 1807
 $\leq$ 1e-04",-,"-0.0124
1996 / 0 / 1004
 $\leq$ 1e-04","-0.0154
1998 / 0 / 1002
 $\leq$ 1e-04","-0.0194
2002 / 0 / 998
 $\leq$ 1e-04","-0.2114
2149 / 0 / 851
 $\leq$ 1e-04","-0.2203
2124 / 0 / 876
 $\leq$ 1e-04","-0.3262
2114 / 0 / 886
 $\leq$ 1e-04","-0.3313
2165 / 0 / 835
 $\leq$ 1e-04"
Transformer|Direct,"0.0526
966 / 0 / 2034
 $\leq$ 1e-04","0.0505
988 / 0 / 2012
 $\leq$ 1e-04","0.0499
1000 / 3 / 1997
 $\leq$ 1e-04","0.0176
993 / 0 / 2007
 $\leq$ 1e-04","0.0124
1004 / 0 / 1996
 $\leq$ 1e-04",-,"-0.0030
1838 / 11 / 1151
 $\leq$ 1e-04","-0.0070
1872 / 12 / 1116
 $\leq$ 1e-04","-0.1990
1815 / 0 / 1185
 $\leq$ 1e-04","-0.2079
1718 / 0 / 1282
 $\leq$ 1e-04","-0.3138
1875 / 0 / 1125
 $\leq$ 1e-04","-0.3190
2005 / 0 / 995
 $\leq$ 1e-04"
Neural|Direct,"0.0556
958 / 0 / 2042
 $\leq$ 1e-04","0.0535
989 / 0 / 2011
 $\leq$ 1e-04","0.0529
985 / 4 / 2011
 $\leq$ 1e-04","0.0206
987 / 0 / 2013
 $\leq$ 1e-04","0.0154
1002 / 0 / 1998
 $\leq$ 1e-04","0.0030
1151 / 11 / 1838
 $\leq$ 1e-04",-,"-0.0040
1910 / 10 / 1080
 $\leq$ 1e-04","-0.1960
1816 / 0 / 1184
 $\leq$ 1e-04","-0.2049
1693 / 0 / 1307
 $\leq$ 1e-04","-0.3108
1871 / 0 / 1129
 $\leq$ 1e-04","-0.3159
1999 / 0 / 1001
 $\leq$ 1e-04"
ML|Direct,"0.0596
952 / 0 / 2048
 $\leq$ 1e-04","0.0575
980 / 0 / 2020
 $\leq$ 1e-04","0.0569
981 / 2 / 2017
 $\leq$ 1e-04","0.0246
985 / 0 / 2015
 $\leq$ 1e-04","0.0194
998 / 0 / 2002
 $\leq$ 1e-04","0.0070
1116 / 12 / 1872
 $\leq$ 1e-04","0.0040
1080 / 10 / 1910
 $\leq$ 1e-04",-,"-0.1920
1790 / 0 / 1210
 $\leq$ 1e-04","-0.2009
1674 / 0 / 1326
 $\leq$ 1e-04","-0.3068
1865 / 0 / 1135
 $\leq$ 1e-04","-0.3120
1994 / 0 / 1006
 $\leq$ 1e-04"
Neural|STL–SN,"0.2516
795 / 0 / 2205
 $\leq$ 1e-04","0.2495
797 / 0 / 2203
 $\leq$ 1e-04","0.2489
825 / 0 / 2175
 $\leq$ 1e-04","0.2166
846 / 0 / 2154
 $\leq$ 1e-04","0.2114
851 / 0 / 2149
 $\leq$ 1e-04","0.1990
1185 / 0 / 1815
 $\leq$ 1e-04","0.1960
1184 / 0 / 1816
 $\leq$ 1e-04","0.1920
1210 / 0 / 1790
 $\leq$ 1e-04",-,"-0.0089
1246 / 0 / 1754
 $\leq$ 1e-04","-0.1148
1848 / 0 / 1152
 $\leq$ 1e-04","-0.1199
2180 / 0 / 820
 $\leq$ 1e-04"
Neural|STL–AC,"0.2605
941 / 0 / 2059
 $\leq$ 1e-04","0.2584
960 / 0 / 2040
 $\leq$ 1e-04","0.2578
841 / 0 / 2159
 $\leq$ 1e-04","0.2255
861 / 0 / 2139
 $\leq$ 1e-04","0.2203
876 / 0 / 2124
 $\leq$ 1e-04","0.2079
1282 / 0 / 1718
 $\leq$ 1e-04","0.2049
1307 / 0 / 1693
 $\leq$ 1e-04","0.2009
1326 / 0 / 1674
 $\leq$ 1e-04","0.0089
1754 / 0 / 1246
 $\leq$ 1e-04",-,"-0.1059
2084 / 0 / 916
 $\leq$ 1e-04","-0.1111
2145 / 0 / 855
 $\leq$ 1e-04"
