comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Neural|Direct,ML|Direct,Transformer|Direct,Neural|STL–AC,Neural|STL–SN,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0145
1821 / 0 / 1143
 $\leq$ 1e-04","-0.0191
1850 / 0 / 1114
 $\leq$ 1e-04","-0.0298
1750 / 0 / 1214
 $\leq$ 1e-04","-0.0374
1760 / 0 / 1204
 $\leq$ 1e-04","-0.0400
1969 / 0 / 995
 $\leq$ 1e-04","-0.0426
1967 / 0 / 997
 $\leq$ 1e-04","-0.0489
1969 / 0 / 995
 $\leq$ 1e-04","-0.0619
1900 / 0 / 1064
 $\leq$ 1e-04","-0.0629
1981 / 0 / 983
 $\leq$ 1e-04","-0.0710
1884 / 0 / 1080
 $\leq$ 1e-04","-0.0868
2003 / 0 / 961
 $\leq$ 1e-04"
Stat|STL–SN,"0.0145
1143 / 0 / 1821
 $\leq$ 1e-04",-,"-0.0046
1797 / 1 / 1166
 $\leq$ 1e-04","-0.0153
1280 / 0 / 1684
 $\leq$ 1e-04","-0.0229
1348 / 0 / 1616
0.0006","-0.0255
1832 / 0 / 1132
 $\leq$ 1e-04","-0.0281
1817 / 0 / 1147
 $\leq$ 1e-04","-0.0344
1857 / 0 / 1107
 $\leq$ 1e-04","-0.0473
1563 / 0 / 1401
 $\leq$ 1e-04","-0.0484
1863 / 0 / 1101
 $\leq$ 1e-04","-0.0565
1579 / 0 / 1385
 $\leq$ 1e-04","-0.0723
1849 / 0 / 1115
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0191
1114 / 0 / 1850
 $\leq$ 1e-04","0.0046
1166 / 1 / 1797
 $\leq$ 1e-04",-,"-0.0107
1213 / 0 / 1751
 $\leq$ 1e-04","-0.0183
1267 / 0 / 1697
 $\leq$ 1e-04","-0.0209
1813 / 0 / 1151
 $\leq$ 1e-04","-0.0235
1812 / 0 / 1152
 $\leq$ 1e-04","-0.0298
1837 / 0 / 1127
 $\leq$ 1e-04","-0.0427
1521 / 0 / 1443
 $\leq$ 1e-04","-0.0437
1835 / 0 / 1129
 $\leq$ 1e-04","-0.0519
1558 / 0 / 1406
 $\leq$ 1e-04","-0.0677
1857 / 0 / 1107
 $\leq$ 1e-04"
Stat|STL–AC,"0.0298
1214 / 0 / 1750
 $\leq$ 1e-04","0.0153
1684 / 0 / 1280
 $\leq$ 1e-04","0.0107
1751 / 0 / 1213
 $\leq$ 1e-04",-,"-0.0076
1729 / 1 / 1234
 $\leq$ 1e-04","-0.0102
1887 / 0 / 1077
 $\leq$ 1e-04","-0.0128
1893 / 0 / 1071
 $\leq$ 1e-04","-0.0191
1902 / 0 / 1062
 $\leq$ 1e-04","-0.0321
1872 / 0 / 1092
 $\leq$ 1e-04","-0.0331
1919 / 0 / 1045
 $\leq$ 1e-04","-0.0412
1733 / 0 / 1231
 $\leq$ 1e-04","-0.0570
1927 / 0 / 1037
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0374
1204 / 0 / 1760
 $\leq$ 1e-04","0.0229
1616 / 0 / 1348
0.0006","0.0183
1697 / 0 / 1267
 $\leq$ 1e-04","0.0076
1234 / 1 / 1729
 $\leq$ 1e-04",-,"-0.0026
1885 / 0 / 1079
 $\leq$ 1e-04","-0.0052
1882 / 0 / 1082
 $\leq$ 1e-04","-0.0115
1888 / 0 / 1076
 $\leq$ 1e-04","-0.0244
1747 / 0 / 1217
 $\leq$ 1e-04","-0.0255
1884 / 0 / 1080
 $\leq$ 1e-04","-0.0336
1730 / 0 / 1234
 $\leq$ 1e-04","-0.0494
1897 / 0 / 1067
 $\leq$ 1e-04"
Neural|Direct,"0.0400
995 / 0 / 1969
 $\leq$ 1e-04","0.0255
1132 / 0 / 1832
 $\leq$ 1e-04","0.0209
1151 / 0 / 1813
 $\leq$ 1e-04","0.0102
1077 / 0 / 1887
 $\leq$ 1e-04","0.0026
1079 / 0 / 1885
 $\leq$ 1e-04",-,"-0.0026
1555 / 9 / 1400
 $\leq$ 1e-04","-0.0089
1855 / 9 / 1100
 $\leq$ 1e-04","-0.0218
1139 / 0 / 1825
 $\leq$ 1e-04","-0.0229
1351 / 0 / 1613
0.0005","-0.0310
1239 / 0 / 1725
 $\leq$ 1e-04","-0.0468
1547 / 0 / 1417
 $\leq$ 1e-04"
ML|Direct,"0.0426
997 / 0 / 1967
 $\leq$ 1e-04","0.0281
1147 / 0 / 1817
 $\leq$ 1e-04","0.0235
1152 / 0 / 1812
 $\leq$ 1e-04","0.0128
1071 / 0 / 1893
 $\leq$ 1e-04","0.0052
1082 / 0 / 1882
 $\leq$ 1e-04","0.0026
1400 / 9 / 1555
 $\leq$ 1e-04",-,"-0.0063
1855 / 11 / 1098
 $\leq$ 1e-04","-0.0193
1122 / 0 / 1842
 $\leq$ 1e-04","-0.0203
1328 / 0 / 1636
 $\leq$ 1e-04","-0.0284
1222 / 0 / 1742
 $\leq$ 1e-04","-0.0442
1527 / 0 / 1437
0.0004"
Transformer|Direct,"0.0489
995 / 0 / 1969
 $\leq$ 1e-04","0.0344
1107 / 0 / 1857
 $\leq$ 1e-04","0.0298
1127 / 0 / 1837
 $\leq$ 1e-04","0.0191
1062 / 0 / 1902
 $\leq$ 1e-04","0.0115
1076 / 0 / 1888
 $\leq$ 1e-04","0.0089
1100 / 9 / 1855
 $\leq$ 1e-04","0.0063
1098 / 11 / 1855
 $\leq$ 1e-04",-,"-0.0130
1094 / 0 / 1870
 $\leq$ 1e-04","-0.0140
1265 / 0 / 1699
 $\leq$ 1e-04","-0.0221
1168 / 0 / 1796
 $\leq$ 1e-04","-0.0379
1421 / 0 / 1543
0.7108"
Neural|STL–AC,"0.0619
1064 / 0 / 1900
 $\leq$ 1e-04","0.0473
1401 / 0 / 1563
 $\leq$ 1e-04","0.0427
1443 / 0 / 1521
 $\leq$ 1e-04","0.0321
1092 / 0 / 1872
 $\leq$ 1e-04","0.0244
1217 / 0 / 1747
 $\leq$ 1e-04","0.0218
1825 / 0 / 1139
 $\leq$ 1e-04","0.0193
1842 / 0 / 1122
 $\leq$ 1e-04","0.0130
1870 / 0 / 1094
 $\leq$ 1e-04",-,"-0.0010
1854 / 0 / 1110
 $\leq$ 1e-04","-0.0092
1702 / 0 / 1262
 $\leq$ 1e-04","-0.0249
1926 / 0 / 1038
 $\leq$ 1e-04"
Neural|STL–SN,"0.0629
983 / 0 / 1981
 $\leq$ 1e-04","0.0484
1101 / 0 / 1863
 $\leq$ 1e-04","0.0437
1129 / 0 / 1835
 $\leq$ 1e-04","0.0331
1045 / 0 / 1919
 $\leq$ 1e-04","0.0255
1080 / 0 / 1884
 $\leq$ 1e-04","0.0229
1613 / 0 / 1351
0.0005","0.0203
1636 / 0 / 1328
 $\leq$ 1e-04","0.0140
1699 / 0 / 1265
 $\leq$ 1e-04","0.0010
1110 / 0 / 1854
 $\leq$ 1e-04",-,"-0.0081
1362 / 0 / 1602
0.0005","-0.0239
1881 / 0 / 1083
 $\leq$ 1e-04"
