comparates,Transformer|STL–SN,Stat|STL–SN,Stat|STL–AC,Transformer|STL–AC,Stat|Direct,Neural|Direct,ML|Direct,Transformer|Direct,Neural|STL–AC,Neural|STL–SN,ML|STL–SN,ML|STL–AC
Transformer|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0033
1210 / 1 / 1789
 $\leq$ 1e-04","-0.0149
1330 / 0 / 1670
 $\leq$ 1e-04","-0.0222
1404 / 0 / 1596
 $\leq$ 1e-04","-0.0292
1205 / 0 / 1795
 $\leq$ 1e-04","-0.0543
2069 / 0 / 931
 $\leq$ 1e-04","-0.0570
2070 / 0 / 930
 $\leq$ 1e-04","-0.0588
2070 / 0 / 930
 $\leq$ 1e-04","-0.2179
2079 / 0 / 921
 $\leq$ 1e-04","-0.2217
2258 / 0 / 742
 $\leq$ 1e-04","-0.3222
2290 / 0 / 710
 $\leq$ 1e-04","-0.3296
2157 / 0 / 843
 $\leq$ 1e-04"
Stat|STL–SN,"0.0033
1789 / 1 / 1210
 $\leq$ 1e-04",-,"-0.0116
1358 / 0 / 1642
 $\leq$ 1e-04","-0.0190
1439 / 0 / 1561
0.0011","-0.0259
1226 / 0 / 1774
 $\leq$ 1e-04","-0.0511
2069 / 0 / 931
 $\leq$ 1e-04","-0.0538
2076 / 0 / 924
 $\leq$ 1e-04","-0.0555
2076 / 0 / 924
 $\leq$ 1e-04","-0.2146
2076 / 0 / 924
 $\leq$ 1e-04","-0.2184
2242 / 0 / 758
 $\leq$ 1e-04","-0.3189
2281 / 0 / 719
 $\leq$ 1e-04","-0.3263
2143 / 0 / 857
 $\leq$ 1e-04"
Stat|STL–AC,"0.0149
1670 / 0 / 1330
 $\leq$ 1e-04","0.0116
1642 / 0 / 1358
 $\leq$ 1e-04",-,"-0.0074
1749 / 0 / 1251
 $\leq$ 1e-04","-0.0144
1241 / 0 / 1759
 $\leq$ 1e-04","-0.0395
2116 / 0 / 884
 $\leq$ 1e-04","-0.0422
2126 / 0 / 874
 $\leq$ 1e-04","-0.0440
2118 / 0 / 882
 $\leq$ 1e-04","-0.2031
2240 / 0 / 760
 $\leq$ 1e-04","-0.2069
2297 / 0 / 703
 $\leq$ 1e-04","-0.3073
2300 / 0 / 700
 $\leq$ 1e-04","-0.3147
2236 / 0 / 764
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0222
1596 / 0 / 1404
 $\leq$ 1e-04","0.0190
1561 / 0 / 1439
0.0011","0.0074
1251 / 0 / 1749
 $\leq$ 1e-04",-,"-0.0070
1231 / 0 / 1769
 $\leq$ 1e-04","-0.0321
2097 / 0 / 903
 $\leq$ 1e-04","-0.0348
2109 / 0 / 891
 $\leq$ 1e-04","-0.0366
2101 / 0 / 899
 $\leq$ 1e-04","-0.1957
2231 / 0 / 769
 $\leq$ 1e-04","-0.1995
2306 / 0 / 694
 $\leq$ 1e-04","-0.2999
2312 / 0 / 688
 $\leq$ 1e-04","-0.3074
2238 / 0 / 762
 $\leq$ 1e-04"
Stat|Direct,"0.0292
1795 / 0 / 1205
 $\leq$ 1e-04","0.0259
1774 / 0 / 1226
 $\leq$ 1e-04","0.0144
1759 / 0 / 1241
 $\leq$ 1e-04","0.0070
1769 / 0 / 1231
 $\leq$ 1e-04",-,"-0.0251
1988 / 0 / 1012
 $\leq$ 1e-04","-0.0278
1997 / 0 / 1003
 $\leq$ 1e-04","-0.0296
1999 / 0 / 1001
 $\leq$ 1e-04","-0.1887
2120 / 0 / 880
 $\leq$ 1e-04","-0.1925
2168 / 0 / 832
 $\leq$ 1e-04","-0.2929
2210 / 0 / 790
 $\leq$ 1e-04","-0.3004
2163 / 0 / 837
 $\leq$ 1e-04"
Neural|Direct,"0.0543
931 / 0 / 2069
 $\leq$ 1e-04","0.0511
931 / 0 / 2069
 $\leq$ 1e-04","0.0395
884 / 0 / 2116
 $\leq$ 1e-04","0.0321
903 / 0 / 2097
 $\leq$ 1e-04","0.0251
1012 / 0 / 1988
 $\leq$ 1e-04",-,"-0.0027
1258 / 10 / 1732
0.0001","-0.0045
1808 / 9 / 1183
 $\leq$ 1e-04","-0.1636
1550 / 0 / 1450
 $\leq$ 1e-04","-0.1674
1773 / 0 / 1227
 $\leq$ 1e-04","-0.2678
2044 / 0 / 956
 $\leq$ 1e-04","-0.2753
1851 / 0 / 1149
 $\leq$ 1e-04"
ML|Direct,"0.0570
930 / 0 / 2070
 $\leq$ 1e-04","0.0538
924 / 0 / 2076
 $\leq$ 1e-04","0.0422
874 / 0 / 2126
 $\leq$ 1e-04","0.0348
891 / 0 / 2109
 $\leq$ 1e-04","0.0278
1003 / 0 / 1997
 $\leq$ 1e-04","0.0027
1732 / 10 / 1258
0.0001",-,"-0.0018
1759 / 12 / 1229
 $\leq$ 1e-04","-0.1609
1542 / 0 / 1458
 $\leq$ 1e-04","-0.1647
1749 / 0 / 1251
 $\leq$ 1e-04","-0.2651
2031 / 0 / 969
 $\leq$ 1e-04","-0.2726
1850 / 0 / 1150
 $\leq$ 1e-04"
Transformer|Direct,"0.0588
930 / 0 / 2070
 $\leq$ 1e-04","0.0555
924 / 0 / 2076
 $\leq$ 1e-04","0.0440
882 / 0 / 2118
 $\leq$ 1e-04","0.0366
899 / 0 / 2101
 $\leq$ 1e-04","0.0296
1001 / 0 / 1999
 $\leq$ 1e-04","0.0045
1183 / 9 / 1808
 $\leq$ 1e-04","0.0018
1229 / 12 / 1759
 $\leq$ 1e-04",-,"-0.1591
1530 / 0 / 1470
 $\leq$ 1e-04","-0.1629
1715 / 0 / 1285
 $\leq$ 1e-04","-0.2633
2015 / 0 / 985
 $\leq$ 1e-04","-0.2708
1840 / 0 / 1160
 $\leq$ 1e-04"
Neural|STL–AC,"0.2179
921 / 0 / 2079
 $\leq$ 1e-04","0.2146
924 / 0 / 2076
 $\leq$ 1e-04","0.2031
760 / 0 / 2240
 $\leq$ 1e-04","0.1957
769 / 0 / 2231
 $\leq$ 1e-04","0.1887
880 / 0 / 2120
 $\leq$ 1e-04","0.1636
1450 / 0 / 1550
 $\leq$ 1e-04","0.1609
1458 / 0 / 1542
 $\leq$ 1e-04","0.1591
1470 / 0 / 1530
 $\leq$ 1e-04",-,"-0.0038
1865 / 0 / 1135
 $\leq$ 1e-04","-0.1042
2272 / 0 / 728
 $\leq$ 1e-04","-0.1117
2243 / 0 / 757
 $\leq$ 1e-04"
Neural|STL–SN,"0.2217
742 / 0 / 2258
 $\leq$ 1e-04","0.2184
758 / 0 / 2242
 $\leq$ 1e-04","0.2069
703 / 0 / 2297
 $\leq$ 1e-04","0.1995
694 / 0 / 2306
 $\leq$ 1e-04","0.1925
832 / 0 / 2168
 $\leq$ 1e-04","0.1674
1227 / 0 / 1773
 $\leq$ 1e-04","0.1647
1251 / 0 / 1749
 $\leq$ 1e-04","0.1629
1285 / 0 / 1715
 $\leq$ 1e-04","0.0038
1135 / 0 / 1865
 $\leq$ 1e-04",-,"-0.1004
2261 / 0 / 739
 $\leq$ 1e-04","-0.1079
1921 / 0 / 1079
 $\leq$ 1e-04"
