comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,Neural|Direct,ML|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0112
4783 / 0 / 2842
 $\leq$ 1e-04","-0.0144
4841 / 0 / 2784
 $\leq$ 1e-04","-0.0326
4668 / 0 / 2957
 $\leq$ 1e-04","-0.0396
4716 / 0 / 2909
 $\leq$ 1e-04","-0.0856
5232 / 4 / 2389
 $\leq$ 1e-04","-0.0868
5243 / 4 / 2378
 $\leq$ 1e-04","-0.0881
5248 / 4 / 2373
 $\leq$ 1e-04","-0.1870
5496 / 0 / 2129
 $\leq$ 1e-04","-0.1969
5422 / 0 / 2203
 $\leq$ 1e-04","-0.2684
5484 / 0 / 2141
 $\leq$ 1e-04","-0.2703
5637 / 0 / 1988
 $\leq$ 1e-04"
Stat|STL–SN,"0.0112
2842 / 0 / 4783
 $\leq$ 1e-04",-,"-0.0032
4648 / 1 / 2976
 $\leq$ 1e-04","-0.0215
3346 / 0 / 4279
 $\leq$ 1e-04","-0.0284
3580 / 0 / 4045
 $\leq$ 1e-04","-0.0744
5235 / 0 / 2390
 $\leq$ 1e-04","-0.0757
5233 / 0 / 2392
 $\leq$ 1e-04","-0.0769
5241 / 0 / 2384
 $\leq$ 1e-04","-0.1759
5532 / 0 / 2093
 $\leq$ 1e-04","-0.1858
5066 / 0 / 2559
 $\leq$ 1e-04","-0.2573
5160 / 0 / 2465
 $\leq$ 1e-04","-0.2591
5545 / 0 / 2080
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0144
2784 / 0 / 4841
 $\leq$ 1e-04","0.0032
2976 / 1 / 4648
 $\leq$ 1e-04",-,"-0.0183
3134 / 0 / 4491
 $\leq$ 1e-04","-0.0252
3286 / 0 / 4339
 $\leq$ 1e-04","-0.0712
5217 / 0 / 2408
 $\leq$ 1e-04","-0.0725
5197 / 0 / 2428
 $\leq$ 1e-04","-0.0737
5212 / 0 / 2413
 $\leq$ 1e-04","-0.1727
5517 / 0 / 2108
 $\leq$ 1e-04","-0.1826
5029 / 0 / 2596
 $\leq$ 1e-04","-0.2541
5128 / 0 / 2497
 $\leq$ 1e-04","-0.2559
5577 / 0 / 2048
 $\leq$ 1e-04"
Stat|STL–AC,"0.0326
2957 / 0 / 4668
 $\leq$ 1e-04","0.0215
4279 / 0 / 3346
 $\leq$ 1e-04","0.0183
4491 / 0 / 3134
 $\leq$ 1e-04",-,"-0.0070
4456 / 1 / 3168
 $\leq$ 1e-04","-0.0529
5325 / 0 / 2300
 $\leq$ 1e-04","-0.0542
5319 / 0 / 2306
 $\leq$ 1e-04","-0.0554
5329 / 0 / 2296
 $\leq$ 1e-04","-0.1544
5649 / 0 / 1976
 $\leq$ 1e-04","-0.1643
5554 / 0 / 2071
 $\leq$ 1e-04","-0.2358
5425 / 0 / 2200
 $\leq$ 1e-04","-0.2376
5685 / 0 / 1940
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0396
2909 / 0 / 4716
 $\leq$ 1e-04","0.0284
4045 / 0 / 3580
 $\leq$ 1e-04","0.0252
4339 / 0 / 3286
 $\leq$ 1e-04","0.0070
3168 / 1 / 4456
 $\leq$ 1e-04",-,"-0.0460
5283 / 0 / 2342
 $\leq$ 1e-04","-0.0472
5285 / 0 / 2340
 $\leq$ 1e-04","-0.0485
5299 / 0 / 2326
 $\leq$ 1e-04","-0.1474
5616 / 0 / 2009
 $\leq$ 1e-04","-0.1573
5464 / 0 / 2161
 $\leq$ 1e-04","-0.2288
5427 / 0 / 2198
 $\leq$ 1e-04","-0.2307
5666 / 0 / 1959
 $\leq$ 1e-04"
Transformer|Direct,"0.0856
2389 / 4 / 5232
 $\leq$ 1e-04","0.0744
2390 / 0 / 5235
 $\leq$ 1e-04","0.0712
2408 / 0 / 5217
 $\leq$ 1e-04","0.0529
2300 / 0 / 5325
 $\leq$ 1e-04","0.0460
2342 / 0 / 5283
 $\leq$ 1e-04",-,"-0.0012
3751 / 29 / 3845
0.0013","-0.0025
3655 / 37 / 3933
0.0722","-0.1014
4066 / 0 / 3559
 $\leq$ 1e-04","-0.1114
3765 / 0 / 3860
 $\leq$ 1e-04","-0.1828
4349 / 1 / 3275
 $\leq$ 1e-04","-0.1847
4825 / 0 / 2800
 $\leq$ 1e-04"
Neural|Direct,"0.0868
2378 / 4 / 5243
 $\leq$ 1e-04","0.0757
2392 / 0 / 5233
 $\leq$ 1e-04","0.0725
2428 / 0 / 5197
 $\leq$ 1e-04","0.0542
2306 / 0 / 5319
 $\leq$ 1e-04","0.0472
2340 / 0 / 5285
 $\leq$ 1e-04","0.0012
3845 / 29 / 3751
0.0013",-,"-0.0012
3785 / 28 / 3812
0.0010","-0.1002
4081 / 0 / 3544
 $\leq$ 1e-04","-0.1101
3724 / 0 / 3901
 $\leq$ 1e-04","-0.1816
4346 / 0 / 3279
 $\leq$ 1e-04","-0.1835
4823 / 0 / 2802
 $\leq$ 1e-04"
ML|Direct,"0.0881
2373 / 4 / 5248
 $\leq$ 1e-04","0.0769
2384 / 0 / 5241
 $\leq$ 1e-04","0.0737
2413 / 0 / 5212
 $\leq$ 1e-04","0.0554
2296 / 0 / 5329
 $\leq$ 1e-04","0.0485
2326 / 0 / 5299
 $\leq$ 1e-04","0.0025
3933 / 37 / 3655
0.0722","0.0012
3812 / 28 / 3785
0.0010",-,"-0.0990
4059 / 0 / 3566
 $\leq$ 1e-04","-0.1089
3705 / 0 / 3920
 $\leq$ 1e-04","-0.1804
4344 / 0 / 3281
 $\leq$ 1e-04","-0.1822
4786 / 0 / 2839
 $\leq$ 1e-04"
Neural|STL–SN,"0.1870
2129 / 0 / 5496
 $\leq$ 1e-04","0.1759
2093 / 0 / 5532
 $\leq$ 1e-04","0.1727
2108 / 0 / 5517
 $\leq$ 1e-04","0.1544
1976 / 0 / 5649
 $\leq$ 1e-04","0.1474
2009 / 0 / 5616
 $\leq$ 1e-04","0.1014
3559 / 0 / 4066
 $\leq$ 1e-04","0.1002
3544 / 0 / 4081
 $\leq$ 1e-04","0.0990
3566 / 0 / 4059
 $\leq$ 1e-04",-,"-0.0099
3169 / 0 / 4456
 $\leq$ 1e-04","-0.0814
4607 / 0 / 3018
 $\leq$ 1e-04","-0.0833
5629 / 0 / 1996
 $\leq$ 1e-04"
Neural|STL–AC,"0.1969
2203 / 0 / 5422
 $\leq$ 1e-04","0.1858
2559 / 0 / 5066
 $\leq$ 1e-04","0.1826
2596 / 0 / 5029
 $\leq$ 1e-04","0.1643
2071 / 0 / 5554
 $\leq$ 1e-04","0.1573
2161 / 0 / 5464
 $\leq$ 1e-04","0.1114
3860 / 0 / 3765
 $\leq$ 1e-04","0.1101
3901 / 0 / 3724
 $\leq$ 1e-04","0.1089
3920 / 0 / 3705
 $\leq$ 1e-04","0.0099
4456 / 0 / 3169
 $\leq$ 1e-04",-,"-0.0715
5351 / 0 / 2274
 $\leq$ 1e-04","-0.0733
5560 / 0 / 2065
 $\leq$ 1e-04"
