feature_name,model_name,best_config,best_decomp,best_median,ref_median,delta,n_common,p_raw,significant,best_decomp_label
feature_non_normality,AutoXGBoost,finetuned,without_stl,0.8936,1.0061,0.1124,8949,3.2033767414122694e-20,✓,Direct
feature_non_normality,AutoLSTM,finetuned,stl_model_all_components,0.9106,1.0039,0.0933,8949,1.0940383638045639e-40,✓,STL-AC
feature_non_normality,AutoRandomForest,finetuned,without_stl,0.9194,0.9936,0.0742,8949,0.5848433336939204,✓,Direct
feature_non_normality,AutoNHITS,finetuned,without_stl,0.8325,1.0018,0.1693,8949,6.252072710123188e-67,✓,Direct
feature_non_normality,AutoTFT,finetuned,without_stl,0.8656,0.9993,0.1337,8949,7.710167761972119e-39,✓,Direct
feature_non_normality,AutoPatchTST,finetuned,without_stl,0.8567,1.0028,0.1461,8949,1.6331153453169287e-120,✓,Direct
feature_non_normality,AutoRidge,global,stl_model_all_components,0.8363,1.0041,0.1678,8949,6.8101178648444525e-273,✓,STL-AC
feature_non_normality,AutoLinearRegression,global,stl_model_all_components,0.8316,1.0053,0.1738,8949,1.2669459075065188e-274,✓,STL-AC
feature_non_normality,AutoNLinear,global,stl_model_all_components,0.828,0.9947,0.1667,8949,3.9317120556765205e-242,✓,STL-AC
feature_non_normality,AutoARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_non_normality,AutoETS,global,without_stl,0.7914,0.7914,0.0,8949,,~,Direct
feature_non_normality,AutoSARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_nonlinearity,AutoXGBoost,finetuned,without_stl,0.885,0.999,0.114,8949,1.9698126900929417e-26,✓,Direct
feature_nonlinearity,AutoLSTM,finetuned,stl_model_all_components,0.9146,1.0014,0.0869,8949,3.705840709201902e-23,✓,STL-AC
feature_nonlinearity,AutoRandomForest,finetuned,without_stl,0.9186,0.9969,0.0783,8949,0.8286518291402284,~,Direct
feature_nonlinearity,AutoNHITS,finetuned,without_stl,0.8363,1.007,0.1707,8949,2.799292965666536e-61,✓,Direct
feature_nonlinearity,AutoTFT,finetuned,without_stl,0.8497,0.9951,0.1454,8949,7.62840730032932e-54,✓,Direct
feature_nonlinearity,AutoPatchTST,finetuned,without_stl,0.8564,0.9996,0.1432,8949,1.00740553322723e-117,✓,Direct
feature_nonlinearity,AutoRidge,global,stl_model_all_components,0.8322,1.0029,0.1707,8949,8.009596881374241e-256,✓,STL-AC
feature_nonlinearity,AutoLinearRegression,global,stl_model_all_components,0.8385,1.0015,0.163,8949,4.2167604226363845e-254,✓,STL-AC
feature_nonlinearity,AutoNLinear,global,stl_model_all_components,0.8252,1.0084,0.1832,8949,9.991213554245434e-257,✓,STL-AC
feature_nonlinearity,AutoARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_nonlinearity,AutoETS,global,without_stl,0.7914,0.7914,0.0,8949,,~,Direct
feature_nonlinearity,AutoSARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_spectral_entropy,AutoXGBoost,finetuned,without_stl,0.8802,1.0042,0.124,8949,6.076872836205398e-37,✓,Direct
feature_spectral_entropy,AutoLSTM,finetuned,without_stl,0.9038,0.9971,0.0933,8949,2.3609356480022315e-26,✓,Direct
feature_spectral_entropy,AutoRandomForest,finetuned,without_stl,0.9129,0.9997,0.0868,8949,0.14875307080252378,~,Direct
feature_spectral_entropy,AutoNHITS,finetuned,without_stl,0.8218,1.0027,0.1809,8949,1.56716580507101e-141,✓,Direct
feature_spectral_entropy,AutoTFT,finetuned,without_stl,0.8389,1.0039,0.1651,8949,2.952948230579881e-93,✓,Direct
feature_spectral_entropy,AutoPatchTST,finetuned,without_stl,0.8532,1.0072,0.154,8949,1.133204343255816e-151,✓,Direct
feature_spectral_entropy,AutoRidge,global,stl_model_all_components,0.8312,0.9996,0.1684,8949,5.331646135799401e-252,✓,STL-AC
feature_spectral_entropy,AutoLinearRegression,global,stl_model_all_components,0.8315,1.0083,0.1768,8949,7.110596393533367e-283,✓,STL-AC
feature_spectral_entropy,AutoNLinear,global,stl_model_all_components,0.8296,0.994,0.1644,8949,9.581239893960382e-235,✓,STL-AC
feature_spectral_entropy,AutoARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_spectral_entropy,AutoETS,global,without_stl,0.7914,0.7914,0.0,8949,,~,Direct
feature_spectral_entropy,AutoSARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_evolving_seasonality,AutoXGBoost,finetuned,without_stl,0.8697,0.9997,0.13,8949,3.0210189521277154e-38,✓,Direct
feature_evolving_seasonality,AutoLSTM,finetuned,stl_model_all_components,0.9092,1.0058,0.0966,8949,1.8203219340256958e-41,✓,STL-AC
feature_evolving_seasonality,AutoRandomForest,finetuned,without_stl,0.9127,0.9939,0.0812,8949,0.0778321842913004,~,Direct
feature_evolving_seasonality,AutoNHITS,finetuned,without_stl,0.8063,0.9981,0.1918,8949,1.3936833527172718e-132,✓,Direct
feature_evolving_seasonality,AutoTFT,finetuned,without_stl,0.8523,0.9998,0.1476,8949,2.9013208975928674e-68,✓,Direct
feature_evolving_seasonality,AutoPatchTST,finetuned,without_stl,0.8547,0.9932,0.1385,8949,1.2381432678030626e-126,✓,Direct
feature_evolving_seasonality,AutoRidge,global,stl_model_all_components,0.8306,1.0075,0.1769,8949,1.9685589587218917e-268,✓,STL-AC
feature_evolving_seasonality,AutoLinearRegression,global,stl_model_all_components,0.8282,1.0014,0.1732,8949,1.699130726495021e-252,✓,STL-AC
feature_evolving_seasonality,AutoNLinear,global,stl_model_all_components,0.8363,1.0055,0.1692,8949,3.4858922867338564e-265,✓,STL-AC
feature_evolving_seasonality,AutoARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_evolving_seasonality,AutoETS,global,without_stl,0.7914,0.7914,0.0,8949,,~,Direct
feature_evolving_seasonality,AutoSARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_structural_break_strength,AutoXGBoost,finetuned,without_stl,0.8867,1.0054,0.1188,8949,4.219024560445245e-31,✓,Direct
feature_structural_break_strength,AutoLSTM,finetuned,stl_model_all_components,0.9089,0.9981,0.0893,8949,1.547503495955091e-27,✓,STL-AC
feature_structural_break_strength,AutoRandomForest,finetuned,without_stl,0.9208,0.9962,0.0755,8949,0.5184309419045128,~,Direct
feature_structural_break_strength,AutoNHITS,finetuned,without_stl,0.8233,1.0031,0.1798,8949,2.090713254618734e-123,✓,Direct
feature_structural_break_strength,AutoTFT,finetuned,without_stl,0.8564,0.994,0.1376,8949,1.1585448293748678e-69,✓,Direct
feature_structural_break_strength,AutoPatchTST,finetuned,without_stl,0.8564,1.001,0.1446,8949,5.0584410879995884e-151,✓,Direct
feature_structural_break_strength,AutoRidge,global,stl_model_all_components,0.8316,1.0032,0.1716,8949,5.487402852344071e-267,✓,STL-AC
feature_structural_break_strength,AutoLinearRegression,global,stl_model_all_components,0.8391,0.9916,0.1525,8949,4.326792229520248e-230,✓,STL-AC
feature_structural_break_strength,AutoNLinear,global,stl_model_all_components,0.8273,0.9998,0.1726,8949,1.4142908190396068e-241,✓,STL-AC
feature_structural_break_strength,AutoARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_structural_break_strength,AutoETS,global,without_stl,0.7914,0.7914,0.0,8949,,~,Direct
feature_structural_break_strength,AutoSARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_arch_stat,AutoXGBoost,finetuned,without_stl,0.8833,0.9931,0.1098,8949,2.3911153891020493e-19,✓,Direct
feature_arch_stat,AutoLSTM,finetuned,stl_model_all_components,0.9088,1.0005,0.0918,8949,6.093314884544648e-34,✓,STL-AC
feature_arch_stat,AutoRandomForest,finetuned,without_stl,0.906,0.9994,0.0934,8949,0.01631334462278053,~,Direct
feature_arch_stat,AutoNHITS,finetuned,without_stl,0.8205,1.0039,0.1834,8949,9.523778349221522e-128,✓,Direct
feature_arch_stat,AutoTFT,finetuned,without_stl,0.8496,0.9985,0.1489,8949,1.0284871589964368e-60,✓,Direct
feature_arch_stat,AutoPatchTST,finetuned,without_stl,0.853,0.9943,0.1413,8949,1.5269614764271674e-119,✓,Direct
feature_arch_stat,AutoRidge,global,stl_model_all_components,0.8308,1.0078,0.1769,8949,6.590628442856379e-281,✓,STL-AC
feature_arch_stat,AutoLinearRegression,global,stl_model_all_components,0.8298,1.0027,0.1729,8949,2.7320595732660394e-266,✓,STL-AC
feature_arch_stat,AutoNLinear,global,stl_model_all_components,0.8262,0.9996,0.1734,8949,6.832841635153621e-240,✓,STL-AC
feature_arch_stat,AutoARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
feature_arch_stat,AutoETS,global,without_stl,0.7914,0.7914,0.0,8949,,~,Direct
feature_arch_stat,AutoSARIMA,global,without_stl,0.7983,0.7983,0.0,8949,,~,Direct
