model_family,model_name,trained_on_bucket,decomposition_method,mean,median,win_rate,n,family,decomp
mlforecast,AutoXGBoost,Medium,stl_seasonal_naive,0.463547644593493,0.3343463116287997,0.7226150767178119,14990,ML,STL-SN
mlforecast,AutoXGBoost,Medium,stl_model_all_components,0.379186009239312,0.3082947151835712,0.6688458972648432,14990,ML,STL-AC
neuralforecast,AutoLSTM,Medium,stl_seasonal_naive,0.4281240996756496,0.2988581073607822,0.6916611074049366,14990,Neural,STL-SN
mlforecast,AutoRandomForest,Medium,stl_model_all_components,0.3143152370865265,0.29122746462843124,0.6436290860573716,14990,ML,STL-AC
mlforecast,AutoRandomForest,Medium,stl_seasonal_naive,0.35944485975517104,0.28994839238307346,0.6823882588392262,14990,ML,STL-SN
neuralforecast,AutoLSTM,Medium,stl_model_all_components,0.3889380301526112,0.28652960480903505,0.6851901267511674,14990,Neural,STL-AC
mlforecast,AutoXGBoost,Low,stl_seasonal_naive,0.4524199173637223,0.27522414587095767,0.7005797229720759,22597,ML,STL-SN
mlforecast,AutoXGBoost,High,stl_seasonal_naive,0.4699229398855566,0.23588601205526238,0.6802632395852735,16107,ML,STL-SN
neuralforecast,AutoLSTM,Low,stl_seasonal_naive,0.4192601681167645,0.23404768381482044,0.6777890870469532,22597,Neural,STL-SN
mlforecast,AutoRandomForest,Low,stl_seasonal_naive,0.32887232793611293,0.23082234335264662,0.6576536708412621,22597,ML,STL-SN
mlforecast,AutoXGBoost,Low,stl_model_all_components,0.33136630271100115,0.22427098247189636,0.6435367526662832,22597,ML,STL-AC
neuralforecast,AutoLSTM,Low,stl_model_all_components,0.3469212088779119,0.2213367991190649,0.6587600123910253,22597,Neural,STL-AC
mlforecast,AutoRandomForest,Low,stl_model_all_components,0.2890107531454318,0.20315104107346338,0.6170730627959463,22597,ML,STL-AC
mlforecast,AutoRandomForest,High,stl_seasonal_naive,0.3622019216953203,0.19943181708907742,0.6435711181473893,16107,ML,STL-SN
neuralforecast,AutoLSTM,High,stl_model_all_components,0.406444205701654,0.19818563183356597,0.6572918606816912,16107,Neural,STL-AC
neuralforecast,AutoNHITS,Medium,without_stl,0.03993173601205094,0.19734145923580615,0.6647098065376918,14990,Neural,Direct
neuralforecast,AutoLSTM,High,stl_seasonal_naive,0.44827411878264395,0.18749158734489246,0.667784193207922,16107,Neural,STL-SN
mlforecast,AutoXGBoost,High,stl_model_all_components,0.3825040633855666,0.18234008667683543,0.6281740858012045,16107,ML,STL-AC
neuralforecast,AutoNHITS,Low,without_stl,-0.028457438857605624,0.17663753611207,0.6406160109749082,22597,Neural,Direct
neuralforecast,AutoNHITS,High,without_stl,0.0034448276101909626,0.17377417449066157,0.659775252995592,16107,Neural,Direct
transformers,AutoTFT,Medium,without_stl,-0.010565971196894787,0.16117700978245136,0.6515010006671114,14990,Transformer,Direct
mlforecast,AutoRandomForest,High,stl_model_all_components,0.299706275740146,0.1544885407660177,0.5999254982305829,16107,ML,STL-AC
transformers,AutoPatchTST,Medium,without_stl,0.019301506908782174,0.1512289113855798,0.6696464309539694,14990,Transformer,Direct
transformers,AutoPatchTST,High,without_stl,0.014812743992701423,0.14383833241828126,0.6677221084000745,16107,Transformer,Direct
transformers,AutoTFT,High,without_stl,-0.04071669783039132,0.14335029390497067,0.6407152169864034,16107,Transformer,Direct
mlforecast,AutoXGBoost,Medium,without_stl,-0.0669630062840337,0.13401824663543677,0.6320880587058039,14990,ML,Direct
transformers,AutoTFT,Low,without_stl,-0.08596354925512278,0.13116931614899896,0.6219852192768952,22597,Transformer,Direct
transformers,AutoPatchTST,Low,without_stl,-0.029128366791515262,0.12808319910714905,0.6468557773155729,22597,Transformer,Direct
mlforecast,AutoXGBoost,Low,without_stl,-0.14033910638035665,0.10870775763502871,0.6015400274372704,22597,ML,Direct
