subset,winner,n_wins,total_pairs
mcm_ARCH_high,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0073
1835 / 0 / 1165
 $\leq$ 1e-04-0.0095
1843 / 0 / 1157
 $\leq$ 1e-04-0.0186
1897 / 0 / 1103
 $\leq$ 1e-04-0.0256
1931 / 0 / 1069
 $\leq$ 1e-04-0.0847
2048 / 2 / 950
 $\leq$ 1e-04-0.0942
2065 / 1 / 934
 $\leq$ 1e-04-0.0961
2063 / 1 / 936
 $\leq$ 1e-04-0.2738
2173 / 0 / 827
 $\leq$ 1e-04-0.2880
2219 / 0 / 781
 $\leq$ 1e-04-0.4056
2233 / 0 / 767
 $\leq$ 1e-04-0.4302
2281 / 0 / 719
 $\leq$ 1e-04",11
mcm_ARCH_low,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0083
1834 / 0 / 1115
 $\leq$ 1e-04-0.0130
1858 / 0 / 1091
 $\leq$ 1e-04-0.0595
1989 / 1 / 959
 $\leq$ 1e-04-0.0662
1997 / 1 / 951
 $\leq$ 1e-04-0.0687
1811 / 0 / 1138
 $\leq$ 1e-04-0.0692
2015 / 1 / 933
 $\leq$ 1e-04-0.0836
1834 / 0 / 1115
 $\leq$ 1e-04-0.1158
2082 / 0 / 867
 $\leq$ 1e-04-0.1517
2026 / 0 / 923
 $\leq$ 1e-04-0.1685
2120 / 0 / 829
 $\leq$ 1e-04-0.1717
2016 / 0 / 933
 $\leq$ 1e-04",11
mcm_ARCH_medium,Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0020
1842 / 0 / 1158
 $\leq$ 1e-04-0.0070
1157 / 0 / 1843
 $\leq$ 1e-04-0.0205
1372 / 0 / 1628
 $\leq$ 1e-04-0.0296
1475 / 0 / 1525
0.1662-0.0686
2072 / 0 / 928
 $\leq$ 1e-04-0.0753
2075 / 0 / 925
 $\leq$ 1e-04-0.0789
2077 / 0 / 923
 $\leq$ 1e-04-0.1518
2196 / 0 / 804
 $\leq$ 1e-04-0.1609
1967 / 0 / 1033
 $\leq$ 1e-04-0.2181
2031 / 0 / 969
 $\leq$ 1e-04-0.2317
2194 / 0 / 806
 $\leq$ 1e-04",11
mcm_Evolving_seasonality_high,Stat|STL–AC,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0031
1620 / 0 / 1380
 $\leq$ 1e-04-0.0536
1232 / 0 / 1768
 $\leq$ 1e-04-0.0587
1935 / 0 / 1065
 $\leq$ 1e-04-0.0603
1910 / 0 / 1090
 $\leq$ 1e-04-0.1151
2250 / 0 / 750
 $\leq$ 1e-04-0.1210
2254 / 0 / 746
 $\leq$ 1e-04-0.1265
2251 / 0 / 749
 $\leq$ 1e-04-0.2386
2228 / 0 / 772
 $\leq$ 1e-04-0.2576
2363 / 0 / 637
 $\leq$ 1e-04-0.3147
2213 / 0 / 787
 $\leq$ 1e-04-0.3588
2365 / 0 / 635
 $\leq$ 1e-04",11
mcm_Evolving_seasonality_low,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0050
1809 / 0 / 1140
 $\leq$ 1e-04-0.0053
1806 / 0 / 1143
 $\leq$ 1e-04-0.0752
2002 / 0 / 947
 $\leq$ 1e-04-0.0839
2023 / 0 / 926
 $\leq$ 1e-04-0.0919
2024 / 0 / 925
 $\leq$ 1e-04-0.1518
1887 / 0 / 1062
 $\leq$ 1e-04-0.1580
1880 / 0 / 1069
 $\leq$ 1e-04-0.1604
2087 / 0 / 862
 $\leq$ 1e-04-0.2320
2155 / 0 / 794
 $\leq$ 1e-04-0.2830
2157 / 0 / 792
 $\leq$ 1e-04-0.2994
2154 / 0 / 795
 $\leq$ 1e-04",11
mcm_Evolving_seasonality_medium,Stat|STL–AC,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0038
1605 / 0 / 1395
0.0002-0.0140
1226 / 0 / 1774
 $\leq$ 1e-04-0.0462
1954 / 0 / 1046
 $\leq$ 1e-04-0.0464
1918 / 0 / 1082
 $\leq$ 1e-04-0.0914
2137 / 0 / 863
 $\leq$ 1e-04-0.0971
2135 / 0 / 865
 $\leq$ 1e-04-0.1023
2141 / 0 / 859
 $\leq$ 1e-04-0.1985
2191 / 0 / 809
 $\leq$ 1e-04-0.2138
2283 / 0 / 717
 $\leq$ 1e-04-0.2499
2129 / 0 / 871
 $\leq$ 1e-04-0.2940
2289 / 0 / 711
 $\leq$ 1e-04",11
mcm_family_decomp_high,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0094
4889 / 0 / 2947
 $\leq$ 1e-04-0.0128
4946 / 0 / 2890
 $\leq$ 1e-04-0.0193
4740 / 0 / 3096
 $\leq$ 1e-04-0.0260
4789 / 0 / 3047
 $\leq$ 1e-04-0.0701
5339 / 2 / 2495
 $\leq$ 1e-04-0.0724
5348 / 2 / 2486
 $\leq$ 1e-04-0.0725
5351 / 4 / 2481
 $\leq$ 1e-04-0.1866
5614 / 0 / 2222
 $\leq$ 1e-04-0.1892
5488 / 0 / 2348
 $\leq$ 1e-04-0.2617
5561 / 0 / 2275
 $\leq$ 1e-04-0.2723
5734 / 0 / 2102
 $\leq$ 1e-04",11
mcm_family_decomp_low,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0107
5552 / 0 / 3304
 $\leq$ 1e-04-0.0122
5571 / 0 / 3285
 $\leq$ 1e-04-0.0285
5378 / 0 / 3478
 $\leq$ 1e-04-0.0356
5427 / 0 / 3429
 $\leq$ 1e-04-0.0724
6022 / 3 / 2831
 $\leq$ 1e-04-0.0794
6059 / 2 / 2795
 $\leq$ 1e-04-0.0827
6080 / 3 / 2773
 $\leq$ 1e-04-0.1912
6382 / 0 / 2474
 $\leq$ 1e-04-0.2013
6273 / 0 / 2583
 $\leq$ 1e-04-0.2728
6337 / 0 / 2519
 $\leq$ 1e-04-0.2754
6524 / 0 / 2332
 $\leq$ 1e-04",11
mcm_family_decomp_medium,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0112
4783 / 0 / 2842
 $\leq$ 1e-04-0.0144
4841 / 0 / 2784
 $\leq$ 1e-04-0.0326
4668 / 0 / 2957
 $\leq$ 1e-04-0.0396
4716 / 0 / 2909
 $\leq$ 1e-04-0.0856
5232 / 4 / 2389
 $\leq$ 1e-04-0.0868
5243 / 4 / 2378
 $\leq$ 1e-04-0.0881
5248 / 4 / 2373
 $\leq$ 1e-04-0.1870
5496 / 0 / 2129
 $\leq$ 1e-04-0.1969
5422 / 0 / 2203
 $\leq$ 1e-04-0.2684
5484 / 0 / 2141
 $\leq$ 1e-04-0.2703
5637 / 0 / 1988
 $\leq$ 1e-04",11
mcm_family_decomp_global,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0087
5592 / 0 / 3357
 $\leq$ 1e-04-0.0112
5644 / 0 / 3305
 $\leq$ 1e-04-0.0280
5432 / 0 / 3517
 $\leq$ 1e-04-0.0353
5489 / 0 / 3460
 $\leq$ 1e-04-0.0739
6089 / 2 / 2858
 $\leq$ 1e-04-0.0782
6129 / 2 / 2818
 $\leq$ 1e-04-0.0790
6122 / 3 / 2824
 $\leq$ 1e-04-0.1879
6437 / 0 / 2512
 $\leq$ 1e-04-0.1976
6324 / 0 / 2625
 $\leq$ 1e-04-0.2693
6395 / 0 / 2554
 $\leq$ 1e-04-0.2725
6585 / 0 / 2364
 $\leq$ 1e-04",11
