rank,configuration,wins,pct_of_total
1,AutoETS / Direct (GL),5258.816666666667,9.79
2,AutoARIMA / Direct (GL),3317.7499999999995,6.18
3,AutoSARIMA / Direct (GL),3317.7499999999995,6.18
4,AutoRandomForest / Direct (FT),3248.0,6.05
5,AutoTFT / Direct (FT),2880.0,5.36
6,AutoLSTM / Direct (FT),2640.0,4.92
7,AutoNHITS / Direct (FT),2508.0,4.67
8,AutoXGBoost / Direct (FT),2445.0,4.55
9,AutoTFT / STL-AC (FT),2368.0,4.41
10,AutoRandomForest / STL-AC (FT),2294.0,4.27
11,AutoRandomForest / STL-SN (FT),1999.0,3.72
12,AutoLSTM / STL-AC (FT),1812.0,3.37
13,AutoPatchTST / Direct (FT),1682.0,3.13
14,AutoXGBoost / STL-AC (FT),1601.0,2.98
15,AutoETS / STL-AC (GL),1582.0,2.95
16,AutoPatchTST / STL-AC (FT),1557.0,2.9
17,AutoNHITS / STL-AC (FT),1361.0,2.53
18,AutoLSTM / STL-SN (FT),1193.0,2.22
19,AutoNHITS / STL-SN (FT),1191.0,2.22
20,AutoTFT / STL-SN (FT),1118.0,2.08
21,AutoXGBoost / STL-SN (FT),1107.5,2.06
22,AutoLinearRegression / Direct (GL),776.3333333333334,1.45
23,AutoRidge / Direct (GL),673.8333333333333,1.25
24,AutoNLinear / Direct (GL),654.7333333333333,1.22
25,AutoETS / STL-SN (GL),620.0,1.15
26,AutoRidge / STL-AC (GL),549.8666666666667,1.02
27,AutoARIMA / STL-AC (GL),535.8166666666667,1.0
28,AutoPatchTST / STL-SN (FT),501.0,0.93
29,AutoNLinear / STL-AC (GL),486.31666666666666,0.91
30,AutoLinearRegression / STL-AC (GL),431.1666666666667,0.8
31,AutoSARIMA / STL-AC (GL),405.6166666666667,0.76
32,AutoARIMA / STL-SN (GL),403.41666666666663,0.75
33,AutoNLinear / STL-SN (GL),371.0,0.69
34,AutoLinearRegression / STL-SN (GL),303.0,0.56
35,AutoRidge / STL-SN (GL),288.25,0.54
36,AutoSARIMA / STL-SN (GL),212.83333333333331,0.4
