rank,configuration,wins,pct,total_series
1,AutoETS / Direct (GL),883.5833333333333,9.873542667709613,8949
2,AutoRandomForest / Direct (FT),551.0,6.1571125265392785,8949
3,AutoTFT / Direct (FT),546.0,6.101240362051626,8949
4,AutoARIMA / Direct (GL),525.8333333333333,5.875889298618095,8949
5,AutoSARIMA / Direct (GL),525.8333333333333,5.875889298618095,8949
6,AutoLSTM / Direct (FT),452.0,5.050843669683763,8949
7,AutoNHITS / Direct (FT),436.0,4.872052743323276,8949
8,AutoRandomForest / STL-AC (FT),392.0,4.380377695831936,8949
9,AutoXGBoost / Direct (FT),380.0,4.246284501061571,8949
10,AutoTFT / STL-AC (FT),378.0,4.2239356352665105,8949
11,AutoRandomForest / STL-SN (FT),347.0,3.8775282154430664,8949
12,AutoLSTM / STL-AC (FT),312.0,3.4864230640295006,8949
13,AutoXGBoost / STL-AC (FT),269.0,3.0059224494356913,8949
14,AutoPatchTST / STL-AC (FT),260.0,2.905352553357917,8949
15,AutoPatchTST / Direct (FT),252.0,2.8159570901776734,8949
16,AutoETS / STL-AC (GL),248.0,2.7712593585875513,8949
17,AutoNHITS / STL-AC (FT),212.0,2.3689797742764553,8949
18,AutoLSTM / STL-SN (FT),207.0,2.313107609788803,8949
19,AutoTFT / STL-SN (FT),196.0,2.190188847915968,8949
20,AutoNHITS / STL-SN (FT),190.0,2.1231422505307855,8949
21,AutoXGBoost / STL-SN (FT),186.0,2.078444518940664,8949
22,AutoLinearRegression / STL-AC (GL),175.0,1.9555257570678288,8949
23,AutoNLinear / Direct (GL),162.75,1.8186389540730807,8949
24,AutoLinearRegression / Direct (GL),145.75,1.628673594815063,8949
25,AutoSARIMA / STL-AC (GL),114.0,1.2738853503184715,8949
26,AutoETS / STL-SN (GL),109.0,1.218013185830819,8949
27,AutoPatchTST / STL-SN (FT),84.0,0.9386523633925578,8949
28,AutoARIMA / STL-SN (GL),76.5,0.8548441166610795,8949
29,AutoNLinear / STL-SN (GL),74.33333333333334,0.8306328453830969,8949
30,AutoNLinear / STL-AC (GL),68.0,0.7598614370320707,8949
31,AutoRidge / Direct (GL),59.25000000000001,0.6620851491786792,8949
32,AutoLinearRegression / STL-SN (GL),49.333333333333336,0.5512720229448356,8949
33,AutoSARIMA / STL-SN (GL),47.33333333333333,0.5289231571497746,8949
34,AutoARIMA / STL-AC (GL),17.5,0.19555257570678286,8949
35,AutoRidge / STL-AC (GL),10.0,0.1117443289753045,8949
36,AutoRidge / STL-SN (GL),7.0,0.07822103028271316,8949
