rank,configuration,wins,pct,total_series
1,AutoETS / Direct (GL),894.9166666666667,10.000186240548294,8949
2,AutoRandomForest / Direct (FT),570.0,6.369426751592357,8949
3,AutoARIMA / Direct (GL),569.1666666666666,6.360114724177747,8949
4,AutoSARIMA / Direct (GL),569.1666666666666,6.360114724177747,8949
5,AutoTFT / Direct (FT),444.0,4.96144820650352,8949
6,AutoXGBoost / Direct (FT),437.0,4.8832271762208075,8949
7,AutoLSTM / Direct (FT),429.0,4.793831713040563,8949
8,AutoTFT / STL-AC (FT),414.0,4.626215219577606,8949
9,AutoRandomForest / STL-AC (FT),388.0,4.335679964241815,8949
10,AutoNHITS / Direct (FT),379.0,4.23511006816404,8949
11,AutoRandomForest / STL-SN (FT),344.0,3.844004916750475,8949
12,AutoXGBoost / STL-AC (FT),281.0,3.1400156442060565,8949
13,AutoLSTM / STL-AC (FT),280.0,3.1288412113085258,8949
14,AutoETS / STL-AC (GL),279.0,3.1176667784109955,8949
15,AutoPatchTST / Direct (FT),267.0,2.9835735836406303,8949
16,AutoPatchTST / STL-AC (FT),262.0,2.927701419152978,8949
17,AutoNHITS / STL-AC (FT),235.0,2.625991730919656,8949
18,AutoRidge / Direct (GL),233.25,2.6064364733489773,8949
19,AutoLSTM / STL-SN (FT),208.0,2.3242820426863338,8949
20,AutoTFT / STL-SN (FT),181.0,2.0225723544530116,8949
21,AutoNHITS / STL-SN (FT),176.0,1.9667001899653591,8949
22,AutoXGBoost / STL-SN (FT),168.0,1.8773047267851155,8949
23,AutoRidge / STL-AC (GL),120.0,1.340931947703654,8949
24,AutoARIMA / STL-AC (GL),111.0,1.24036205162588,8949
25,AutoNLinear / STL-SN (GL),110.0,1.2291876187283497,8949
26,AutoETS / STL-SN (GL),95.0,1.0615711252653928,8949
27,AutoLinearRegression / STL-AC (GL),86.0,0.9610012291876188,8949
28,AutoPatchTST / STL-SN (FT),74.0,0.8269080344172534,8949
29,AutoNLinear / STL-AC (GL),71.5,0.7989719521734271,8949
30,AutoRidge / STL-SN (GL),70.0,0.7822103028271314,8949
31,AutoLinearRegression / Direct (GL),67.75,0.757067828807688,8949
32,AutoLinearRegression / STL-SN (GL),54.0,0.6034193764666443,8949
33,AutoNLinear / Direct (GL),49.75,0.5559280366521399,8949
34,AutoARIMA / STL-SN (GL),14.0,0.1564420605654263,8949
35,AutoSARIMA / STL-AC (GL),10.0,0.1117443289753045,8949
36,AutoSARIMA / STL-SN (GL),7.5,0.08380824673147838,8949
