comparates,Stat|Direct,Stat|STL–AC,Transformer|STL–AC,Stat|STL–SN,Transformer|STL–SN,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–AC,Neural|STL–SN,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0073
1835 / 0 / 1165
 $\leq$ 1e-04","-0.0095
1843 / 0 / 1157
 $\leq$ 1e-04","-0.0186
1897 / 0 / 1103
 $\leq$ 1e-04","-0.0256
1931 / 0 / 1069
 $\leq$ 1e-04","-0.0847
2048 / 2 / 950
 $\leq$ 1e-04","-0.0942
2065 / 1 / 934
 $\leq$ 1e-04","-0.0961
2063 / 1 / 936
 $\leq$ 1e-04","-0.2738
2173 / 0 / 827
 $\leq$ 1e-04","-0.2880
2219 / 0 / 781
 $\leq$ 1e-04","-0.4056
2233 / 0 / 767
 $\leq$ 1e-04","-0.4302
2281 / 0 / 719
 $\leq$ 1e-04"
Stat|STL–AC,"0.0073
1165 / 0 / 1835
 $\leq$ 1e-04",-,"-0.0022
1787 / 0 / 1213
 $\leq$ 1e-04","-0.0113
1706 / 0 / 1294
 $\leq$ 1e-04","-0.0183
1781 / 0 / 1219
 $\leq$ 1e-04","-0.0774
2216 / 0 / 784
 $\leq$ 1e-04","-0.0869
2220 / 0 / 780
 $\leq$ 1e-04","-0.0888
2222 / 0 / 778
 $\leq$ 1e-04","-0.2665
2263 / 0 / 737
 $\leq$ 1e-04","-0.2807
2350 / 0 / 650
 $\leq$ 1e-04","-0.3983
2254 / 0 / 746
 $\leq$ 1e-04","-0.4229
2353 / 0 / 647
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0095
1157 / 0 / 1843
 $\leq$ 1e-04","0.0022
1213 / 0 / 1787
 $\leq$ 1e-04",-,"-0.0091
1617 / 0 / 1383
 $\leq$ 1e-04","-0.0161
1756 / 0 / 1244
 $\leq$ 1e-04","-0.0752
2196 / 0 / 804
 $\leq$ 1e-04","-0.0847
2215 / 0 / 785
 $\leq$ 1e-04","-0.0866
2218 / 0 / 782
 $\leq$ 1e-04","-0.2643
2256 / 0 / 744
 $\leq$ 1e-04","-0.2785
2360 / 0 / 640
 $\leq$ 1e-04","-0.3961
2266 / 0 / 734
 $\leq$ 1e-04","-0.4207
2367 / 0 / 633
 $\leq$ 1e-04"
Stat|STL–SN,"0.0186
1103 / 0 / 1897
 $\leq$ 1e-04","0.0113
1294 / 0 / 1706
 $\leq$ 1e-04","0.0091
1383 / 0 / 1617
 $\leq$ 1e-04",-,"-0.0070
1807 / 1 / 1192
 $\leq$ 1e-04","-0.0661
2086 / 0 / 914
 $\leq$ 1e-04","-0.0756
2093 / 0 / 907
 $\leq$ 1e-04","-0.0775
2110 / 0 / 890
 $\leq$ 1e-04","-0.2552
2051 / 0 / 949
 $\leq$ 1e-04","-0.2694
2213 / 0 / 787
 $\leq$ 1e-04","-0.3870
2105 / 0 / 895
 $\leq$ 1e-04","-0.4116
2228 / 0 / 772
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0256
1069 / 0 / 1931
 $\leq$ 1e-04","0.0183
1219 / 0 / 1781
 $\leq$ 1e-04","0.0161
1244 / 0 / 1756
 $\leq$ 1e-04","0.0070
1192 / 1 / 1807
 $\leq$ 1e-04",-,"-0.0591
2062 / 0 / 938
 $\leq$ 1e-04","-0.0686
2084 / 0 / 916
 $\leq$ 1e-04","-0.0705
2088 / 0 / 912
 $\leq$ 1e-04","-0.2482
2024 / 0 / 976
 $\leq$ 1e-04","-0.2624
2231 / 0 / 769
 $\leq$ 1e-04","-0.3800
2108 / 0 / 892
 $\leq$ 1e-04","-0.4046
2255 / 0 / 745
 $\leq$ 1e-04"
Transformer|Direct,"0.0847
950 / 2 / 2048
 $\leq$ 1e-04","0.0774
784 / 0 / 2216
 $\leq$ 1e-04","0.0752
804 / 0 / 2196
 $\leq$ 1e-04","0.0661
914 / 0 / 2086
 $\leq$ 1e-04","0.0591
938 / 0 / 2062
 $\leq$ 1e-04",-,"-0.0095
1884 / 18 / 1098
 $\leq$ 1e-04","-0.0114
2045 / 14 / 941
 $\leq$ 1e-04","-0.1891
1661 / 0 / 1339
 $\leq$ 1e-04","-0.2033
1854 / 0 / 1146
 $\leq$ 1e-04","-0.3209
1857 / 0 / 1143
 $\leq$ 1e-04","-0.3455
2065 / 0 / 935
 $\leq$ 1e-04"
ML|Direct,"0.0942
934 / 1 / 2065
 $\leq$ 1e-04","0.0869
780 / 0 / 2220
 $\leq$ 1e-04","0.0847
785 / 0 / 2215
 $\leq$ 1e-04","0.0756
907 / 0 / 2093
 $\leq$ 1e-04","0.0686
916 / 0 / 2084
 $\leq$ 1e-04","0.0095
1098 / 18 / 1884
 $\leq$ 1e-04",-,"-0.0019
1635 / 13 / 1352
 $\leq$ 1e-04","-0.1796
1629 / 0 / 1371
 $\leq$ 1e-04","-0.1938
1809 / 0 / 1191
 $\leq$ 1e-04","-0.3114
1841 / 0 / 1159
 $\leq$ 1e-04","-0.3360
2035 / 0 / 965
 $\leq$ 1e-04"
Neural|Direct,"0.0961
936 / 1 / 2063
 $\leq$ 1e-04","0.0888
778 / 0 / 2222
 $\leq$ 1e-04","0.0866
782 / 0 / 2218
 $\leq$ 1e-04","0.0775
890 / 0 / 2110
 $\leq$ 1e-04","0.0705
912 / 0 / 2088
 $\leq$ 1e-04","0.0114
941 / 14 / 2045
 $\leq$ 1e-04","0.0019
1352 / 13 / 1635
 $\leq$ 1e-04",-,"-0.1777
1609 / 0 / 1391
 $\leq$ 1e-04","-0.1919
1787 / 0 / 1213
 $\leq$ 1e-04","-0.3095
1813 / 0 / 1187
 $\leq$ 1e-04","-0.3341
2010 / 0 / 990
 $\leq$ 1e-04"
Neural|STL–AC,"0.2738
827 / 0 / 2173
 $\leq$ 1e-04","0.2665
737 / 0 / 2263
 $\leq$ 1e-04","0.2643
744 / 0 / 2256
 $\leq$ 1e-04","0.2552
949 / 0 / 2051
 $\leq$ 1e-04","0.2482
976 / 0 / 2024
 $\leq$ 1e-04","0.1891
1339 / 0 / 1661
 $\leq$ 1e-04","0.1796
1371 / 0 / 1629
 $\leq$ 1e-04","0.1777
1391 / 0 / 1609
 $\leq$ 1e-04",-,"-0.0142
1870 / 0 / 1130
 $\leq$ 1e-04","-0.1318
2272 / 0 / 728
 $\leq$ 1e-04","-0.1564
2384 / 0 / 616
 $\leq$ 1e-04"
Neural|STL–SN,"0.2880
781 / 0 / 2219
 $\leq$ 1e-04","0.2807
650 / 0 / 2350
 $\leq$ 1e-04","0.2785
640 / 0 / 2360
 $\leq$ 1e-04","0.2694
787 / 0 / 2213
 $\leq$ 1e-04","0.2624
769 / 0 / 2231
 $\leq$ 1e-04","0.2033
1146 / 0 / 1854
 $\leq$ 1e-04","0.1938
1191 / 0 / 1809
 $\leq$ 1e-04","0.1919
1213 / 0 / 1787
 $\leq$ 1e-04","0.0142
1130 / 0 / 1870
 $\leq$ 1e-04",-,"-0.1176
1926 / 0 / 1074
 $\leq$ 1e-04","-0.1422
2271 / 0 / 729
 $\leq$ 1e-04"
