comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Transformer|Direct,ML|Direct,Stat|STL–AC,Neural|Direct,Transformer|STL–AC,Neural|STL–SN,Neural|STL–AC,ML|STL–SN,ML|STL–AC
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0083
1834 / 0 / 1115
 $\leq$ 1e-04","-0.0130
1858 / 0 / 1091
 $\leq$ 1e-04","-0.0595
1989 / 1 / 959
 $\leq$ 1e-04","-0.0662
1997 / 1 / 951
 $\leq$ 1e-04","-0.0687
1811 / 0 / 1138
 $\leq$ 1e-04","-0.0692
2015 / 1 / 933
 $\leq$ 1e-04","-0.0836
1834 / 0 / 1115
 $\leq$ 1e-04","-0.1158
2082 / 0 / 867
 $\leq$ 1e-04","-0.1517
2026 / 0 / 923
 $\leq$ 1e-04","-0.1685
2120 / 0 / 829
 $\leq$ 1e-04","-0.1717
2016 / 0 / 933
 $\leq$ 1e-04"
Stat|STL–SN,"0.0083
1115 / 0 / 1834
 $\leq$ 1e-04",-,"-0.0047
1717 / 0 / 1232
 $\leq$ 1e-04","-0.0511
1928 / 0 / 1021
 $\leq$ 1e-04","-0.0579
1922 / 0 / 1027
 $\leq$ 1e-04","-0.0604
1377 / 0 / 1572
0.3683","-0.0609
1929 / 0 / 1020
 $\leq$ 1e-04","-0.0753
1497 / 0 / 1452
0.0439","-0.1075
2026 / 0 / 923
 $\leq$ 1e-04","-0.1434
1828 / 0 / 1121
 $\leq$ 1e-04","-0.1601
2018 / 0 / 931
 $\leq$ 1e-04","-0.1634
1835 / 0 / 1114
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0130
1091 / 0 / 1858
 $\leq$ 1e-04","0.0047
1232 / 0 / 1717
 $\leq$ 1e-04",-,"-0.0465
1911 / 0 / 1038
 $\leq$ 1e-04","-0.0532
1925 / 0 / 1024
 $\leq$ 1e-04","-0.0557
1323 / 0 / 1626
0.0080","-0.0562
1918 / 0 / 1031
 $\leq$ 1e-04","-0.0706
1393 / 0 / 1556
0.9284","-0.1028
2033 / 0 / 916
 $\leq$ 1e-04","-0.1387
1811 / 0 / 1138
 $\leq$ 1e-04","-0.1555
2047 / 0 / 902
 $\leq$ 1e-04","-0.1587
1827 / 0 / 1122
 $\leq$ 1e-04"
Transformer|Direct,"0.0595
959 / 1 / 1989
 $\leq$ 1e-04","0.0511
1021 / 0 / 1928
 $\leq$ 1e-04","0.0465
1038 / 0 / 1911
 $\leq$ 1e-04",-,"-0.0068
1688 / 9 / 1252
 $\leq$ 1e-04","-0.0092
1063 / 0 / 1886
 $\leq$ 1e-04","-0.0097
1866 / 9 / 1074
 $\leq$ 1e-04","-0.0242
1085 / 0 / 1864
 $\leq$ 1e-04","-0.0564
1588 / 0 / 1361
 $\leq$ 1e-04","-0.0923
1415 / 0 / 1534
0.0014","-0.1090
1786 / 0 / 1163
 $\leq$ 1e-04","-0.1123
1565 / 0 / 1384
 $\leq$ 1e-04"
ML|Direct,"0.0662
951 / 1 / 1997
 $\leq$ 1e-04","0.0579
1027 / 0 / 1922
 $\leq$ 1e-04","0.0532
1024 / 0 / 1925
 $\leq$ 1e-04","0.0068
1252 / 9 / 1688
 $\leq$ 1e-04",-,"-0.0025
1040 / 0 / 1909
 $\leq$ 1e-04","-0.0030
1834 / 9 / 1106
 $\leq$ 1e-04","-0.0174
1062 / 0 / 1887
 $\leq$ 1e-04","-0.0496
1513 / 0 / 1436
 $\leq$ 1e-04","-0.0855
1373 / 0 / 1576
0.1081","-0.1022
1770 / 0 / 1179
 $\leq$ 1e-04","-0.1055
1529 / 0 / 1420
 $\leq$ 1e-04"
Stat|STL–AC,"0.0687
1138 / 0 / 1811
 $\leq$ 1e-04","0.0604
1572 / 0 / 1377
0.3683","0.0557
1626 / 0 / 1323
0.0080","0.0092
1886 / 0 / 1063
 $\leq$ 1e-04","0.0025
1909 / 0 / 1040
 $\leq$ 1e-04",-,"-0.0005
1911 / 0 / 1038
 $\leq$ 1e-04","-0.0149
1800 / 0 / 1149
 $\leq$ 1e-04","-0.0471
2012 / 0 / 937
 $\leq$ 1e-04","-0.0830
1993 / 0 / 956
 $\leq$ 1e-04","-0.0998
2038 / 0 / 911
 $\leq$ 1e-04","-0.1030
1902 / 0 / 1047
 $\leq$ 1e-04"
Neural|Direct,"0.0692
933 / 1 / 2015
 $\leq$ 1e-04","0.0609
1020 / 0 / 1929
 $\leq$ 1e-04","0.0562
1031 / 0 / 1918
 $\leq$ 1e-04","0.0097
1074 / 9 / 1866
 $\leq$ 1e-04","0.0030
1106 / 9 / 1834
 $\leq$ 1e-04","0.0005
1038 / 0 / 1911
 $\leq$ 1e-04",-,"-0.0144
1062 / 0 / 1887
 $\leq$ 1e-04","-0.0466
1461 / 0 / 1488
0.0031","-0.0825
1347 / 0 / 1602
0.3480","-0.0993
1741 / 0 / 1208
 $\leq$ 1e-04","-0.1025
1509 / 0 / 1440
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0836
1115 / 0 / 1834
 $\leq$ 1e-04","0.0753
1452 / 0 / 1497
0.0439","0.0706
1556 / 0 / 1393
0.9284","0.0242
1864 / 0 / 1085
 $\leq$ 1e-04","0.0174
1887 / 0 / 1062
 $\leq$ 1e-04","0.0149
1149 / 0 / 1800
 $\leq$ 1e-04","0.0144
1887 / 0 / 1062
 $\leq$ 1e-04",-,"-0.0322
1966 / 0 / 983
 $\leq$ 1e-04","-0.0681
1917 / 0 / 1032
 $\leq$ 1e-04","-0.0848
2001 / 0 / 948
 $\leq$ 1e-04","-0.0881
1895 / 0 / 1054
 $\leq$ 1e-04"
Neural|STL–SN,"0.1158
867 / 0 / 2082
 $\leq$ 1e-04","0.1075
923 / 0 / 2026
 $\leq$ 1e-04","0.1028
916 / 0 / 2033
 $\leq$ 1e-04","0.0564
1361 / 0 / 1588
 $\leq$ 1e-04","0.0496
1436 / 0 / 1513
 $\leq$ 1e-04","0.0471
937 / 0 / 2012
 $\leq$ 1e-04","0.0466
1488 / 0 / 1461
0.0031","0.0322
983 / 0 / 1966
 $\leq$ 1e-04",-,"-0.0359
1248 / 0 / 1701
 $\leq$ 1e-04","-0.0526
2085 / 0 / 864
 $\leq$ 1e-04","-0.0559
1604 / 0 / 1345
 $\leq$ 1e-04"
Neural|STL–AC,"0.1517
923 / 0 / 2026
 $\leq$ 1e-04","0.1434
1121 / 0 / 1828
 $\leq$ 1e-04","0.1387
1138 / 0 / 1811
 $\leq$ 1e-04","0.0923
1534 / 0 / 1415
0.0014","0.0855
1576 / 0 / 1373
0.1081","0.0830
956 / 0 / 1993
 $\leq$ 1e-04","0.0825
1602 / 0 / 1347
0.3480","0.0681
1032 / 0 / 1917
 $\leq$ 1e-04","0.0359
1701 / 0 / 1248
 $\leq$ 1e-04",-,"-0.0167
1956 / 0 / 993
 $\leq$ 1e-04","-0.0200
1863 / 0 / 1086
 $\leq$ 1e-04"
