comparates,Stat|STL–AC,Transformer|STL–AC,Stat|Direct,Transformer|STL–SN,Stat|STL–SN,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–AC,Neural|STL–SN,ML|STL–AC,ML|STL–SN
Stat|STL–AC,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0031
1620 / 0 / 1380
 $\leq$ 1e-04","-0.0536
1232 / 0 / 1768
 $\leq$ 1e-04","-0.0587
1935 / 0 / 1065
 $\leq$ 1e-04","-0.0603
1910 / 0 / 1090
 $\leq$ 1e-04","-0.1151
2250 / 0 / 750
 $\leq$ 1e-04","-0.1210
2254 / 0 / 746
 $\leq$ 1e-04","-0.1265
2251 / 0 / 749
 $\leq$ 1e-04","-0.2386
2228 / 0 / 772
 $\leq$ 1e-04","-0.2576
2363 / 0 / 637
 $\leq$ 1e-04","-0.3147
2213 / 0 / 787
 $\leq$ 1e-04","-0.3588
2365 / 0 / 635
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0031
1380 / 0 / 1620
 $\leq$ 1e-04",-,"-0.0504
1219 / 0 / 1781
 $\leq$ 1e-04","-0.0555
1915 / 0 / 1085
 $\leq$ 1e-04","-0.0571
1911 / 0 / 1089
 $\leq$ 1e-04","-0.1119
2240 / 0 / 760
 $\leq$ 1e-04","-0.1179
2230 / 0 / 770
 $\leq$ 1e-04","-0.1233
2203 / 0 / 797
 $\leq$ 1e-04","-0.2354
2193 / 0 / 807
 $\leq$ 1e-04","-0.2544
2349 / 0 / 651
 $\leq$ 1e-04","-0.3116
2215 / 0 / 785
 $\leq$ 1e-04","-0.3557
2364 / 0 / 636
 $\leq$ 1e-04"
Stat|Direct,"0.0536
1768 / 0 / 1232
 $\leq$ 1e-04","0.0504
1781 / 0 / 1219
 $\leq$ 1e-04",-,"-0.0051
1875 / 0 / 1125
 $\leq$ 1e-04","-0.0067
1884 / 0 / 1116
 $\leq$ 1e-04","-0.0615
2052 / 1 / 947
 $\leq$ 1e-04","-0.0674
2057 / 1 / 942
 $\leq$ 1e-04","-0.0729
2071 / 2 / 927
 $\leq$ 1e-04","-0.1850
2106 / 0 / 894
 $\leq$ 1e-04","-0.2040
2170 / 0 / 830
 $\leq$ 1e-04","-0.2612
2138 / 0 / 862
 $\leq$ 1e-04","-0.3053
2219 / 0 / 781
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0587
1065 / 0 / 1935
 $\leq$ 1e-04","0.0555
1085 / 0 / 1915
 $\leq$ 1e-04","0.0051
1125 / 0 / 1875
 $\leq$ 1e-04",-,"-0.0016
1327 / 0 / 1673
 $\leq$ 1e-04","-0.0564
2020 / 0 / 980
 $\leq$ 1e-04","-0.0623
2025 / 0 / 975
 $\leq$ 1e-04","-0.0678
2035 / 0 / 965
 $\leq$ 1e-04","-0.1799
1944 / 0 / 1056
 $\leq$ 1e-04","-0.1989
2159 / 0 / 841
 $\leq$ 1e-04","-0.2561
1991 / 0 / 1009
 $\leq$ 1e-04","-0.3002
2193 / 0 / 807
 $\leq$ 1e-04"
Stat|STL–SN,"0.0603
1090 / 0 / 1910
 $\leq$ 1e-04","0.0571
1089 / 0 / 1911
 $\leq$ 1e-04","0.0067
1116 / 0 / 1884
 $\leq$ 1e-04","0.0016
1673 / 0 / 1327
 $\leq$ 1e-04",-,"-0.0548
2032 / 0 / 968
 $\leq$ 1e-04","-0.0607
2036 / 0 / 964
 $\leq$ 1e-04","-0.0662
2044 / 0 / 956
 $\leq$ 1e-04","-0.1783
1940 / 0 / 1060
 $\leq$ 1e-04","-0.1973
2141 / 0 / 859
 $\leq$ 1e-04","-0.2544
1992 / 0 / 1008
 $\leq$ 1e-04","-0.2985
2176 / 0 / 824
 $\leq$ 1e-04"
Transformer|Direct,"0.1151
750 / 0 / 2250
 $\leq$ 1e-04","0.1119
760 / 0 / 2240
 $\leq$ 1e-04","0.0615
947 / 1 / 2052
 $\leq$ 1e-04","0.0564
980 / 0 / 2020
 $\leq$ 1e-04","0.0548
968 / 0 / 2032
 $\leq$ 1e-04",-,"-0.0059
1784 / 17 / 1199
 $\leq$ 1e-04","-0.0114
1785 / 10 / 1205
 $\leq$ 1e-04","-0.1235
1541 / 0 / 1459
 $\leq$ 1e-04","-0.1425
1622 / 0 / 1378
 $\leq$ 1e-04","-0.1996
1646 / 0 / 1354
 $\leq$ 1e-04","-0.2437
1894 / 0 / 1106
 $\leq$ 1e-04"
ML|Direct,"0.1210
746 / 0 / 2254
 $\leq$ 1e-04","0.1179
770 / 0 / 2230
 $\leq$ 1e-04","0.0674
942 / 1 / 2057
 $\leq$ 1e-04","0.0623
975 / 0 / 2025
 $\leq$ 1e-04","0.0607
964 / 0 / 2036
 $\leq$ 1e-04","0.0059
1199 / 17 / 1784
 $\leq$ 1e-04",-,"-0.0055
1785 / 10 / 1205
 $\leq$ 1e-04","-0.1176
1507 / 0 / 1493
 $\leq$ 1e-04","-0.1366
1582 / 0 / 1418
 $\leq$ 1e-04","-0.1937
1611 / 0 / 1389
 $\leq$ 1e-04","-0.2378
1862 / 0 / 1138
 $\leq$ 1e-04"
Neural|Direct,"0.1265
749 / 0 / 2251
 $\leq$ 1e-04","0.1233
797 / 0 / 2203
 $\leq$ 1e-04","0.0729
927 / 2 / 2071
 $\leq$ 1e-04","0.0678
965 / 0 / 2035
 $\leq$ 1e-04","0.0662
956 / 0 / 2044
 $\leq$ 1e-04","0.0114
1205 / 10 / 1785
 $\leq$ 1e-04","0.0055
1205 / 10 / 1785
 $\leq$ 1e-04",-,"-0.1121
1465 / 0 / 1535
 $\leq$ 1e-04","-0.1311
1553 / 0 / 1447
 $\leq$ 1e-04","-0.1882
1573 / 0 / 1427
 $\leq$ 1e-04","-0.2323
1836 / 0 / 1164
 $\leq$ 1e-04"
Neural|STL–AC,"0.2386
772 / 0 / 2228
 $\leq$ 1e-04","0.2354
807 / 0 / 2193
 $\leq$ 1e-04","0.1850
894 / 0 / 2106
 $\leq$ 1e-04","0.1799
1056 / 0 / 1944
 $\leq$ 1e-04","0.1783
1060 / 0 / 1940
 $\leq$ 1e-04","0.1235
1459 / 0 / 1541
 $\leq$ 1e-04","0.1176
1493 / 0 / 1507
 $\leq$ 1e-04","0.1121
1535 / 0 / 1465
 $\leq$ 1e-04",-,"-0.0190
1631 / 0 / 1369
 $\leq$ 1e-04","-0.0762
2073 / 0 / 927
 $\leq$ 1e-04","-0.1203
2271 / 0 / 729
 $\leq$ 1e-04"
Neural|STL–SN,"0.2576
637 / 0 / 2363
 $\leq$ 1e-04","0.2544
651 / 0 / 2349
 $\leq$ 1e-04","0.2040
830 / 0 / 2170
 $\leq$ 1e-04","0.1989
841 / 0 / 2159
 $\leq$ 1e-04","0.1973
859 / 0 / 2141
 $\leq$ 1e-04","0.1425
1378 / 0 / 1622
 $\leq$ 1e-04","0.1366
1418 / 0 / 1582
 $\leq$ 1e-04","0.1311
1447 / 0 / 1553
 $\leq$ 1e-04","0.0190
1369 / 0 / 1631
 $\leq$ 1e-04",-,"-0.0572
1759 / 0 / 1241
 $\leq$ 1e-04","-0.1012
2226 / 0 / 774
 $\leq$ 1e-04"
