comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Transformer|Direct,ML|Direct,Neural|Direct,Stat|STL–AC,Transformer|STL–AC,Neural|STL–SN,ML|STL–SN,Neural|STL–AC,ML|STL–AC
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0050
1809 / 0 / 1140
 $\leq$ 1e-04","-0.0053
1806 / 0 / 1143
 $\leq$ 1e-04","-0.0752
2002 / 0 / 947
 $\leq$ 1e-04","-0.0839
2023 / 0 / 926
 $\leq$ 1e-04","-0.0919
2024 / 0 / 925
 $\leq$ 1e-04","-0.1518
1887 / 0 / 1062
 $\leq$ 1e-04","-0.1580
1880 / 0 / 1069
 $\leq$ 1e-04","-0.1604
2087 / 0 / 862
 $\leq$ 1e-04","-0.2320
2155 / 0 / 794
 $\leq$ 1e-04","-0.2830
2157 / 0 / 792
 $\leq$ 1e-04","-0.2994
2154 / 0 / 795
 $\leq$ 1e-04"
Stat|STL–SN,"0.0050
1140 / 0 / 1809
 $\leq$ 1e-04",-,"-0.0003
1695 / 0 / 1254
 $\leq$ 1e-04","-0.0702
2029 / 0 / 920
 $\leq$ 1e-04","-0.0789
2051 / 0 / 898
 $\leq$ 1e-04","-0.0869
2060 / 0 / 889
 $\leq$ 1e-04","-0.1469
1488 / 0 / 1461
 $\leq$ 1e-04","-0.1530
1463 / 0 / 1486
 $\leq$ 1e-04","-0.1555
2148 / 0 / 801
 $\leq$ 1e-04","-0.2270
2156 / 0 / 793
 $\leq$ 1e-04","-0.2781
2047 / 0 / 902
 $\leq$ 1e-04","-0.2944
2078 / 0 / 871
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0053
1143 / 0 / 1806
 $\leq$ 1e-04","0.0003
1254 / 0 / 1695
 $\leq$ 1e-04",-,"-0.0700
2025 / 0 / 924
 $\leq$ 1e-04","-0.0786
2040 / 0 / 909
 $\leq$ 1e-04","-0.0867
2044 / 0 / 905
 $\leq$ 1e-04","-0.1466
1448 / 0 / 1501
 $\leq$ 1e-04","-0.1527
1455 / 0 / 1494
 $\leq$ 1e-04","-0.1552
2147 / 0 / 802
 $\leq$ 1e-04","-0.2267
2189 / 0 / 760
 $\leq$ 1e-04","-0.2778
2032 / 0 / 917
 $\leq$ 1e-04","-0.2941
2094 / 0 / 855
 $\leq$ 1e-04"
Transformer|Direct,"0.0752
947 / 0 / 2002
 $\leq$ 1e-04","0.0702
920 / 0 / 2029
 $\leq$ 1e-04","0.0700
924 / 0 / 2025
 $\leq$ 1e-04",-,"-0.0087
1848 / 12 / 1089
 $\leq$ 1e-04","-0.0167
1848 / 11 / 1090
 $\leq$ 1e-04","-0.0766
1145 / 0 / 1804
 $\leq$ 1e-04","-0.0828
1138 / 0 / 1811
 $\leq$ 1e-04","-0.0852
1540 / 0 / 1409
 $\leq$ 1e-04","-0.1568
1849 / 0 / 1100
 $\leq$ 1e-04","-0.2078
1692 / 0 / 1257
 $\leq$ 1e-04","-0.2242
1760 / 0 / 1189
 $\leq$ 1e-04"
ML|Direct,"0.0839
926 / 0 / 2023
 $\leq$ 1e-04","0.0789
898 / 0 / 2051
 $\leq$ 1e-04","0.0786
909 / 0 / 2040
 $\leq$ 1e-04","0.0087
1089 / 12 / 1848
 $\leq$ 1e-04",-,"-0.0080
1847 / 11 / 1091
 $\leq$ 1e-04","-0.0680
1121 / 0 / 1828
 $\leq$ 1e-04","-0.0741
1118 / 0 / 1831
 $\leq$ 1e-04","-0.0766
1484 / 0 / 1465
 $\leq$ 1e-04","-0.1481
1792 / 0 / 1157
 $\leq$ 1e-04","-0.1991
1646 / 0 / 1303
 $\leq$ 1e-04","-0.2155
1735 / 0 / 1214
 $\leq$ 1e-04"
Neural|Direct,"0.0919
925 / 0 / 2024
 $\leq$ 1e-04","0.0869
889 / 0 / 2060
 $\leq$ 1e-04","0.0867
905 / 0 / 2044
 $\leq$ 1e-04","0.0167
1090 / 11 / 1848
 $\leq$ 1e-04","0.0080
1091 / 11 / 1847
 $\leq$ 1e-04",-,"-0.0599
1100 / 0 / 1849
 $\leq$ 1e-04","-0.0661
1102 / 0 / 1847
 $\leq$ 1e-04","-0.0685
1433 / 0 / 1516
 $\leq$ 1e-04","-0.1401
1756 / 0 / 1193
 $\leq$ 1e-04","-0.1911
1606 / 0 / 1343
 $\leq$ 1e-04","-0.2075
1698 / 0 / 1251
 $\leq$ 1e-04"
Stat|STL–AC,"0.1518
1062 / 0 / 1887
 $\leq$ 1e-04","0.1469
1461 / 0 / 1488
 $\leq$ 1e-04","0.1466
1501 / 0 / 1448
 $\leq$ 1e-04","0.0766
1804 / 0 / 1145
 $\leq$ 1e-04","0.0680
1828 / 0 / 1121
 $\leq$ 1e-04","0.0599
1849 / 0 / 1100
 $\leq$ 1e-04",-,"-0.0061
1489 / 1 / 1459
0.7873","-0.0086
1935 / 0 / 1014
 $\leq$ 1e-04","-0.0801
1971 / 0 / 978
 $\leq$ 1e-04","-0.1312
2024 / 0 / 925
 $\leq$ 1e-04","-0.1476
1969 / 0 / 980
 $\leq$ 1e-04"
Transformer|STL–AC,"0.1580
1069 / 0 / 1880
 $\leq$ 1e-04","0.1530
1486 / 0 / 1463
 $\leq$ 1e-04","0.1527
1494 / 0 / 1455
 $\leq$ 1e-04","0.0828
1811 / 0 / 1138
 $\leq$ 1e-04","0.0741
1831 / 0 / 1118
 $\leq$ 1e-04","0.0661
1847 / 0 / 1102
 $\leq$ 1e-04","0.0061
1459 / 1 / 1489
0.7873",-,"-0.0025
1925 / 0 / 1024
 $\leq$ 1e-04","-0.0740
1965 / 0 / 984
 $\leq$ 1e-04","-0.1250
1984 / 0 / 965
 $\leq$ 1e-04","-0.1414
1993 / 0 / 956
 $\leq$ 1e-04"
Neural|STL–SN,"0.1604
862 / 0 / 2087
 $\leq$ 1e-04","0.1555
801 / 0 / 2148
 $\leq$ 1e-04","0.1552
802 / 0 / 2147
 $\leq$ 1e-04","0.0852
1409 / 0 / 1540
 $\leq$ 1e-04","0.0766
1465 / 0 / 1484
 $\leq$ 1e-04","0.0685
1516 / 0 / 1433
 $\leq$ 1e-04","0.0086
1014 / 0 / 1935
 $\leq$ 1e-04","0.0025
1024 / 0 / 1925
 $\leq$ 1e-04",-,"-0.0715
2234 / 0 / 715
 $\leq$ 1e-04","-0.1226
1667 / 0 / 1282
 $\leq$ 1e-04","-0.1390
1866 / 0 / 1083
 $\leq$ 1e-04"
ML|STL–SN,"0.2320
794 / 0 / 2155
 $\leq$ 1e-04","0.2270
793 / 0 / 2156
 $\leq$ 1e-04","0.2267
760 / 0 / 2189
 $\leq$ 1e-04","0.1568
1100 / 0 / 1849
 $\leq$ 1e-04","0.1481
1157 / 0 / 1792
 $\leq$ 1e-04","0.1401
1193 / 0 / 1756
 $\leq$ 1e-04","0.0801
978 / 0 / 1971
 $\leq$ 1e-04","0.0740
984 / 0 / 1965
 $\leq$ 1e-04","0.0715
715 / 0 / 2234
 $\leq$ 1e-04",-,"-0.0510
1247 / 0 / 1702
 $\leq$ 1e-04","-0.0674
1396 / 0 / 1553
0.5357"
