comparates,Stat|Direct,Stat|STL–AC,Stat|STL–SN,Transformer|STL–AC,Transformer|STL–SN,Transformer|Direct,Neural|Direct,ML|Direct,Neural|STL–AC,Neural|STL–SN,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0027
1729 / 0 / 1220
 $\leq$ 1e-04","-0.0066
1830 / 0 / 1119
 $\leq$ 1e-04","-0.0085
1765 / 0 / 1184
 $\leq$ 1e-04","-0.0104
1850 / 0 / 1099
 $\leq$ 1e-04","-0.0786
2025 / 0 / 924
 $\leq$ 1e-04","-0.0800
2025 / 0 / 924
 $\leq$ 1e-04","-0.0833
2033 / 0 / 916
 $\leq$ 1e-04","-0.1177
2022 / 0 / 927
 $\leq$ 1e-04","-0.1290
2109 / 0 / 840
 $\leq$ 1e-04","-0.1685
2059 / 0 / 890
 $\leq$ 1e-04","-0.1880
2153 / 0 / 796
 $\leq$ 1e-04"
Stat|STL–AC,"0.0027
1220 / 0 / 1729
 $\leq$ 1e-04",-,"-0.0040
1853 / 0 / 1096
 $\leq$ 1e-04","-0.0058
1802 / 1 / 1146
 $\leq$ 1e-04","-0.0077
1892 / 0 / 1057
 $\leq$ 1e-04","-0.0760
2084 / 0 / 865
 $\leq$ 1e-04","-0.0773
2088 / 0 / 861
 $\leq$ 1e-04","-0.0806
2091 / 0 / 858
 $\leq$ 1e-04","-0.1150
2104 / 0 / 845
 $\leq$ 1e-04","-0.1264
2198 / 0 / 751
 $\leq$ 1e-04","-0.1659
2071 / 0 / 878
 $\leq$ 1e-04","-0.1853
2202 / 0 / 747
 $\leq$ 1e-04"
Stat|STL–SN,"0.0066
1119 / 0 / 1830
 $\leq$ 1e-04","0.0040
1096 / 0 / 1853
 $\leq$ 1e-04",-,"-0.0018
1242 / 0 / 1707
 $\leq$ 1e-04","-0.0038
1878 / 0 / 1071
 $\leq$ 1e-04","-0.0720
2019 / 0 / 930
 $\leq$ 1e-04","-0.0734
2017 / 0 / 932
 $\leq$ 1e-04","-0.0767
2014 / 0 / 935
 $\leq$ 1e-04","-0.1111
1829 / 0 / 1120
 $\leq$ 1e-04","-0.1224
2113 / 0 / 836
 $\leq$ 1e-04","-0.1619
1894 / 0 / 1055
 $\leq$ 1e-04","-0.1813
2100 / 0 / 849
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0085
1184 / 0 / 1765
 $\leq$ 1e-04","0.0058
1146 / 1 / 1802
 $\leq$ 1e-04","0.0018
1707 / 0 / 1242
 $\leq$ 1e-04",-,"-0.0020
1795 / 0 / 1154
 $\leq$ 1e-04","-0.0702
2089 / 0 / 860
 $\leq$ 1e-04","-0.0716
2097 / 0 / 852
 $\leq$ 1e-04","-0.0749
2098 / 0 / 851
 $\leq$ 1e-04","-0.1092
2084 / 0 / 865
 $\leq$ 1e-04","-0.1206
2204 / 0 / 745
 $\leq$ 1e-04","-0.1601
2074 / 0 / 875
 $\leq$ 1e-04","-0.1795
2199 / 0 / 750
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0104
1099 / 0 / 1850
 $\leq$ 1e-04","0.0077
1057 / 0 / 1892
 $\leq$ 1e-04","0.0038
1071 / 0 / 1878
 $\leq$ 1e-04","0.0020
1154 / 0 / 1795
 $\leq$ 1e-04",-,"-0.0682
2006 / 0 / 943
 $\leq$ 1e-04","-0.0696
2004 / 0 / 945
 $\leq$ 1e-04","-0.0729
2012 / 0 / 937
 $\leq$ 1e-04","-0.1073
1781 / 0 / 1168
 $\leq$ 1e-04","-0.1186
2090 / 0 / 859
 $\leq$ 1e-04","-0.1581
1872 / 0 / 1077
 $\leq$ 1e-04","-0.1775
2107 / 0 / 842
 $\leq$ 1e-04"
Transformer|Direct,"0.0786
924 / 0 / 2025
 $\leq$ 1e-04","0.0760
865 / 0 / 2084
 $\leq$ 1e-04","0.0720
930 / 0 / 2019
 $\leq$ 1e-04","0.0702
860 / 0 / 2089
 $\leq$ 1e-04","0.0682
943 / 0 / 2006
 $\leq$ 1e-04",-,"-0.0014
1709 / 10 / 1230
 $\leq$ 1e-04","-0.0047
1722 / 11 / 1216
 $\leq$ 1e-04","-0.0390
1188 / 0 / 1761
 $\leq$ 1e-04","-0.0504
1329 / 0 / 1620
0.5062","-0.0899
1461 / 0 / 1488
 $\leq$ 1e-04","-0.1093
1698 / 0 / 1251
 $\leq$ 1e-04"
Neural|Direct,"0.0800
924 / 0 / 2025
 $\leq$ 1e-04","0.0773
861 / 0 / 2088
 $\leq$ 1e-04","0.0734
932 / 0 / 2017
 $\leq$ 1e-04","0.0716
852 / 0 / 2097
 $\leq$ 1e-04","0.0696
945 / 0 / 2004
 $\leq$ 1e-04","0.0014
1230 / 10 / 1709
 $\leq$ 1e-04",-,"-0.0033
1745 / 9 / 1195
 $\leq$ 1e-04","-0.0377
1164 / 0 / 1785
 $\leq$ 1e-04","-0.0490
1328 / 0 / 1621
0.2809","-0.0885
1450 / 0 / 1499
0.0001","-0.1080
1678 / 0 / 1271
 $\leq$ 1e-04"
ML|Direct,"0.0833
916 / 0 / 2033
 $\leq$ 1e-04","0.0806
858 / 0 / 2091
 $\leq$ 1e-04","0.0767
935 / 0 / 2014
 $\leq$ 1e-04","0.0749
851 / 0 / 2098
 $\leq$ 1e-04","0.0729
937 / 0 / 2012
 $\leq$ 1e-04","0.0047
1216 / 11 / 1722
 $\leq$ 1e-04","0.0033
1195 / 9 / 1745
 $\leq$ 1e-04",-,"-0.0344
1143 / 0 / 1806
 $\leq$ 1e-04","-0.0457
1310 / 0 / 1639
0.0631","-0.0852
1437 / 0 / 1512
0.0011","-0.1046
1655 / 0 / 1294
 $\leq$ 1e-04"
Neural|STL–AC,"0.1177
927 / 0 / 2022
 $\leq$ 1e-04","0.1150
845 / 0 / 2104
 $\leq$ 1e-04","0.1111
1120 / 0 / 1829
 $\leq$ 1e-04","0.1092
865 / 0 / 2084
 $\leq$ 1e-04","0.1073
1168 / 0 / 1781
 $\leq$ 1e-04","0.0390
1761 / 0 / 1188
 $\leq$ 1e-04","0.0377
1785 / 0 / 1164
 $\leq$ 1e-04","0.0344
1806 / 0 / 1143
 $\leq$ 1e-04",-,"-0.0113
1770 / 0 / 1179
 $\leq$ 1e-04","-0.0509
2053 / 0 / 896
 $\leq$ 1e-04","-0.0703
2182 / 0 / 767
 $\leq$ 1e-04"
Neural|STL–SN,"0.1290
840 / 0 / 2109
 $\leq$ 1e-04","0.1264
751 / 0 / 2198
 $\leq$ 1e-04","0.1224
836 / 0 / 2113
 $\leq$ 1e-04","0.1206
745 / 0 / 2204
 $\leq$ 1e-04","0.1186
859 / 0 / 2090
 $\leq$ 1e-04","0.0504
1620 / 0 / 1329
0.5062","0.0490
1621 / 0 / 1328
0.2809","0.0457
1639 / 0 / 1310
0.0631","0.0113
1179 / 0 / 1770
 $\leq$ 1e-04",-,"-0.0395
1623 / 0 / 1326
 $\leq$ 1e-04","-0.0589
2150 / 0 / 799
 $\leq$ 1e-04"
