comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0130
4907 / 0 / 2899
 $\leq$ 1e-04","-0.0135
4940 / 0 / 2866
 $\leq$ 1e-04","-0.0238
4734 / 0 / 3072
 $\leq$ 1e-04","-0.0322
4788 / 0 / 3018
 $\leq$ 1e-04","-0.0818
5367 / 3 / 2436
 $\leq$ 1e-04","-0.0923
5403 / 3 / 2400
 $\leq$ 1e-04","-0.1001
5436 / 4 / 2366
 $\leq$ 1e-04","-0.2211
5733 / 0 / 2073
 $\leq$ 1e-04","-0.2234
5602 / 0 / 2204
 $\leq$ 1e-04","-0.3054
5695 / 0 / 2111
 $\leq$ 1e-04","-0.3086
5858 / 0 / 1948
 $\leq$ 1e-04"
Stat|STL–SN,"0.0130
2899 / 0 / 4907
 $\leq$ 1e-04",-,"-0.0005
4526 / 1 / 3279
 $\leq$ 1e-04","-0.0108
3142 / 0 / 4664
 $\leq$ 1e-04","-0.0192
3373 / 0 / 4433
 $\leq$ 1e-04","-0.0688
5435 / 0 / 2371
 $\leq$ 1e-04","-0.0793
5459 / 0 / 2347
 $\leq$ 1e-04","-0.0871
5530 / 0 / 2276
 $\leq$ 1e-04","-0.2081
5863 / 0 / 1943
 $\leq$ 1e-04","-0.2104
5266 / 0 / 2540
 $\leq$ 1e-04","-0.2924
5427 / 0 / 2379
 $\leq$ 1e-04","-0.2955
5831 / 0 / 1975
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0135
2866 / 0 / 4940
 $\leq$ 1e-04","0.0005
3279 / 1 / 4526
 $\leq$ 1e-04",-,"-0.0103
3091 / 0 / 4715
 $\leq$ 1e-04","-0.0187
3264 / 0 / 4542
 $\leq$ 1e-04","-0.0683
5400 / 0 / 2406
 $\leq$ 1e-04","-0.0787
5423 / 0 / 2383
 $\leq$ 1e-04","-0.0866
5466 / 0 / 2340
 $\leq$ 1e-04","-0.2075
5829 / 0 / 1977
 $\leq$ 1e-04","-0.2099
5237 / 0 / 2569
 $\leq$ 1e-04","-0.2919
5428 / 0 / 2378
 $\leq$ 1e-04","-0.2950
5857 / 0 / 1949
 $\leq$ 1e-04"
Stat|STL–AC,"0.0238
3072 / 0 / 4734
 $\leq$ 1e-04","0.0108
4664 / 0 / 3142
 $\leq$ 1e-04","0.0103
4715 / 0 / 3091
 $\leq$ 1e-04",-,"-0.0085
4599 / 0 / 3207
 $\leq$ 1e-04","-0.0581
5545 / 0 / 2261
 $\leq$ 1e-04","-0.0685
5571 / 0 / 2235
 $\leq$ 1e-04","-0.0764
5585 / 0 / 2221
 $\leq$ 1e-04","-0.1973
5953 / 0 / 1853
 $\leq$ 1e-04","-0.1996
5833 / 0 / 1973
 $\leq$ 1e-04","-0.2816
5760 / 0 / 2046
 $\leq$ 1e-04","-0.2848
5956 / 0 / 1850
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0322
3018 / 0 / 4788
 $\leq$ 1e-04","0.0192
4433 / 0 / 3373
 $\leq$ 1e-04","0.0187
4542 / 0 / 3264
 $\leq$ 1e-04","0.0085
3207 / 0 / 4599
 $\leq$ 1e-04",-,"-0.0496
5492 / 0 / 2314
 $\leq$ 1e-04","-0.0600
5525 / 0 / 2281
 $\leq$ 1e-04","-0.0679
5541 / 0 / 2265
 $\leq$ 1e-04","-0.1888
5921 / 0 / 1885
 $\leq$ 1e-04","-0.1911
5748 / 0 / 2058
 $\leq$ 1e-04","-0.2732
5762 / 0 / 2044
 $\leq$ 1e-04","-0.2763
5930 / 0 / 1876
 $\leq$ 1e-04"
Transformer|Direct,"0.0818
2436 / 3 / 5367
 $\leq$ 1e-04","0.0688
2371 / 0 / 5435
 $\leq$ 1e-04","0.0683
2406 / 0 / 5400
 $\leq$ 1e-04","0.0581
2261 / 0 / 5545
 $\leq$ 1e-04","0.0496
2314 / 0 / 5492
 $\leq$ 1e-04",-,"-0.0104
4892 / 41 / 2873
 $\leq$ 1e-04","-0.0183
4793 / 29 / 2984
 $\leq$ 1e-04","-0.1392
4670 / 0 / 3136
 $\leq$ 1e-04","-0.1415
4093 / 0 / 3713
 $\leq$ 1e-04","-0.2236
4690 / 0 / 3116
 $\leq$ 1e-04","-0.2267
5197 / 0 / 2609
 $\leq$ 1e-04"
ML|Direct,"0.0923
2400 / 3 / 5403
 $\leq$ 1e-04","0.0793
2347 / 0 / 5459
 $\leq$ 1e-04","0.0787
2383 / 0 / 5423
 $\leq$ 1e-04","0.0685
2235 / 0 / 5571
 $\leq$ 1e-04","0.0600
2281 / 0 / 5525
 $\leq$ 1e-04","0.0104
2873 / 41 / 4892
 $\leq$ 1e-04",-,"-0.0079
4595 / 29 / 3182
 $\leq$ 1e-04","-0.1288
4483 / 0 / 3323
 $\leq$ 1e-04","-0.1311
3911 / 0 / 3895
 $\leq$ 1e-04","-0.2132
4588 / 0 / 3218
 $\leq$ 1e-04","-0.2163
5116 / 0 / 2690
 $\leq$ 1e-04"
Neural|Direct,"0.1001
2366 / 4 / 5436
 $\leq$ 1e-04","0.0871
2276 / 0 / 5530
 $\leq$ 1e-04","0.0866
2340 / 0 / 5466
 $\leq$ 1e-04","0.0764
2221 / 0 / 5585
 $\leq$ 1e-04","0.0679
2265 / 0 / 5541
 $\leq$ 1e-04","0.0183
2984 / 29 / 4793
 $\leq$ 1e-04","0.0079
3182 / 29 / 4595
 $\leq$ 1e-04",-,"-0.1209
4267 / 0 / 3539
 $\leq$ 1e-04","-0.1232
3793 / 0 / 4013
 $\leq$ 1e-04","-0.2053
4477 / 0 / 3329
 $\leq$ 1e-04","-0.2084
4920 / 0 / 2886
 $\leq$ 1e-04"
Neural|STL–SN,"0.2211
2073 / 0 / 5733
 $\leq$ 1e-04","0.2081
1943 / 0 / 5863
 $\leq$ 1e-04","0.2075
1977 / 0 / 5829
 $\leq$ 1e-04","0.1973
1853 / 0 / 5953
 $\leq$ 1e-04","0.1888
1885 / 0 / 5921
 $\leq$ 1e-04","0.1392
3136 / 0 / 4670
 $\leq$ 1e-04","0.1288
3323 / 0 / 4483
 $\leq$ 1e-04","0.1209
3539 / 0 / 4267
 $\leq$ 1e-04",-,"-0.0023
3018 / 0 / 4788
 $\leq$ 1e-04","-0.0844
4769 / 0 / 3037
 $\leq$ 1e-04","-0.0875
5678 / 0 / 2128
 $\leq$ 1e-04"
Neural|STL–AC,"0.2234
2204 / 0 / 5602
 $\leq$ 1e-04","0.2104
2540 / 0 / 5266
 $\leq$ 1e-04","0.2099
2569 / 0 / 5237
 $\leq$ 1e-04","0.1996
1973 / 0 / 5833
 $\leq$ 1e-04","0.1911
2058 / 0 / 5748
 $\leq$ 1e-04","0.1415
3713 / 0 / 4093
 $\leq$ 1e-04","0.1311
3895 / 0 / 3911
 $\leq$ 1e-04","0.1232
4013 / 0 / 3793
 $\leq$ 1e-04","0.0023
4788 / 0 / 3018
 $\leq$ 1e-04",-,"-0.0820
5603 / 0 / 2203
 $\leq$ 1e-04","-0.0852
5810 / 0 / 1996
 $\leq$ 1e-04"
