comparates,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Stat|Direct,Transformer|STL–AC,Neural|Direct,Transformer|Direct,ML|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–SN,ML|STL–AC
Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0032
1661 / 0 / 1334
 $\leq$ 1e-04","-0.0098
1320 / 0 / 1675
 $\leq$ 1e-04","-0.0100
1186 / 0 / 1809
 $\leq$ 1e-04","-0.0151
1329 / 0 / 1666
 $\leq$ 1e-04","-0.0719
2056 / 0 / 939
 $\leq$ 1e-04","-0.0731
2036 / 0 / 959
 $\leq$ 1e-04","-0.0784
2071 / 0 / 924
 $\leq$ 1e-04","-0.2871
2213 / 0 / 782
 $\leq$ 1e-04","-0.3001
2119 / 0 / 876
 $\leq$ 1e-04","-0.4474
2284 / 0 / 711
 $\leq$ 1e-04","-0.4484
2172 / 0 / 823
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0032
1334 / 0 / 1661
 $\leq$ 1e-04",-,"-0.0066
1191 / 0 / 1804
 $\leq$ 1e-04","-0.0068
1161 / 0 / 1834
 $\leq$ 1e-04","-0.0119
1219 / 0 / 1776
 $\leq$ 1e-04","-0.0687
2053 / 0 / 942
 $\leq$ 1e-04","-0.0699
2041 / 0 / 954
 $\leq$ 1e-04","-0.0752
2049 / 0 / 946
 $\leq$ 1e-04","-0.2840
2258 / 0 / 737
 $\leq$ 1e-04","-0.2969
2126 / 0 / 869
 $\leq$ 1e-04","-0.4442
2308 / 0 / 687
 $\leq$ 1e-04","-0.4452
2202 / 0 / 793
 $\leq$ 1e-04"
Stat|STL–AC,"0.0098
1675 / 0 / 1320
 $\leq$ 1e-04","0.0066
1804 / 0 / 1191
 $\leq$ 1e-04",-,"-0.0002
1213 / 0 / 1782
 $\leq$ 1e-04","-0.0053
1548 / 0 / 1447
0.0065","-0.0622
2164 / 0 / 831
 $\leq$ 1e-04","-0.0633
2143 / 0 / 852
 $\leq$ 1e-04","-0.0686
2161 / 0 / 834
 $\leq$ 1e-04","-0.2774
2344 / 0 / 651
 $\leq$ 1e-04","-0.2903
2298 / 0 / 697
 $\leq$ 1e-04","-0.4377
2369 / 0 / 626
 $\leq$ 1e-04","-0.4386
2277 / 0 / 718
 $\leq$ 1e-04"
Stat|Direct,"0.0100
1809 / 0 / 1186
 $\leq$ 1e-04","0.0068
1834 / 0 / 1161
 $\leq$ 1e-04","0.0002
1782 / 0 / 1213
 $\leq$ 1e-04",-,"-0.0050
1793 / 0 / 1202
 $\leq$ 1e-04","-0.0619
2019 / 1 / 975
 $\leq$ 1e-04","-0.0631
2005 / 1 / 989
 $\leq$ 1e-04","-0.0684
2024 / 1 / 970
 $\leq$ 1e-04","-0.2771
2202 / 0 / 793
 $\leq$ 1e-04","-0.2900
2180 / 0 / 815
 $\leq$ 1e-04","-0.4374
2288 / 0 / 707
 $\leq$ 1e-04","-0.4384
2226 / 0 / 769
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0151
1666 / 0 / 1329
 $\leq$ 1e-04","0.0119
1776 / 0 / 1219
 $\leq$ 1e-04","0.0053
1447 / 0 / 1548
0.0065","0.0050
1202 / 0 / 1793
 $\leq$ 1e-04",-,"-0.0569
2147 / 0 / 848
 $\leq$ 1e-04","-0.0580
2133 / 0 / 862
 $\leq$ 1e-04","-0.0633
2139 / 0 / 856
 $\leq$ 1e-04","-0.2721
2354 / 0 / 641
 $\leq$ 1e-04","-0.2850
2285 / 0 / 710
 $\leq$ 1e-04","-0.4324
2374 / 0 / 621
 $\leq$ 1e-04","-0.4333
2271 / 0 / 724
 $\leq$ 1e-04"
Neural|Direct,"0.0719
939 / 0 / 2056
 $\leq$ 1e-04","0.0687
942 / 0 / 2053
 $\leq$ 1e-04","0.0622
831 / 0 / 2164
 $\leq$ 1e-04","0.0619
975 / 1 / 2019
 $\leq$ 1e-04","0.0569
848 / 0 / 2147
 $\leq$ 1e-04",-,"-0.0012
1630 / 13 / 1352
0.0309","-0.0065
1746 / 13 / 1236
 $\leq$ 1e-04","-0.2152
1890 / 0 / 1105
 $\leq$ 1e-04","-0.2281
1721 / 0 / 1274
 $\leq$ 1e-04","-0.3755
2105 / 0 / 890
 $\leq$ 1e-04","-0.3765
1995 / 0 / 1000
 $\leq$ 1e-04"
Transformer|Direct,"0.0731
959 / 0 / 2036
 $\leq$ 1e-04","0.0699
954 / 0 / 2041
 $\leq$ 1e-04","0.0633
852 / 0 / 2143
 $\leq$ 1e-04","0.0631
989 / 1 / 2005
 $\leq$ 1e-04","0.0580
862 / 0 / 2133
 $\leq$ 1e-04","0.0012
1352 / 13 / 1630
0.0309",-,"-0.0053
1343 / 18 / 1634
0.3900","-0.2141
1853 / 0 / 1142
 $\leq$ 1e-04","-0.2270
1745 / 0 / 1250
 $\leq$ 1e-04","-0.3743
2077 / 0 / 918
 $\leq$ 1e-04","-0.3753
1983 / 0 / 1012
 $\leq$ 1e-04"
ML|Direct,"0.0784
924 / 0 / 2071
 $\leq$ 1e-04","0.0752
946 / 0 / 2049
 $\leq$ 1e-04","0.0686
834 / 0 / 2161
 $\leq$ 1e-04","0.0684
970 / 1 / 2024
 $\leq$ 1e-04","0.0633
856 / 0 / 2139
 $\leq$ 1e-04","0.0065
1236 / 13 / 1746
 $\leq$ 1e-04","0.0053
1634 / 18 / 1343
0.3900",-,"-0.2088
1864 / 0 / 1131
 $\leq$ 1e-04","-0.2217
1687 / 0 / 1308
 $\leq$ 1e-04","-0.3690
2101 / 0 / 894
 $\leq$ 1e-04","-0.3700
1999 / 0 / 996
 $\leq$ 1e-04"
Neural|STL–SN,"0.2871
782 / 0 / 2213
 $\leq$ 1e-04","0.2840
737 / 0 / 2258
 $\leq$ 1e-04","0.2774
651 / 0 / 2344
 $\leq$ 1e-04","0.2771
793 / 0 / 2202
 $\leq$ 1e-04","0.2721
641 / 0 / 2354
 $\leq$ 1e-04","0.2152
1105 / 0 / 1890
 $\leq$ 1e-04","0.2141
1142 / 0 / 1853
 $\leq$ 1e-04","0.2088
1131 / 0 / 1864
 $\leq$ 1e-04",-,"-0.0129
1140 / 0 / 1855
 $\leq$ 1e-04","-0.1603
2382 / 0 / 613
 $\leq$ 1e-04","-0.1612
2062 / 0 / 933
 $\leq$ 1e-04"
Neural|STL–AC,"0.3001
876 / 0 / 2119
 $\leq$ 1e-04","0.2969
869 / 0 / 2126
 $\leq$ 1e-04","0.2903
697 / 0 / 2298
 $\leq$ 1e-04","0.2900
815 / 0 / 2180
 $\leq$ 1e-04","0.2850
710 / 0 / 2285
 $\leq$ 1e-04","0.2281
1274 / 0 / 1721
 $\leq$ 1e-04","0.2270
1250 / 0 / 1745
 $\leq$ 1e-04","0.2217
1308 / 0 / 1687
 $\leq$ 1e-04","0.0129
1855 / 0 / 1140
 $\leq$ 1e-04",-,"-0.1474
2394 / 0 / 601
 $\leq$ 1e-04","-0.1483
2277 / 0 / 718
 $\leq$ 1e-04"
