comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Neural|Direct,ML|Direct,Transformer|STL–AC,Transformer|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–SN,ML|STL–AC
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0159
1847 / 0 / 1102
 $\leq$ 1e-04","-0.0168
1863 / 0 / 1086
 $\leq$ 1e-04","-0.0550
1782 / 0 / 1167
 $\leq$ 1e-04","-0.0588
1989 / 2 / 958
 $\leq$ 1e-04","-0.0595
1991 / 2 / 956
 $\leq$ 1e-04","-0.0625
1794 / 0 / 1155
 $\leq$ 1e-04","-0.0626
1996 / 3 / 950
 $\leq$ 1e-04","-0.1230
2034 / 0 / 915
 $\leq$ 1e-04","-0.1352
1950 / 0 / 999
 $\leq$ 1e-04","-0.1635
2056 / 0 / 893
 $\leq$ 1e-04","-0.1772
1967 / 0 / 982
 $\leq$ 1e-04"
Stat|STL–SN,"0.0159
1102 / 0 / 1847
 $\leq$ 1e-04",-,"-0.0009
1683 / 0 / 1266
 $\leq$ 1e-04","-0.0391
1267 / 0 / 1682
 $\leq$ 1e-04","-0.0428
1820 / 0 / 1129
 $\leq$ 1e-04","-0.0435
1822 / 0 / 1127
 $\leq$ 1e-04","-0.0466
1368 / 0 / 1581
0.0021","-0.0466
1832 / 0 / 1117
 $\leq$ 1e-04","-0.1070
1836 / 0 / 1113
 $\leq$ 1e-04","-0.1192
1630 / 0 / 1319
 $\leq$ 1e-04","-0.1475
1814 / 0 / 1135
 $\leq$ 1e-04","-0.1613
1657 / 0 / 1292
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0168
1086 / 0 / 1863
 $\leq$ 1e-04","0.0009
1266 / 0 / 1683
 $\leq$ 1e-04",-,"-0.0382
1239 / 0 / 1710
 $\leq$ 1e-04","-0.0420
1816 / 0 / 1133
 $\leq$ 1e-04","-0.0427
1821 / 0 / 1128
 $\leq$ 1e-04","-0.0457
1340 / 0 / 1609
0.0001","-0.0458
1823 / 0 / 1126
 $\leq$ 1e-04","-0.1061
1816 / 0 / 1133
 $\leq$ 1e-04","-0.1184
1625 / 0 / 1324
 $\leq$ 1e-04","-0.1466
1845 / 0 / 1104
 $\leq$ 1e-04","-0.1604
1677 / 0 / 1272
 $\leq$ 1e-04"
Stat|STL–AC,"0.0550
1167 / 0 / 1782
 $\leq$ 1e-04","0.0391
1682 / 0 / 1267
 $\leq$ 1e-04","0.0382
1710 / 0 / 1239
 $\leq$ 1e-04",-,"-0.0037
1919 / 0 / 1030
 $\leq$ 1e-04","-0.0044
1920 / 0 / 1029
 $\leq$ 1e-04","-0.0075
1736 / 0 / 1213
 $\leq$ 1e-04","-0.0075
1922 / 0 / 1027
 $\leq$ 1e-04","-0.0679
1992 / 0 / 957
 $\leq$ 1e-04","-0.0801
1863 / 0 / 1086
 $\leq$ 1e-04","-0.1084
1971 / 0 / 978
 $\leq$ 1e-04","-0.1222
1806 / 0 / 1143
 $\leq$ 1e-04"
Neural|Direct,"0.0588
958 / 2 / 1989
 $\leq$ 1e-04","0.0428
1129 / 0 / 1820
 $\leq$ 1e-04","0.0420
1133 / 0 / 1816
 $\leq$ 1e-04","0.0037
1030 / 0 / 1919
 $\leq$ 1e-04",-,"-0.0007
1245 / 12 / 1692
 $\leq$ 1e-04","-0.0038
1041 / 0 / 1908
 $\leq$ 1e-04","-0.0038
1766 / 12 / 1171
 $\leq$ 1e-04","-0.0642
1502 / 0 / 1447
0.0014","-0.0764
1284 / 0 / 1665
0.0184","-0.1047
1581 / 0 / 1368
 $\leq$ 1e-04","-0.1184
1400 / 0 / 1549
0.0008"
ML|Direct,"0.0595
956 / 2 / 1991
 $\leq$ 1e-04","0.0435
1127 / 0 / 1822
 $\leq$ 1e-04","0.0427
1128 / 0 / 1821
 $\leq$ 1e-04","0.0044
1029 / 0 / 1920
 $\leq$ 1e-04","0.0007
1692 / 12 / 1245
 $\leq$ 1e-04",-,"-0.0031
1034 / 0 / 1915
 $\leq$ 1e-04","-0.0031
1712 / 15 / 1222
 $\leq$ 1e-04","-0.0635
1497 / 0 / 1452
0.0013","-0.0757
1279 / 0 / 1670
0.0162","-0.1040
1577 / 0 / 1372
 $\leq$ 1e-04","-0.1177
1397 / 0 / 1552
0.0010"
Transformer|STL–AC,"0.0625
1155 / 0 / 1794
 $\leq$ 1e-04","0.0466
1581 / 0 / 1368
0.0021","0.0457
1609 / 0 / 1340
0.0001","0.0075
1213 / 0 / 1736
 $\leq$ 1e-04","0.0038
1908 / 0 / 1041
 $\leq$ 1e-04","0.0031
1915 / 0 / 1034
 $\leq$ 1e-04",-,"-0.0000
1916 / 0 / 1033
 $\leq$ 1e-04","-0.0604
1974 / 0 / 975
 $\leq$ 1e-04","-0.0726
1785 / 0 / 1164
 $\leq$ 1e-04","-0.1009
1966 / 0 / 983
 $\leq$ 1e-04","-0.1147
1815 / 0 / 1134
 $\leq$ 1e-04"
Transformer|Direct,"0.0626
950 / 3 / 1996
 $\leq$ 1e-04","0.0466
1117 / 0 / 1832
 $\leq$ 1e-04","0.0458
1126 / 0 / 1823
 $\leq$ 1e-04","0.0075
1027 / 0 / 1922
 $\leq$ 1e-04","0.0038
1171 / 12 / 1766
 $\leq$ 1e-04","0.0031
1222 / 15 / 1712
 $\leq$ 1e-04","0.0000
1033 / 0 / 1916
 $\leq$ 1e-04",-,"-0.0604
1455 / 0 / 1494
0.0602","-0.0726
1259 / 0 / 1690
0.0020","-0.1009
1545 / 0 / 1404
 $\leq$ 1e-04","-0.1146
1394 / 0 / 1555
0.0082"
Neural|STL–SN,"0.1230
915 / 0 / 2034
 $\leq$ 1e-04","0.1070
1113 / 0 / 1836
 $\leq$ 1e-04","0.1061
1133 / 0 / 1816
 $\leq$ 1e-04","0.0679
957 / 0 / 1992
 $\leq$ 1e-04","0.0642
1447 / 0 / 1502
0.0014","0.0635
1452 / 0 / 1497
0.0013","0.0604
975 / 0 / 1974
 $\leq$ 1e-04","0.0604
1494 / 0 / 1455
0.0602",-,"-0.0122
1116 / 0 / 1833
 $\leq$ 1e-04","-0.0405
1871 / 0 / 1078
 $\leq$ 1e-04","-0.0542
1503 / 0 / 1446
 $\leq$ 1e-04"
Neural|STL–AC,"0.1352
999 / 0 / 1950
 $\leq$ 1e-04","0.1192
1319 / 0 / 1630
 $\leq$ 1e-04","0.1184
1324 / 0 / 1625
 $\leq$ 1e-04","0.0801
1086 / 0 / 1863
 $\leq$ 1e-04","0.0764
1665 / 0 / 1284
0.0184","0.0757
1670 / 0 / 1279
0.0162","0.0726
1164 / 0 / 1785
 $\leq$ 1e-04","0.0726
1690 / 0 / 1259
0.0020","0.0122
1833 / 0 / 1116
 $\leq$ 1e-04",-,"-0.0283
2004 / 0 / 945
 $\leq$ 1e-04","-0.0420
1838 / 0 / 1111
 $\leq$ 1e-04"
