comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Neural|Direct,ML|Direct,Transformer|Direct,Neural|STL–AC,Neural|STL–SN,ML|STL–SN,ML|STL–AC
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0257
1905 / 0 / 1095
 $\leq$ 1e-04","-0.0306
1935 / 0 / 1065
 $\leq$ 1e-04","-0.0463
1898 / 0 / 1102
 $\leq$ 1e-04","-0.0619
1935 / 0 / 1065
 $\leq$ 1e-04","-0.1378
2115 / 1 / 884
 $\leq$ 1e-04","-0.1415
2124 / 0 / 876
 $\leq$ 1e-04","-0.1433
2115 / 0 / 885
 $\leq$ 1e-04","-0.2580
2237 / 0 / 763
 $\leq$ 1e-04","-0.2593
2257 / 0 / 743
 $\leq$ 1e-04","-0.3513
2313 / 0 / 687
 $\leq$ 1e-04","-0.3668
2284 / 0 / 716
 $\leq$ 1e-04"
Stat|STL–SN,"0.0257
1095 / 0 / 1905
 $\leq$ 1e-04",-,"-0.0049
2012 / 0 / 988
 $\leq$ 1e-04","-0.0206
1464 / 0 / 1536
0.0654","-0.0362
1625 / 0 / 1375
0.0011","-0.1121
2181 / 0 / 819
 $\leq$ 1e-04","-0.1158
2179 / 0 / 821
 $\leq$ 1e-04","-0.1176
2186 / 0 / 814
 $\leq$ 1e-04","-0.2323
2130 / 0 / 870
 $\leq$ 1e-04","-0.2336
2348 / 0 / 652
 $\leq$ 1e-04","-0.3256
2361 / 0 / 639
 $\leq$ 1e-04","-0.3411
2203 / 0 / 797
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0306
1065 / 0 / 1935
 $\leq$ 1e-04","0.0049
988 / 0 / 2012
 $\leq$ 1e-04",-,"-0.0156
1365 / 0 / 1635
 $\leq$ 1e-04","-0.0312
1526 / 0 / 1474
0.3778","-0.1072
2166 / 0 / 834
 $\leq$ 1e-04","-0.1108
2167 / 0 / 833
 $\leq$ 1e-04","-0.1127
2170 / 0 / 830
 $\leq$ 1e-04","-0.2274
2125 / 0 / 875
 $\leq$ 1e-04","-0.2287
2363 / 0 / 637
 $\leq$ 1e-04","-0.3207
2361 / 0 / 639
 $\leq$ 1e-04","-0.3362
2198 / 0 / 802
 $\leq$ 1e-04"
Stat|STL–AC,"0.0463
1102 / 0 / 1898
 $\leq$ 1e-04","0.0206
1536 / 0 / 1464
0.0654","0.0156
1635 / 0 / 1365
 $\leq$ 1e-04",-,"-0.0156
1972 / 1 / 1027
 $\leq$ 1e-04","-0.0915
2177 / 0 / 823
 $\leq$ 1e-04","-0.0952
2177 / 0 / 823
 $\leq$ 1e-04","-0.0971
2175 / 0 / 825
 $\leq$ 1e-04","-0.2117
2339 / 0 / 661
 $\leq$ 1e-04","-0.2130
2330 / 0 / 670
 $\leq$ 1e-04","-0.3050
2343 / 0 / 657
 $\leq$ 1e-04","-0.3205
2294 / 0 / 706
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0619
1065 / 0 / 1935
 $\leq$ 1e-04","0.0362
1375 / 0 / 1625
0.0011","0.0312
1474 / 0 / 1526
0.3778","0.0156
1027 / 1 / 1972
 $\leq$ 1e-04",-,"-0.0760
2130 / 0 / 870
 $\leq$ 1e-04","-0.0796
2143 / 0 / 857
 $\leq$ 1e-04","-0.0815
2128 / 0 / 872
 $\leq$ 1e-04","-0.1961
2304 / 0 / 696
 $\leq$ 1e-04","-0.1975
2302 / 0 / 698
 $\leq$ 1e-04","-0.2895
2314 / 0 / 686
 $\leq$ 1e-04","-0.3050
2283 / 0 / 717
 $\leq$ 1e-04"
Neural|Direct,"0.1378
884 / 1 / 2115
 $\leq$ 1e-04","0.1121
819 / 0 / 2181
 $\leq$ 1e-04","0.1072
834 / 0 / 2166
 $\leq$ 1e-04","0.0915
823 / 0 / 2177
 $\leq$ 1e-04","0.0760
870 / 0 / 2130
 $\leq$ 1e-04",-,"-0.0036
1303 / 9 / 1688
0.6338","-0.0055
1777 / 9 / 1214
 $\leq$ 1e-04","-0.1202
1571 / 0 / 1429
 $\leq$ 1e-04","-0.1215
1719 / 0 / 1281
 $\leq$ 1e-04","-0.2135
2054 / 0 / 946
 $\leq$ 1e-04","-0.2290
1928 / 0 / 1072
 $\leq$ 1e-04"
ML|Direct,"0.1415
876 / 0 / 2124
 $\leq$ 1e-04","0.1158
821 / 0 / 2179
 $\leq$ 1e-04","0.1108
833 / 0 / 2167
 $\leq$ 1e-04","0.0952
823 / 0 / 2177
 $\leq$ 1e-04","0.0796
857 / 0 / 2143
 $\leq$ 1e-04","0.0036
1688 / 9 / 1303
0.6338",-,"-0.0019
1724 / 12 / 1264
 $\leq$ 1e-04","-0.1165
1557 / 0 / 1443
 $\leq$ 1e-04","-0.1179
1711 / 0 / 1289
 $\leq$ 1e-04","-0.2099
2045 / 0 / 955
 $\leq$ 1e-04","-0.2253
1921 / 0 / 1079
 $\leq$ 1e-04"
Transformer|Direct,"0.1433
885 / 0 / 2115
 $\leq$ 1e-04","0.1176
814 / 0 / 2186
 $\leq$ 1e-04","0.1127
830 / 0 / 2170
 $\leq$ 1e-04","0.0971
825 / 0 / 2175
 $\leq$ 1e-04","0.0815
872 / 0 / 2128
 $\leq$ 1e-04","0.0055
1214 / 9 / 1777
 $\leq$ 1e-04","0.0019
1264 / 12 / 1724
 $\leq$ 1e-04",-,"-0.1147
1536 / 0 / 1464
 $\leq$ 1e-04","-0.1160
1659 / 0 / 1341
 $\leq$ 1e-04","-0.2080
2023 / 0 / 977
 $\leq$ 1e-04","-0.2235
1901 / 0 / 1099
 $\leq$ 1e-04"
Neural|STL–AC,"0.2580
763 / 0 / 2237
 $\leq$ 1e-04","0.2323
870 / 0 / 2130
 $\leq$ 1e-04","0.2274
875 / 0 / 2125
 $\leq$ 1e-04","0.2117
661 / 0 / 2339
 $\leq$ 1e-04","0.1961
696 / 0 / 2304
 $\leq$ 1e-04","0.1202
1429 / 0 / 1571
 $\leq$ 1e-04","0.1165
1443 / 0 / 1557
 $\leq$ 1e-04","0.1147
1464 / 0 / 1536
 $\leq$ 1e-04",-,"-0.0013
1812 / 0 / 1188
 $\leq$ 1e-04","-0.0933
2238 / 0 / 762
 $\leq$ 1e-04","-0.1088
2228 / 0 / 772
 $\leq$ 1e-04"
Neural|STL–SN,"0.2593
743 / 0 / 2257
 $\leq$ 1e-04","0.2336
652 / 0 / 2348
 $\leq$ 1e-04","0.2287
637 / 0 / 2363
 $\leq$ 1e-04","0.2130
670 / 0 / 2330
 $\leq$ 1e-04","0.1975
698 / 0 / 2302
 $\leq$ 1e-04","0.1215
1281 / 0 / 1719
 $\leq$ 1e-04","0.1179
1289 / 0 / 1711
 $\leq$ 1e-04","0.1160
1341 / 0 / 1659
 $\leq$ 1e-04","0.0013
1188 / 0 / 1812
 $\leq$ 1e-04",-,"-0.0920
2307 / 0 / 693
 $\leq$ 1e-04","-0.1075
1980 / 0 / 1020
 $\leq$ 1e-04"
