comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0094
4889 / 0 / 2947
 $\leq$ 1e-04","-0.0128
4946 / 0 / 2890
 $\leq$ 1e-04","-0.0193
4740 / 0 / 3096
 $\leq$ 1e-04","-0.0260
4789 / 0 / 3047
 $\leq$ 1e-04","-0.0701
5339 / 2 / 2495
 $\leq$ 1e-04","-0.0724
5348 / 2 / 2486
 $\leq$ 1e-04","-0.0725
5351 / 4 / 2481
 $\leq$ 1e-04","-0.1866
5614 / 0 / 2222
 $\leq$ 1e-04","-0.1892
5488 / 0 / 2348
 $\leq$ 1e-04","-0.2617
5561 / 0 / 2275
 $\leq$ 1e-04","-0.2723
5734 / 0 / 2102
 $\leq$ 1e-04"
Stat|STL–SN,"0.0094
2947 / 0 / 4889
 $\leq$ 1e-04",-,"-0.0035
4749 / 1 / 3086
 $\leq$ 1e-04","-0.0100
3321 / 0 / 4515
 $\leq$ 1e-04","-0.0166
3534 / 0 / 4302
 $\leq$ 1e-04","-0.0607
5276 / 0 / 2560
 $\leq$ 1e-04","-0.0631
5262 / 0 / 2574
 $\leq$ 1e-04","-0.0631
5280 / 0 / 2556
 $\leq$ 1e-04","-0.1773
5560 / 0 / 2276
 $\leq$ 1e-04","-0.1799
5039 / 0 / 2797
 $\leq$ 1e-04","-0.2524
5155 / 0 / 2681
 $\leq$ 1e-04","-0.2629
5587 / 0 / 2249
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0128
2890 / 0 / 4946
 $\leq$ 1e-04","0.0035
3086 / 1 / 4749
 $\leq$ 1e-04",-,"-0.0065
3157 / 0 / 4679
 $\leq$ 1e-04","-0.0131
3341 / 0 / 4495
 $\leq$ 1e-04","-0.0573
5227 / 0 / 2609
 $\leq$ 1e-04","-0.0596
5232 / 0 / 2604
 $\leq$ 1e-04","-0.0596
5244 / 0 / 2592
 $\leq$ 1e-04","-0.1738
5567 / 0 / 2269
 $\leq$ 1e-04","-0.1764
4972 / 0 / 2864
 $\leq$ 1e-04","-0.2489
5169 / 0 / 2667
 $\leq$ 1e-04","-0.2594
5618 / 0 / 2218
 $\leq$ 1e-04"
Stat|STL–AC,"0.0193
3096 / 0 / 4740
 $\leq$ 1e-04","0.0100
4515 / 0 / 3321
 $\leq$ 1e-04","0.0065
4679 / 0 / 3157
 $\leq$ 1e-04",-,"-0.0066
4599 / 1 / 3236
 $\leq$ 1e-04","-0.0508
5448 / 0 / 2388
 $\leq$ 1e-04","-0.0531
5437 / 0 / 2399
 $\leq$ 1e-04","-0.0531
5442 / 0 / 2394
 $\leq$ 1e-04","-0.1673
5756 / 0 / 2080
 $\leq$ 1e-04","-0.1699
5589 / 0 / 2247
 $\leq$ 1e-04","-0.2424
5477 / 0 / 2359
 $\leq$ 1e-04","-0.2529
5767 / 0 / 2069
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0260
3047 / 0 / 4789
 $\leq$ 1e-04","0.0166
4302 / 0 / 3534
 $\leq$ 1e-04","0.0131
4495 / 0 / 3341
 $\leq$ 1e-04","0.0066
3236 / 1 / 4599
 $\leq$ 1e-04",-,"-0.0441
5400 / 0 / 2436
 $\leq$ 1e-04","-0.0465
5412 / 0 / 2424
 $\leq$ 1e-04","-0.0465
5400 / 0 / 2436
 $\leq$ 1e-04","-0.1607
5732 / 0 / 2104
 $\leq$ 1e-04","-0.1633
5480 / 0 / 2356
 $\leq$ 1e-04","-0.2358
5492 / 0 / 2344
 $\leq$ 1e-04","-0.2463
5763 / 0 / 2073
 $\leq$ 1e-04"
Transformer|Direct,"0.0701
2495 / 2 / 5339
 $\leq$ 1e-04","0.0607
2560 / 0 / 5276
 $\leq$ 1e-04","0.0573
2609 / 0 / 5227
 $\leq$ 1e-04","0.0508
2388 / 0 / 5448
 $\leq$ 1e-04","0.0441
2436 / 0 / 5400
 $\leq$ 1e-04",-,"-0.0023
3928 / 36 / 3872
 $\leq$ 1e-04","-0.0024
4040 / 28 / 3768
 $\leq$ 1e-04","-0.1165
4219 / 0 / 3617
 $\leq$ 1e-04","-0.1191
3890 / 0 / 3946
 $\leq$ 1e-04","-0.1916
4330 / 0 / 3506
 $\leq$ 1e-04","-0.2022
4848 / 0 / 2988
 $\leq$ 1e-04"
ML|Direct,"0.0724
2486 / 2 / 5348
 $\leq$ 1e-04","0.0631
2574 / 0 / 5262
 $\leq$ 1e-04","0.0596
2604 / 0 / 5232
 $\leq$ 1e-04","0.0531
2399 / 0 / 5437
 $\leq$ 1e-04","0.0465
2424 / 0 / 5412
 $\leq$ 1e-04","0.0023
3872 / 36 / 3928
 $\leq$ 1e-04",-,"-0.0000
4222 / 29 / 3585
 $\leq$ 1e-04","-0.1142
4211 / 0 / 3625
 $\leq$ 1e-04","-0.1168
3836 / 0 / 4000
 $\leq$ 1e-04","-0.1893
4336 / 0 / 3500
 $\leq$ 1e-04","-0.1998
4882 / 0 / 2954
 $\leq$ 1e-04"
Neural|Direct,"0.0725
2481 / 4 / 5351
 $\leq$ 1e-04","0.0631
2556 / 0 / 5280
 $\leq$ 1e-04","0.0596
2592 / 0 / 5244
 $\leq$ 1e-04","0.0531
2394 / 0 / 5442
 $\leq$ 1e-04","0.0465
2436 / 0 / 5400
 $\leq$ 1e-04","0.0024
3768 / 28 / 4040
 $\leq$ 1e-04","0.0000
3585 / 29 / 4222
 $\leq$ 1e-04",-,"-0.1142
4198 / 0 / 3638
 $\leq$ 1e-04","-0.1167
3824 / 0 / 4012
 $\leq$ 1e-04","-0.1893
4311 / 0 / 3525
 $\leq$ 1e-04","-0.1998
4865 / 0 / 2971
 $\leq$ 1e-04"
Neural|STL–SN,"0.1866
2222 / 0 / 5614
 $\leq$ 1e-04","0.1773
2276 / 0 / 5560
 $\leq$ 1e-04","0.1738
2269 / 0 / 5567
 $\leq$ 1e-04","0.1673
2080 / 0 / 5756
 $\leq$ 1e-04","0.1607
2104 / 0 / 5732
 $\leq$ 1e-04","0.1165
3617 / 0 / 4219
 $\leq$ 1e-04","0.1142
3625 / 0 / 4211
 $\leq$ 1e-04","0.1142
3638 / 0 / 4198
 $\leq$ 1e-04",-,"-0.0026
3155 / 0 / 4681
 $\leq$ 1e-04","-0.0751
4593 / 0 / 3243
 $\leq$ 1e-04","-0.0856
5680 / 0 / 2156
 $\leq$ 1e-04"
Neural|STL–AC,"0.1892
2348 / 0 / 5488
 $\leq$ 1e-04","0.1799
2797 / 0 / 5039
 $\leq$ 1e-04","0.1764
2864 / 0 / 4972
 $\leq$ 1e-04","0.1699
2247 / 0 / 5589
 $\leq$ 1e-04","0.1633
2356 / 0 / 5480
 $\leq$ 1e-04","0.1191
3946 / 0 / 3890
 $\leq$ 1e-04","0.1168
4000 / 0 / 3836
 $\leq$ 1e-04","0.1167
4012 / 0 / 3824
 $\leq$ 1e-04","0.0026
4681 / 0 / 3155
 $\leq$ 1e-04",-,"-0.0725
5428 / 0 / 2408
 $\leq$ 1e-04","-0.0830
5702 / 0 / 2134
 $\leq$ 1e-04"
