comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0107
5552 / 0 / 3304
 $\leq$ 1e-04","-0.0122
5571 / 0 / 3285
 $\leq$ 1e-04","-0.0285
5378 / 0 / 3478
 $\leq$ 1e-04","-0.0356
5427 / 0 / 3429
 $\leq$ 1e-04","-0.0724
6022 / 3 / 2831
 $\leq$ 1e-04","-0.0794
6059 / 2 / 2795
 $\leq$ 1e-04","-0.0827
6080 / 3 / 2773
 $\leq$ 1e-04","-0.1912
6382 / 0 / 2474
 $\leq$ 1e-04","-0.2013
6273 / 0 / 2583
 $\leq$ 1e-04","-0.2728
6337 / 0 / 2519
 $\leq$ 1e-04","-0.2754
6524 / 0 / 2332
 $\leq$ 1e-04"
Stat|STL–SN,"0.0107
3304 / 0 / 5552
 $\leq$ 1e-04",-,"-0.0015
5295 / 1 / 3560
 $\leq$ 1e-04","-0.0178
3719 / 0 / 5137
 $\leq$ 1e-04","-0.0250
3918 / 0 / 4938
 $\leq$ 1e-04","-0.0617
6044 / 0 / 2812
 $\leq$ 1e-04","-0.0688
6056 / 0 / 2800
 $\leq$ 1e-04","-0.0720
6080 / 0 / 2776
 $\leq$ 1e-04","-0.1805
6392 / 0 / 2464
 $\leq$ 1e-04","-0.1906
5805 / 0 / 3051
 $\leq$ 1e-04","-0.2622
5924 / 0 / 2932
 $\leq$ 1e-04","-0.2648
6404 / 0 / 2452
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0122
3285 / 0 / 5571
 $\leq$ 1e-04","0.0015
3560 / 1 / 5295
 $\leq$ 1e-04",-,"-0.0163
3536 / 0 / 5320
 $\leq$ 1e-04","-0.0235
3748 / 0 / 5108
 $\leq$ 1e-04","-0.0603
5969 / 0 / 2887
 $\leq$ 1e-04","-0.0673
5991 / 0 / 2865
 $\leq$ 1e-04","-0.0705
6015 / 0 / 2841
 $\leq$ 1e-04","-0.1790
6393 / 0 / 2463
 $\leq$ 1e-04","-0.1892
5765 / 0 / 3091
 $\leq$ 1e-04","-0.2607
5926 / 0 / 2930
 $\leq$ 1e-04","-0.2633
6448 / 0 / 2408
 $\leq$ 1e-04"
Stat|STL–AC,"0.0285
3478 / 0 / 5378
 $\leq$ 1e-04","0.0178
5137 / 0 / 3719
 $\leq$ 1e-04","0.0163
5320 / 0 / 3536
 $\leq$ 1e-04",-,"-0.0071
5177 / 1 / 3678
 $\leq$ 1e-04","-0.0439
6156 / 0 / 2700
 $\leq$ 1e-04","-0.0509
6170 / 0 / 2686
 $\leq$ 1e-04","-0.0542
6174 / 0 / 2682
 $\leq$ 1e-04","-0.1627
6542 / 0 / 2314
 $\leq$ 1e-04","-0.1728
6425 / 0 / 2431
 $\leq$ 1e-04","-0.2443
6287 / 0 / 2569
 $\leq$ 1e-04","-0.2469
6590 / 0 / 2266
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0356
3429 / 0 / 5427
 $\leq$ 1e-04","0.0250
4938 / 0 / 3918
 $\leq$ 1e-04","0.0235
5108 / 0 / 3748
 $\leq$ 1e-04","0.0071
3678 / 1 / 5177
 $\leq$ 1e-04",-,"-0.0368
6100 / 0 / 2756
 $\leq$ 1e-04","-0.0438
6131 / 0 / 2725
 $\leq$ 1e-04","-0.0471
6149 / 0 / 2707
 $\leq$ 1e-04","-0.1555
6518 / 0 / 2338
 $\leq$ 1e-04","-0.1657
6303 / 0 / 2553
 $\leq$ 1e-04","-0.2372
6287 / 0 / 2569
 $\leq$ 1e-04","-0.2398
6536 / 0 / 2320
 $\leq$ 1e-04"
Transformer|Direct,"0.0724
2831 / 3 / 6022
 $\leq$ 1e-04","0.0617
2812 / 0 / 6044
 $\leq$ 1e-04","0.0603
2887 / 0 / 5969
 $\leq$ 1e-04","0.0439
2700 / 0 / 6156
 $\leq$ 1e-04","0.0368
2756 / 0 / 6100
 $\leq$ 1e-04",-,"-0.0070
5198 / 41 / 3617
 $\leq$ 1e-04","-0.0103
5270 / 25 / 3561
 $\leq$ 1e-04","-0.1187
4983 / 0 / 3873
 $\leq$ 1e-04","-0.1289
4469 / 0 / 4387
 $\leq$ 1e-04","-0.2004
5084 / 0 / 3772
 $\leq$ 1e-04","-0.2030
5658 / 0 / 3198
 $\leq$ 1e-04"
ML|Direct,"0.0794
2795 / 2 / 6059
 $\leq$ 1e-04","0.0688
2800 / 0 / 6056
 $\leq$ 1e-04","0.0673
2865 / 0 / 5991
 $\leq$ 1e-04","0.0509
2686 / 0 / 6170
 $\leq$ 1e-04","0.0438
2725 / 0 / 6131
 $\leq$ 1e-04","0.0070
3617 / 41 / 5198
 $\leq$ 1e-04",-,"-0.0033
5266 / 24 / 3566
 $\leq$ 1e-04","-0.1117
4833 / 0 / 4023
 $\leq$ 1e-04","-0.1219
4329 / 0 / 4527
 $\leq$ 1e-04","-0.1934
4976 / 0 / 3880
 $\leq$ 1e-04","-0.1960
5585 / 0 / 3271
 $\leq$ 1e-04"
Neural|Direct,"0.0827
2773 / 3 / 6080
 $\leq$ 1e-04","0.0720
2776 / 0 / 6080
 $\leq$ 1e-04","0.0705
2841 / 0 / 6015
 $\leq$ 1e-04","0.0542
2682 / 0 / 6174
 $\leq$ 1e-04","0.0471
2707 / 0 / 6149
 $\leq$ 1e-04","0.0103
3561 / 25 / 5270
 $\leq$ 1e-04","0.0033
3566 / 24 / 5266
 $\leq$ 1e-04",-,"-0.1085
4722 / 0 / 4134
 $\leq$ 1e-04","-0.1186
4284 / 0 / 4572
 $\leq$ 1e-04","-0.1901
4942 / 0 / 3914
 $\leq$ 1e-04","-0.1927
5486 / 0 / 3370
 $\leq$ 1e-04"
Neural|STL–SN,"0.1912
2474 / 0 / 6382
 $\leq$ 1e-04","0.1805
2464 / 0 / 6392
 $\leq$ 1e-04","0.1790
2463 / 0 / 6393
 $\leq$ 1e-04","0.1627
2314 / 0 / 6542
 $\leq$ 1e-04","0.1555
2338 / 0 / 6518
 $\leq$ 1e-04","0.1187
3873 / 0 / 4983
 $\leq$ 1e-04","0.1117
4023 / 0 / 4833
 $\leq$ 1e-04","0.1085
4134 / 0 / 4722
 $\leq$ 1e-04",-,"-0.0102
3531 / 0 / 5325
 $\leq$ 1e-04","-0.0817
5267 / 0 / 3589
 $\leq$ 1e-04","-0.0843
6472 / 0 / 2384
 $\leq$ 1e-04"
Neural|STL–AC,"0.2013
2583 / 0 / 6273
 $\leq$ 1e-04","0.1906
3051 / 0 / 5805
 $\leq$ 1e-04","0.1892
3091 / 0 / 5765
 $\leq$ 1e-04","0.1728
2431 / 0 / 6425
 $\leq$ 1e-04","0.1657
2553 / 0 / 6303
 $\leq$ 1e-04","0.1289
4387 / 0 / 4469
 $\leq$ 1e-04","0.1219
4527 / 0 / 4329
 $\leq$ 1e-04","0.1186
4572 / 0 / 4284
 $\leq$ 1e-04","0.0102
5325 / 0 / 3531
 $\leq$ 1e-04",-,"-0.0715
6160 / 0 / 2696
 $\leq$ 1e-04","-0.0741
6438 / 0 / 2418
 $\leq$ 1e-04"
