comparates,Stat|Direct,Transformer|STL–SN,Stat|STL–SN,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,Neural|Direct,ML|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0310
2878 / 0 / 1622
 $\leq$ 1e-04","-0.0320
2855 / 0 / 1645
 $\leq$ 1e-04","-0.0448
2777 / 0 / 1723
 $\leq$ 1e-04","-0.0468
2816 / 0 / 1684
 $\leq$ 1e-04","-0.0825
3111 / 0 / 1389
 $\leq$ 1e-04","-0.0870
3130 / 0 / 1370
 $\leq$ 1e-04","-0.0891
3142 / 0 / 1358
 $\leq$ 1e-04","-0.1771
3234 / 0 / 1266
 $\leq$ 1e-04","-0.1863
3195 / 0 / 1305
 $\leq$ 1e-04","-0.2472
3222 / 0 / 1278
 $\leq$ 1e-04","-0.2554
3329 / 0 / 1171
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0310
1622 / 0 / 2878
 $\leq$ 1e-04",-,"-0.0010
1919 / 0 / 2581
 $\leq$ 1e-04","-0.0137
1822 / 0 / 2678
 $\leq$ 1e-04","-0.0157
1971 / 0 / 2529
 $\leq$ 1e-04","-0.0514
2939 / 0 / 1561
 $\leq$ 1e-04","-0.0559
2950 / 0 / 1550
 $\leq$ 1e-04","-0.0581
2949 / 0 / 1551
 $\leq$ 1e-04","-0.1460
3108 / 0 / 1392
 $\leq$ 1e-04","-0.1552
2757 / 0 / 1743
 $\leq$ 1e-04","-0.2162
2837 / 0 / 1663
 $\leq$ 1e-04","-0.2243
3158 / 0 / 1342
 $\leq$ 1e-04"
Stat|STL–SN,"0.0320
1645 / 0 / 2855
 $\leq$ 1e-04","0.0010
2581 / 0 / 1919
 $\leq$ 1e-04",-,"-0.0128
1840 / 0 / 2660
 $\leq$ 1e-04","-0.0148
2020 / 0 / 2480
 $\leq$ 1e-04","-0.0505
2950 / 0 / 1550
 $\leq$ 1e-04","-0.0549
2967 / 0 / 1533
 $\leq$ 1e-04","-0.0571
2954 / 0 / 1546
 $\leq$ 1e-04","-0.1451
3094 / 0 / 1406
 $\leq$ 1e-04","-0.1543
2749 / 0 / 1751
 $\leq$ 1e-04","-0.2152
2831 / 0 / 1669
 $\leq$ 1e-04","-0.2233
3140 / 0 / 1360
 $\leq$ 1e-04"
Stat|STL–AC,"0.0448
1723 / 0 / 2777
 $\leq$ 1e-04","0.0137
2678 / 0 / 1822
 $\leq$ 1e-04","0.0128
2660 / 0 / 1840
 $\leq$ 1e-04",-,"-0.0020
2662 / 1 / 1837
 $\leq$ 1e-04","-0.0377
3037 / 0 / 1463
 $\leq$ 1e-04","-0.0422
3047 / 0 / 1453
 $\leq$ 1e-04","-0.0443
3057 / 0 / 1443
 $\leq$ 1e-04","-0.1323
3198 / 0 / 1302
 $\leq$ 1e-04","-0.1415
3112 / 0 / 1388
 $\leq$ 1e-04","-0.2024
3042 / 0 / 1458
 $\leq$ 1e-04","-0.2106
3245 / 0 / 1255
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0468
1684 / 0 / 2816
 $\leq$ 1e-04","0.0157
2529 / 0 / 1971
 $\leq$ 1e-04","0.0148
2480 / 0 / 2020
 $\leq$ 1e-04","0.0020
1837 / 1 / 2662
 $\leq$ 1e-04",-,"-0.0357
3036 / 0 / 1464
 $\leq$ 1e-04","-0.0402
3045 / 0 / 1455
 $\leq$ 1e-04","-0.0423
3056 / 0 / 1444
 $\leq$ 1e-04","-0.1303
3184 / 0 / 1316
 $\leq$ 1e-04","-0.1395
3065 / 0 / 1435
 $\leq$ 1e-04","-0.2004
3087 / 0 / 1413
 $\leq$ 1e-04","-0.2086
3257 / 0 / 1243
 $\leq$ 1e-04"
Transformer|Direct,"0.0825
1389 / 0 / 3111
 $\leq$ 1e-04","0.0514
1561 / 0 / 2939
 $\leq$ 1e-04","0.0505
1550 / 0 / 2950
 $\leq$ 1e-04","0.0377
1463 / 0 / 3037
 $\leq$ 1e-04","0.0357
1464 / 0 / 3036
 $\leq$ 1e-04",-,"-0.0045
2328 / 0 / 2172
 $\leq$ 1e-04","-0.0066
2314 / 0 / 2186
 $\leq$ 1e-04","-0.0946
2394 / 0 / 2106
 $\leq$ 1e-04","-0.1038
2193 / 0 / 2307
 $\leq$ 1e-04","-0.1647
2302 / 0 / 2198
 $\leq$ 1e-04","-0.1729
2624 / 0 / 1876
 $\leq$ 1e-04"
Neural|Direct,"0.0870
1370 / 0 / 3130
 $\leq$ 1e-04","0.0559
1550 / 0 / 2950
 $\leq$ 1e-04","0.0549
1533 / 0 / 2967
 $\leq$ 1e-04","0.0422
1453 / 0 / 3047
 $\leq$ 1e-04","0.0402
1455 / 0 / 3045
 $\leq$ 1e-04","0.0045
2172 / 0 / 2328
 $\leq$ 1e-04",-,"-0.0022
2288 / 0 / 2212
 $\leq$ 1e-04","-0.0901
2370 / 0 / 2130
 $\leq$ 1e-04","-0.0993
2148 / 0 / 2352
0.0006","-0.1602
2288 / 0 / 2212
 $\leq$ 1e-04","-0.1684
2623 / 0 / 1877
 $\leq$ 1e-04"
ML|Direct,"0.0891
1358 / 0 / 3142
 $\leq$ 1e-04","0.0581
1551 / 0 / 2949
 $\leq$ 1e-04","0.0571
1546 / 0 / 2954
 $\leq$ 1e-04","0.0443
1443 / 0 / 3057
 $\leq$ 1e-04","0.0423
1444 / 0 / 3056
 $\leq$ 1e-04","0.0066
2186 / 0 / 2314
 $\leq$ 1e-04","0.0022
2212 / 0 / 2288
 $\leq$ 1e-04",-,"-0.0880
2362 / 0 / 2138
 $\leq$ 1e-04","-0.0972
2133 / 0 / 2367
0.0041","-0.1581
2276 / 0 / 2224
 $\leq$ 1e-04","-0.1662
2626 / 0 / 1874
 $\leq$ 1e-04"
Neural|STL–SN,"0.1771
1266 / 0 / 3234
 $\leq$ 1e-04","0.1460
1392 / 0 / 3108
 $\leq$ 1e-04","0.1451
1406 / 0 / 3094
 $\leq$ 1e-04","0.1323
1302 / 0 / 3198
 $\leq$ 1e-04","0.1303
1316 / 0 / 3184
 $\leq$ 1e-04","0.0946
2106 / 0 / 2394
 $\leq$ 1e-04","0.0901
2130 / 0 / 2370
 $\leq$ 1e-04","0.0880
2138 / 0 / 2362
 $\leq$ 1e-04",-,"-0.0092
1876 / 0 / 2624
 $\leq$ 1e-04","-0.0701
2495 / 0 / 2005
 $\leq$ 1e-04","-0.0783
3335 / 0 / 1165
 $\leq$ 1e-04"
Neural|STL–AC,"0.1863
1305 / 0 / 3195
 $\leq$ 1e-04","0.1552
1743 / 0 / 2757
 $\leq$ 1e-04","0.1543
1751 / 0 / 2749
 $\leq$ 1e-04","0.1415
1388 / 0 / 3112
 $\leq$ 1e-04","0.1395
1435 / 0 / 3065
 $\leq$ 1e-04","0.1038
2307 / 0 / 2193
 $\leq$ 1e-04","0.0993
2352 / 0 / 2148
0.0006","0.0972
2367 / 0 / 2133
0.0041","0.0092
2624 / 0 / 1876
 $\leq$ 1e-04",-,"-0.0609
3104 / 0 / 1396
 $\leq$ 1e-04","-0.0691
3223 / 0 / 1277
 $\leq$ 1e-04"
ML|STL–AC,"0.2472
1278 / 0 / 3222
 $\leq$ 1e-04","0.2162
1663 / 0 / 2837
 $\leq$ 1e-04","0.2152
1669 / 0 / 2831
 $\leq$ 1e-04","0.2024
1458 / 0 / 3042
 $\leq$ 1e-04","0.2004
1413 / 0 / 3087
 $\leq$ 1e-04","0.1647
2198 / 0 / 2302
 $\leq$ 1e-04","0.1602
2212 / 0 / 2288
 $\leq$ 1e-04","0.1581
2224 / 0 / 2276
 $\leq$ 1e-04","0.0701
2005 / 0 / 2495
 $\leq$ 1e-04","0.0609
1396 / 0 / 3104
 $\leq$ 1e-04",-,"-0.0081
2753 / 0 / 1747
 $\leq$ 1e-04"
ML|STL–SN,"0.2554
1171 / 0 / 3329
 $\leq$ 1e-04","0.2243
1342 / 0 / 3158
 $\leq$ 1e-04","0.2233
1360 / 0 / 3140
 $\leq$ 1e-04","0.2106
1255 / 0 / 3245
 $\leq$ 1e-04","0.2086
1243 / 0 / 3257
 $\leq$ 1e-04","0.1729
1876 / 0 / 2624
 $\leq$ 1e-04","0.1684
1877 / 0 / 2623
 $\leq$ 1e-04","0.1662
1874 / 0 / 2626
 $\leq$ 1e-04","0.0783
1165 / 0 / 3335
 $\leq$ 1e-04","0.0691
1277 / 0 / 3223
 $\leq$ 1e-04","0.0081
1747 / 0 / 2753
 $\leq$ 1e-04","If in bold, then
p-value < 0.05"
