model_name,config,STL-AC,STL-SN,Direct
AutoETS,global,0.873,0.9184,0.7914
AutoARIMA,global,0.8302,0.8872,0.7983
AutoSARIMA,global,0.8305,0.8892,0.7983
AutoNHITS,finetuned,0.8982,0.8753,0.8233
AutoTFT,finetuned,0.9087,0.9037,0.8514
AutoPatchTST,finetuned,0.864,0.9008,0.8549
AutoXGBoost,finetuned,0.9306,0.9078,0.8833
AutoRandomForest,finetuned,0.952,0.9362,0.9149
AutoLSTM,finetuned,0.9102,0.937,0.9207
AutoNLinear,global,0.8287,0.8885,0.9998
AutoLinearRegression,global,0.8332,0.8925,1.0019
AutoRidge,global,0.8319,0.8894,1.0022
