rank,model_family,model_name,decomposition_method,mean_rn,median_rn,n,decomp,family
1,statistical,AutoETS,without_stl,0.888421379930013,0.7913681177845338,53694,Direct,Statistical
2,statistical,AutoARIMA,stl_seasonal_naive,0.9303806659136935,0.8872410389888002,53694,STL-SN,Statistical
3,neuralforecast,AutoNLinear,stl_seasonal_naive,0.9305906448838902,0.8884686607534771,53694,STL-SN,Neural
4,statistical,AutoSARIMA,stl_seasonal_naive,0.9309856123522906,0.8892414911905816,53694,STL-SN,Statistical
5,mlforecast,AutoLinearRegression,stl_seasonal_naive,0.9327169981122141,0.8925049081612093,53694,STL-SN,ML
6,mlforecast,AutoRidge,stl_seasonal_naive,0.9327710205872883,0.8893758291201344,53694,STL-SN,ML
7,transformers,AutoPatchTST,stl_seasonal_naive,0.9334244255066904,0.8906789701814255,53694,STL-SN,Transformer
8,statistical,AutoETS,stl_seasonal_naive,0.9348344504411581,0.9184008662045979,53694,STL-SN,Statistical
9,transformers,AutoPatchTST,stl_model_all_components,0.9356683966847398,0.8264437853704649,53694,STL-AC,Transformer
10,transformers,AutoTFT,stl_seasonal_naive,0.9357201324704636,0.9188812949589837,53694,STL-SN,Transformer
11,neuralforecast,AutoNLinear,stl_model_all_components,0.9366572791417256,0.8287059507396909,53694,STL-AC,Neural
12,mlforecast,AutoRidge,stl_model_all_components,0.9374036105408795,0.8319289794841813,53694,STL-AC,ML
13,statistical,AutoSARIMA,stl_model_all_components,0.937459782868614,0.8304514996176738,53694,STL-AC,Statistical
14,statistical,AutoARIMA,stl_model_all_components,0.9376796647268592,0.8302014416975143,53694,STL-AC,Statistical
15,mlforecast,AutoLinearRegression,stl_model_all_components,0.9381237636320303,0.8331588180041829,53694,STL-AC,ML
16,neuralforecast,AutoNHITS,stl_seasonal_naive,0.9388459624376176,0.9210811041853806,53694,STL-SN,Neural
17,statistical,AutoSARIMA,without_stl,0.9408299323314622,0.7983093005884975,53694,Direct,Statistical
18,statistical,AutoARIMA,without_stl,0.9408299323314622,0.7983093005884975,53694,Direct,Statistical
19,statistical,AutoETS,stl_model_all_components,0.9790365548661922,0.872970767068638,53694,STL-AC,Statistical
20,transformers,AutoTFT,stl_model_all_components,0.9817157227902893,0.8766228672597269,53694,STL-AC,Transformer
21,neuralforecast,AutoNHITS,stl_model_all_components,0.9856203149303465,0.8816316955437316,53694,STL-AC,Neural
22,mlforecast,AutoRandomForest,without_stl,0.9914273358935235,0.9983664146046136,53694,Direct,ML
23,transformers,AutoTFT,without_stl,0.9955937149246009,0.9995604327085433,53694,Direct,Transformer
24,neuralforecast,AutoNLinear,without_stl,0.9980366652440134,0.9998252003033612,53694,Direct,Neural
25,transformers,AutoPatchTST,without_stl,0.9988428407153849,1.000107890543052,53694,Direct,Transformer
26,neuralforecast,AutoLSTM,without_stl,1.0011293684180567,1.000592426793637,53694,Direct,Neural
27,mlforecast,AutoXGBoost,without_stl,1.0016666883615182,1.0000798107604598,53694,Direct,ML
28,mlforecast,AutoLinearRegression,without_stl,1.0059990726397452,1.0018733934313617,53694,Direct,ML
29,mlforecast,AutoRidge,without_stl,1.007124165727628,1.0022005442874846,53694,Direct,ML
30,neuralforecast,AutoNHITS,without_stl,1.0079276325882705,1.0020667847376563,53694,Direct,Neural
31,neuralforecast,AutoLSTM,stl_model_all_components,1.4406664718219186,1.1547360555404018,53694,STL-AC,Neural
32,mlforecast,AutoRandomForest,stl_model_all_components,1.4438656299659398,1.1609637078008563,53694,STL-AC,ML
33,mlforecast,AutoRandomForest,stl_seasonal_naive,1.4475669937984905,1.158989704155009,53694,STL-SN,ML
34,mlforecast,AutoXGBoost,stl_model_all_components,1.4512864179295413,1.1632982788762525,53694,STL-AC,ML
35,neuralforecast,AutoLSTM,stl_seasonal_naive,1.464202903065711,1.1689461123921505,53694,STL-SN,Neural
36,mlforecast,AutoXGBoost,stl_seasonal_naive,1.4703916901233702,1.1699529800186719,53694,STL-SN,ML
