family,model,decomp,bucket,n,median_delta,win_rate,p_raw,p_holm,significant,verdict
ML,AutoXGBoost,STL-SN,High,16107,0.2359,0.68,0.0,0.0,True,Helps
ML,AutoRandomForest,STL-SN,High,16107,0.1994,0.644,0.0,0.0,True,Helps
Neural,AutoLSTM,STL-AC,High,16107,0.1982,0.657,0.0,0.0,True,Helps
Neural,AutoLSTM,STL-SN,High,16107,0.1875,0.668,0.0,0.0,True,Helps
ML,AutoXGBoost,STL-AC,High,16107,0.1823,0.628,0.0,0.0,True,Helps
Neural,AutoNHITS,Direct,High,16107,0.1738,0.66,8.72206249475875e-214,0.0,True,Helps
ML,AutoRandomForest,STL-AC,High,16107,0.1545,0.6,1.5122570505949297e-217,0.0,True,Helps
Transformer,AutoPatchTST,Direct,High,16107,0.1438,0.668,8.759172914872318e-281,0.0,True,Helps
Transformer,AutoTFT,Direct,High,16107,0.1434,0.641,1.7986343726942781e-127,0.0,True,Helps
ML,AutoXGBoost,Direct,High,16107,0.1081,0.609,1.4240340940725136e-44,0.0,True,Helps
ML,AutoRidge,Direct,High,16107,0.0806,0.566,0.08148048021742783,0.163,False,Neutral
Neural,AutoNLinear,Direct,High,16107,0.0789,0.584,6.20253250819818e-29,0.0,True,Helps
ML,AutoLinearRegression,Direct,High,16107,0.0756,0.566,0.011216314403353292,0.0449,True,Helps
ML,AutoRandomForest,Direct,High,16107,0.0724,0.565,0.2501533524016243,0.2502,False,Neutral
Neural,AutoLSTM,Direct,High,16107,0.0697,0.578,2.6818903569391517e-17,0.0,True,Helps
Neural,AutoNHITS,STL-SN,High,16107,0.0415,0.586,2.800910436523918e-56,0.0,True,Helps
Transformer,AutoTFT,STL-SN,High,16107,0.0286,0.566,3.8839458877925586e-18,0.0,True,Helps
Neural,AutoNHITS,STL-AC,High,16107,0.0121,0.513,3.118582097121593e-05,0.0003,True,Helps
Transformer,AutoTFT,STL-AC,High,16107,0.0004,0.5,1.984997365322978e-18,0.0,True,Helps
Transformer,AutoPatchTST,STL-SN,High,16107,-0.0029,0.49,0.034750546507709916,0.1043,False,Neutral
Transformer,AutoPatchTST,STL-AC,High,16107,-0.0168,0.472,6.628271091156115e-20,0.0,True,Hurts
ML,AutoLinearRegression,STL-SN,High,16107,-0.0226,0.458,5.750238123037611e-122,0.0,True,Hurts
ML,AutoRidge,STL-SN,High,16107,-0.0247,0.455,2.389316100073987e-127,0.0,True,Hurts
Neural,AutoNLinear,STL-SN,High,16107,-0.0289,0.431,4.12456139311561e-92,0.0,True,Hurts
ML,AutoRidge,STL-AC,High,16107,-0.0471,0.451,3.321084422246323e-120,0.0,True,Hurts
ML,AutoLinearRegression,STL-AC,High,16107,-0.0493,0.45,9.372679146214098e-123,0.0,True,Hurts
Neural,AutoNLinear,STL-AC,High,16107,-0.0606,0.383,2.000880328338507e-297,0.0,True,Hurts
ML,AutoXGBoost,STL-SN,Low,22597,0.2752,0.701,0.0,0.0,True,Helps
Neural,AutoLSTM,STL-SN,Low,22597,0.234,0.678,0.0,0.0,True,Helps
ML,AutoRandomForest,STL-SN,Low,22597,0.2308,0.658,0.0,0.0,True,Helps
ML,AutoXGBoost,STL-AC,Low,22597,0.2243,0.644,0.0,0.0,True,Helps
Neural,AutoLSTM,STL-AC,Low,22597,0.2213,0.659,0.0,0.0,True,Helps
ML,AutoRandomForest,STL-AC,Low,22597,0.2032,0.617,0.0,0.0,True,Helps
Neural,AutoNHITS,Direct,Low,22597,0.1766,0.641,1.936993519664642e-192,0.0,True,Helps
Transformer,AutoTFT,Direct,Low,22597,0.1312,0.622,3.50693761110129e-101,0.0,True,Helps
Transformer,AutoPatchTST,Direct,Low,22597,0.1281,0.647,5.459772051466529e-247,0.0,True,Helps
ML,AutoXGBoost,Direct,Low,22597,0.1087,0.602,1.8970003048175754e-40,0.0,True,Helps
Neural,AutoNLinear,Direct,Low,22597,0.0806,0.581,8.141201005409942e-19,0.0,True,Helps
Neural,AutoLSTM,Direct,Low,22597,0.0763,0.578,2.2427591068568205e-16,0.0,True,Helps
ML,AutoLinearRegression,Direct,Low,22597,0.0678,0.559,2.2280066480315494e-09,0.0,True,Helps
ML,AutoRidge,Direct,Low,22597,0.067,0.559,2.737830268352589e-10,0.0,True,Helps
ML,AutoRandomForest,Direct,Low,22597,0.065,0.555,0.0008417377283982942,0.0059,True,Helps
Neural,AutoNHITS,STL-SN,Low,22597,0.046,0.579,1.5612335569123976e-53,0.0,True,Helps
Neural,AutoNHITS,STL-AC,Low,22597,0.0402,0.538,3.32599288664856e-06,0.0,True,Helps
Transformer,AutoTFT,STL-SN,Low,22597,0.0347,0.574,6.648771110671175e-38,0.0,True,Helps
Transformer,AutoTFT,STL-AC,Low,22597,0.0185,0.518,1.4998328802041511e-06,0.0,True,Helps
Transformer,AutoPatchTST,STL-SN,Low,22597,-0.0129,0.463,5.660057399978397e-33,0.0,True,Hurts
ML,AutoLinearRegression,STL-SN,Low,22597,-0.0132,0.474,7.955301530082239e-113,0.0,True,Hurts
ML,AutoRidge,STL-SN,Low,22597,-0.0165,0.468,7.862460859386124e-128,0.0,True,Hurts
Transformer,AutoPatchTST,STL-AC,Low,22597,-0.0264,0.456,9.127810207019116e-35,0.0,True,Hurts
ML,AutoLinearRegression,STL-AC,Low,22597,-0.0348,0.467,3.47789760645012e-107,0.0,True,Hurts
ML,AutoRidge,STL-AC,Low,22597,-0.0361,0.466,2.0715681964868823e-112,0.0,True,Hurts
Neural,AutoNLinear,STL-SN,Low,22597,-0.0416,0.405,9.196080906091423e-209,0.0,True,Hurts
Neural,AutoNLinear,STL-AC,Low,22597,-0.0881,0.345,0.0,0.0,True,Hurts
ML,AutoXGBoost,STL-SN,Medium,14990,0.3343,0.723,0.0,0.0,True,Helps
ML,AutoXGBoost,STL-AC,Medium,14990,0.3083,0.669,0.0,0.0,True,Helps
Neural,AutoLSTM,STL-SN,Medium,14990,0.2989,0.692,0.0,0.0,True,Helps
ML,AutoRandomForest,STL-AC,Medium,14990,0.2912,0.644,0.0,0.0,True,Helps
ML,AutoRandomForest,STL-SN,Medium,14990,0.2899,0.682,0.0,0.0,True,Helps
Neural,AutoLSTM,STL-AC,Medium,14990,0.2865,0.685,0.0,0.0,True,Helps
Neural,AutoNHITS,Direct,Medium,14990,0.1973,0.665,1.0097771915794284e-235,0.0,True,Helps
Transformer,AutoTFT,Direct,Medium,14990,0.1612,0.652,1.6920295735212027e-155,0.0,True,Helps
Transformer,AutoPatchTST,Direct,Medium,14990,0.1512,0.67,2.987785987508095e-262,0.0,True,Helps
ML,AutoXGBoost,Direct,Medium,14990,0.134,0.632,2.149561241607947e-91,0.0,True,Helps
ML,AutoRandomForest,Direct,Medium,14990,0.1013,0.587,3.4721903309536486e-14,0.0,True,Helps
Neural,AutoLSTM,Direct,Medium,14990,0.095,0.596,2.94137537465399e-30,0.0,True,Helps
ML,AutoRidge,Direct,Medium,14990,0.0944,0.583,0.0011743739934638613,0.007,True,Helps
ML,AutoLinearRegression,Direct,Medium,14990,0.0918,0.583,0.005653448567694627,0.0283,True,Helps
Neural,AutoNLinear,Direct,Medium,14990,0.0861,0.594,1.1634710837265911e-36,0.0,True,Helps
Neural,AutoNHITS,STL-SN,Medium,14990,0.0662,0.612,4.136332078915879e-80,0.0,True,Helps
Transformer,AutoTFT,STL-SN,Medium,14990,0.0521,0.592,8.818881892695214e-49,0.0,True,Helps
Neural,AutoNHITS,STL-AC,Medium,14990,0.0421,0.541,1.4744863502531888e-05,0.0001,True,Helps
Transformer,AutoTFT,STL-AC,Medium,14990,0.019,0.518,7.500635321563848e-05,0.0006,True,Helps
Transformer,AutoPatchTST,STL-SN,Medium,14990,-0.0222,0.437,5.024613846788607e-56,0.0,True,Hurts
ML,AutoLinearRegression,STL-SN,Medium,14990,-0.0259,0.454,2.60989928339582e-112,0.0,True,Hurts
ML,AutoRidge,STL-SN,Medium,14990,-0.0292,0.45,1.0847277909264071e-124,0.0,True,Hurts
Transformer,AutoPatchTST,STL-AC,Medium,14990,-0.0384,0.434,6.0135453886582766e-64,0.0,True,Hurts
Neural,AutoNLinear,STL-SN,Medium,14990,-0.0449,0.398,1.2509800385818142e-186,0.0,True,Hurts
ML,AutoRidge,STL-AC,Medium,14990,-0.0471,0.455,6.724360323654706e-111,0.0,True,Hurts
ML,AutoLinearRegression,STL-AC,Medium,14990,-0.0473,0.455,6.353751488951125e-110,0.0,True,Hurts
Neural,AutoNLinear,STL-AC,Medium,14990,-0.0813,0.343,0.0,0.0,True,Hurts
