rank,configuration,wins,pct,total_series
1,AutoETS / Direct (GL),886.1166666666666,9.901851231050022,8949
2,AutoARIMA / Direct (GL),566.1666666666666,6.326591425485156,8949
3,AutoSARIMA / Direct (GL),566.1666666666666,6.326591425485156,8949
4,AutoTFT / Direct (FT),503.0,5.620739747457817,8949
5,AutoRandomForest / Direct (FT),502.0,5.609565314560286,8949
6,AutoLSTM / Direct (FT),435.0,4.860878310425746,8949
7,AutoNHITS / Direct (FT),432.0,4.827355011733155,8949
8,AutoXGBoost / Direct (FT),407.5,4.5535814057436586,8949
9,AutoTFT / STL-AC (FT),391.0,4.369203262934406,8949
10,AutoRandomForest / STL-AC (FT),377.0,4.21276120236898,8949
11,AutoRandomForest / STL-SN (FT),310.0,3.4640741982344396,8949
12,AutoLSTM / STL-AC (FT),307.0,3.4305508995418483,8949
13,AutoPatchTST / Direct (FT),271.0,3.028271315230752,8949
14,AutoXGBoost / STL-AC (FT),268.0,2.9947480165381606,8949
15,AutoETS / STL-AC (GL),265.0,2.9612247178455693,8949
16,AutoPatchTST / STL-AC (FT),247.0,2.7600849256900215,8949
17,AutoRidge / Direct (GL),245.5,2.7433232763437254,8949
18,AutoNHITS / STL-AC (FT),225.0,2.5142474019443513,8949
19,AutoTFT / STL-SN (FT),217.0,2.4248519387641077,8949
20,AutoNHITS / STL-SN (FT),212.0,2.3689797742764553,8949
21,AutoXGBoost / STL-SN (FT),195.5,2.184601631467203,8949
22,AutoLSTM / STL-SN (FT),193.0,2.156665549223377,8949
23,AutoSARIMA / STL-AC (GL),178.25,1.9918426639848028,8949
24,AutoRidge / STL-AC (GL),118.2,1.3208179684880992,8949
25,AutoETS / STL-SN (GL),101.0,1.1286177226505756,8949
26,AutoNLinear / Direct (GL),91.2,1.019108280254777,8949
27,AutoNLinear / STL-SN (GL),90.33333333333333,1.0094237717435839,8949
28,AutoSARIMA / STL-SN (GL),80.0,0.893954631802436,8949
29,AutoPatchTST / STL-SN (FT),79.0,0.8827801989049056,8949
30,AutoNLinear / STL-AC (GL),70.45,0.7872387976310202,8949
31,AutoARIMA / STL-SN (GL),66.33333333333333,0.7412373822028532,8949
32,AutoARIMA / STL-AC (GL),19.45,0.21734271985696724,8949
33,AutoLinearRegression / Direct (GL),11.5,0.12850597832160018,8949
34,AutoRidge / STL-SN (GL),10.0,0.1117443289753045,8949
35,AutoLinearRegression / STL-SN (GL),7.333333333333333,0.08194584124855664,8949
36,AutoLinearRegression / STL-AC (GL),4.0,0.0446977315901218,8949
