rank,configuration,wins,pct,total_series
1,AutoETS / Direct (GL),841.8333333333333,9.407010094237716,8949
2,AutoRandomForest / Direct (FT),549.0,6.134763660744217,8949
3,AutoARIMA / Direct (GL),543.3333333333333,6.0714418743248775,8949
4,AutoSARIMA / Direct (GL),543.3333333333333,6.0714418743248775,8949
5,AutoTFT / Direct (FT),448.0,5.006145938093642,8949
6,AutoLSTM / Direct (FT),447.0,4.994971505196111,8949
7,AutoNHITS / Direct (FT),440.0,4.916750474913399,8949
8,AutoXGBoost / Direct (FT),423.5,4.732372332104146,8949
9,AutoTFT / STL-AC (FT),412.0,4.6038663537825455,8949
10,AutoRandomForest / STL-AC (FT),354.0,3.9557492457257792,8949
11,AutoRandomForest / STL-SN (FT),347.0,3.8775282154430664,8949
12,AutoPatchTST / Direct (FT),294.0,3.2852832718739524,8949
13,AutoLSTM / STL-AC (FT),279.0,3.1176667784109955,8949
14,AutoNHITS / STL-AC (FT),275.0,3.072969046820874,8949
15,AutoETS / STL-AC (GL),264.0,2.950050284948039,8949
16,AutoPatchTST / STL-AC (FT),258.0,2.8830036875628564,8949
17,AutoXGBoost / STL-AC (FT),255.0,2.8494803888702647,8949
18,AutoTFT / STL-SN (FT),209.0,2.335456475583864,8949
19,AutoNHITS / STL-SN (FT),195.0,2.179014415018438,8949
20,AutoLSTM / STL-SN (FT),189.0,2.1119678176332553,8949
21,AutoNLinear / Direct (GL),183.33333333333334,2.048646031213916,8949
22,AutoXGBoost / STL-SN (FT),173.0,1.933176891272768,8949
23,AutoARIMA / STL-AC (GL),135.5,1.514135657615376,8949
24,AutoETS / STL-SN (GL),122.0,1.3632808134987149,8949
25,AutoRidge / Direct (GL),105.33333333333333,1.1770402652065408,8949
26,AutoRidge / STL-AC (GL),96.5,1.0783327746116884,8949
27,AutoNLinear / STL-AC (GL),93.0,1.039222259470332,8949
28,AutoPatchTST / STL-SN (FT),79.0,0.8827801989049056,8949
29,AutoLinearRegression / STL-SN (GL),79.0,0.8827801989049056,8949
30,AutoSARIMA / STL-AC (GL),73.0,0.8157336015197229,8949
31,AutoARIMA / STL-SN (GL),63.0,0.7039892725444183,8949
32,AutoRidge / STL-SN (GL),53.0,0.5922449435691138,8949
33,AutoSARIMA / STL-SN (GL),52.0,0.5810705106715834,8949
34,AutoLinearRegression / Direct (GL),43.333333333333336,0.4842254255596529,8949
35,AutoNLinear / STL-SN (GL),16.0,0.1787909263604872,8949
36,AutoLinearRegression / STL-AC (GL),15.0,0.16761649346295676,8949
