rank,configuration,wins,pct,total_series
1,AutoETS / Direct (GL),893.0333333333333,9.979141058591276,8949
2,AutoARIMA / Direct (GL),546.3333333333333,6.104965173017469,8949
3,AutoSARIMA / Direct (GL),546.3333333333333,6.104965173017469,8949
4,AutoRandomForest / Direct (FT),529.0,5.911275002793608,8949
5,AutoTFT / Direct (FT),488.0,5.4531232539948595,8949
6,AutoLSTM / Direct (FT),448.0,5.006145938093642,8949
7,AutoNHITS / Direct (FT),411.0,4.592691920885015,8949
8,AutoRandomForest / STL-AC (FT),395.0,4.4139009945245276,8949
9,AutoXGBoost / Direct (FT),386.5,4.318918314895519,8949
10,AutoTFT / STL-AC (FT),380.0,4.246284501061571,8949
11,AutoRandomForest / STL-SN (FT),334.0,3.7322605877751704,8949
12,AutoLSTM / STL-AC (FT),326.0,3.642865124594927,8949
13,AutoPatchTST / Direct (FT),309.0,3.4528997653369093,8949
14,AutoXGBoost / STL-AC (FT),265.0,2.9612247178455693,8949
15,AutoPatchTST / STL-AC (FT),261.0,2.9165269862554477,8949
16,AutoLinearRegression / Direct (GL),245.66666666666666,2.7451856818266474,8949
17,AutoETS / STL-AC (GL),235.0,2.625991730919656,8949
18,AutoNHITS / STL-SN (FT),209.0,2.335456475583864,8949
19,AutoNHITS / STL-AC (FT),203.0,2.2684098781986815,8949
20,AutoLSTM / STL-SN (FT),189.0,2.1119678176332553,8949
21,AutoRidge / STL-AC (GL),188.0,2.1007933847357245,8949
22,AutoXGBoost / STL-SN (FT),179.0,2.0002234886579506,8949
23,AutoTFT / STL-SN (FT),175.0,1.9555257570678288,8949
24,AutoARIMA / STL-AC (GL),169.2,1.8907140462621521,8949
25,AutoETS / STL-SN (GL),109.0,1.218013185830819,8949
26,AutoPatchTST / STL-SN (FT),95.0,1.0615711252653928,8949
27,AutoNLinear / Direct (GL),87.86666666666666,0.9818601705963421,8949
28,AutoRidge / STL-SN (GL),82.0,0.916303497597497,8949
29,AutoNLinear / STL-SN (GL),64.0,0.7151637054419488,8949
30,AutoLinearRegression / STL-SN (GL),58.0,0.6481171080567661,8949
31,AutoARIMA / STL-SN (GL),57.0,0.6369426751592357,8949
32,AutoSARIMA / STL-AC (GL),25.2,0.28159570901776737,8949
33,AutoNLinear / STL-AC (GL),18.2,0.2033746787350542,8949
34,AutoLinearRegression / STL-AC (GL),18.0,0.2011397921555481,8949
35,AutoRidge / Direct (GL),14.666666666666666,0.16389168249711328,8949
36,AutoSARIMA / STL-SN (GL),9.0,0.10056989607777406,8949
