feature_name,feature_bucket,model_family,n,mean_delta,p_raw,p_adj,sig,verdict
feature_arch_stat,High,mlforecast,12000,-0.3360184722714637,9.641583437789697e-74,3.8566333751158787e-72,True,Always Hurts
feature_arch_stat,High,neuralforecast,9000,-0.1918923905881105,0.6589661921146074,1.0,False,Mixed
feature_arch_stat,High,statistical,9000,-0.018620125896154173,3.0883936773468103e-80,1.3280092812591284e-78,True,Always Hurts
feature_arch_stat,High,transformers,6000,0.05905778261487939,3.4178154229633925e-172,2.0165110995484017e-170,True,Always Helps
feature_arch_stat,Low,mlforecast,11796,-0.1022382088519854,2.3797495897328522e-17,5.47342405638556e-16,True,Always Hurts
feature_arch_stat,Low,neuralforecast,8847,-0.046623523043613266,3.0087773205544587e-06,5.1149214449425795e-05,True,Always Hurts
feature_arch_stat,Low,statistical,8847,-0.008314635390090527,2.043685604161427e-78,8.379110977061851e-77,True,Always Hurts
feature_arch_stat,Low,transformers,5898,0.046450127284187,1.5798171426068394e-129,8.531012570076933e-128,True,Always Helps
feature_arch_stat,Medium,mlforecast,12000,-0.15642029779215832,9.763870810917634e-36,2.636245118947761e-34,True,Always Hurts
feature_arch_stat,Medium,neuralforecast,9000,-0.07290557510548981,0.0003737511548405168,0.005232516167767235,True,Always Hurts
feature_arch_stat,Medium,statistical,9000,0.006968682210490737,1.0139362024316589e-63,3.4473830882676403e-62,True,Always Helps
feature_arch_stat,Medium,transformers,6000,0.06656557148802358,2.8254768961859483e-184,1.7800504445971474e-182,True,Always Helps
feature_evolving_seasonality,High,mlforecast,12000,-0.23783018360838215,2.629159269792365e-40,7.887477809377094e-39,True,Always Hurts
feature_evolving_seasonality,High,neuralforecast,9000,-0.13109386791524416,0.0008297462923572412,0.010786701800644135,True,Always Hurts
feature_evolving_seasonality,High,statistical,9000,-0.006735120057283228,7.475210678292588e-80,3.139588484882887e-78,True,Always Hurts
feature_evolving_seasonality,High,transformers,6000,0.056434974958042915,4.315990654485272e-173,2.589594392691163e-171,True,Always Helps
feature_evolving_seasonality,Low,mlforecast,11796,-0.1480981369028452,2.149145193252652e-28,5.587777502456896e-27,True,Always Hurts
feature_evolving_seasonality,Low,neuralforecast,8847,-0.06851294094571546,9.287973785887502e-08,1.6718352814597502e-06,True,Always Hurts
