family,variant,model,mae,mase,pocid,rank_mae,rank_mase,rank_pocid,benchmark_rank,mean_y_true,mean_y_hat,mean_error,mean_abs_error,std_abs_error,n_series,avg_series_mae,std_series_mae,max_series_mae,avg_series_mase,std_series_mase,max_series_mase,avg_series_pocid,std_series_pocid,min_series_pocid,wins_mae,wins_mase,wins_pocid
mlforecast,with_mstl,xgb,627.2209493797584,0.6740486037694052,0.5444444444444444,1,1,5,1,6815.194444444444,6652.546256619393,-162.6481878250518,627.2209493797584,852.1572066534732,10,627.2209493797584,530.7913155727031,1833.5874895274148,0.8663259139891487,0.4941170067957507,2.1642656888231473,0.5444444444444445,0.1186342028003479,0.3888888888888889,1,1,0
mlforecast,with_mstl,rf,635.2355860592415,0.6826616047682824,0.5611111111111111,2,2,3,2,6815.194444444444,6701.1532725807665,-114.04117186367732,635.2355860592413,824.4368968899164,10,635.2355860592413,551.3166695063396,1817.5571083572804,0.7708138373894788,0.23221536120250577,1.0149039154632147,0.5611111111111111,0.15801625170364325,0.3333333333333333,0,0,0
mlforecast,without_mstl,rf,658.7737864271226,0.7079571423438434,0.5055555555555555,3,3,11,3,6815.194444444444,6851.778338026219,36.583893581774724,658.7737864271226,884.5362719232028,10,658.7737864271226,616.8006941618999,2033.7827807847332,0.9039632738793655,0.5826202547921369,1.9580424897187,0.5055555555555555,0.1348295677723511,0.3333333333333333,4,4,0
neuralforecast,without_mstl,nbeats,707.8610582139756,0.7607092180573487,0.6,4,4,2,4,6815.194444444444,6867.416956922743,52.22251247829861,707.8610582139756,940.0441864775354,10,707.8610582139756,662.56843741345,2324.3771158854165,0.8963942511318699,0.5533091468335855,2.2568374985014388,0.6,0.15071844406945042,0.3888888888888889,0,0,2
transformer,with_mstl,patchtst,716.474248977788,0.7699654605570425,0.4888888888888889,5,5,13,5,6815.194444444444,6452.522991987278,-362.67145245716677,716.4742489777879,877.5217861837763,10,716.474248977788,550.4459379920293,1826.4266996981617,0.8582210175122693,0.186767100720061,1.2268282207008967,0.48888888888888893,0.098757715747951,0.2777777777777778,0,0,1
neuralforecast,without_mstl,nhits,723.0727966308593,0.7770566488167091,0.6166666666666667,6,6,1,6,6815.194444444444,6914.044876437717,98.85043199327257,723.0727966308593,954.9778267819851,10,723.0727966308593,659.5241995966916,1981.2759874131943,0.9263612746650758,0.6653394059844809,2.327859317555147,0.6166666666666667,0.1277777777777778,0.4444444444444444,0,0,1
neuralforecast,with_mstl,nhits,732.7892919151903,0.7874985673884848,0.5388888888888889,7,7,6,7,6815.194444444444,7061.285725711569,246.0912812671249,732.7892919151903,995.7702110995338,10,732.7892919151902,695.1036741352316,2468.5076871854144,0.8989123446912896,0.4853893059597899,2.1441578962464742,0.538888888888889,0.15122952876462445,0.3333333333333333,0,0,0
neuralforecast,with_mstl,nlinear,764.2953773360867,0.8213568639093443,0.49444444444444446,8,8,12,8,6815.194444444444,6507.494535580286,-307.69990886415974,764.2953773360867,895.2572102421097,10,764.2953773360867,636.0106450308691,2176.9315338821198,0.9018364325920427,0.21112548261908975,1.307590868419076,0.49444444444444446,0.1253390463630942,0.2222222222222222,0,0,0
neuralforecast,with_mstl,nbeats,791.5957298798465,0.8506954319733269,0.5388888888888889,9,9,6,9,6815.194444444444,7099.790065771925,284.59562132748044,791.5957298798465,1088.265324389101,10,791.5957298798465,756.8928657316955,2632.3335738691276,0.9728745594434074,0.6082816917649084,2.5467374889699284,0.538888888888889,0.1339107865910439,0.3333333333333333,0,0,0
mlforecast,without_mstl,lr,793.25405096729,0.8524775615637016,0.5166666666666667,10,10,10,10,6815.194444444444,6582.8043155887835,-232.3901288556614,793.25405096729,895.2076495790513,10,793.25405096729,603.5286280530266,2194.816373281065,1.0081837994181615,0.40388828386706027,1.7374506740376245,0.5166666666666666,0.14917468424552835,0.2222222222222222,1,1,0
statistical,without_mstl,auto_sarima,804.8103559869869,0.8648966481247657,0.5222222222222223,11,11,9,11,6815.194444444444,6969.734617386369,154.54017294192408,804.8103559869871,932.8552508216528,10,804.8103559869871,594.6606237613331,1851.5740706475617,1.120013346426515,0.8129487195916302,3.003628405652379,0.5222222222222223,0.2834966849371794,0.05555555555555555,2,2,2
statistical,with_mstl,auto_arima,818.9941592944961,0.8801393992239129,0.55,12,12,4,12,6815.194444444444,6767.92653634697,-47.26790809747375,818.9941592944962,1119.7456318834948,10,818.9941592944963,737.5404234756991,2176.5197384217718,0.9681624860408803,0.5341906171112103,2.1578275815439243,0.55,0.1866699735156827,0.2777777777777778,1,1,0
statistical,without_mstl,auto_arima,836.4568524639982,0.8989058386430621,0.4166666666666667,13,13,17,13,6815.194444444444,6877.628582183642,62.434137739197226,836.4568524639984,1052.9090076432087,10,836.4568524639984,683.8854998460769,2277.0087494274235,1.0848080458131715,0.7081665425662889,2.6721437293900077,0.4166666666666667,0.253676667929575,0.05555555555555555,0,0,1
mlforecast,without_mstl,xgb,846.8065205891927,0.9100282020720302,0.45555555555555555,14,14,16,14,6815.194444444444,6636.259364827474,-178.93507961697048,846.8065205891927,1045.2119353464943,10,846.8065205891928,705.3071941751291,2420.730902777778,1.019941364692496,0.4279619927664728,1.852655644039456,0.45555555555555555,0.14865653511399615,0.2222222222222222,0,0,1
transformer,without_mstl,patchtst,865.1814649793837,0.929775000425619,0.4722222222222222,15,15,15,15,6815.194444444444,6761.313999430338,-53.8804450141059,865.1814649793837,957.261584358,10,865.1814649793838,640.1280681120445,1894.5267469618057,1.0404316406746106,0.4842578153501646,1.962110554966197,0.4722222222222222,0.09702360664762767,0.3888888888888889,1,1,0
mlforecast,with_mstl,lr,916.5939717950027,0.9850259107621153,0.48333333333333334,16,16,14,16,6815.194444444444,6375.337185697537,-439.85725874690775,916.5939717950027,955.99956816563,10,916.5939717950026,606.749872347615,2084.4842795777126,1.468340823897938,1.4719577660776315,5.6492947169178604,0.4833333333333333,0.17222222222222222,0.05555555555555555,0,0,0
neuralforecast,without_mstl,nlinear,917.4836690266927,0.985982031850531,0.5055555555555555,17,17,11,17,6815.194444444444,6751.773128933377,-63.42131551106771,917.4836690266927,1008.4810117100182,10,917.4836690266927,711.1593141712985,2165.5716145833335,1.0910366776023541,0.4764921458778651,1.9854523802832733,0.5055555555555555,0.12031337682059842,0.3333333333333333,0,0,1
baseline,without_mstl,seasonal_naive,930.5277777777778,1.0,0.5277777777777778,18,18,8,18,6815.194444444444,6208.444444444444,-606.75,930.5277777777778,1068.0502819549044,10,930.5277777777777,764.9102312577052,2618.222222222222,1.0,0.0,1.0,0.5277777777777778,0.1879880479520959,0.2777777777777778,0,0,0
mlforecast,with_mstl,lgbm,983.377974305801,1.056795936446128,0.5333333333333333,19,19,7,19,6815.194444444444,6617.638677865488,-197.55576657895656,983.3779743058009,1033.1560074128429,10,983.377974305801,685.4841504488882,2217.2819154385506,1.4695859313669204,0.9945619896470937,4.130466022903977,0.5333333333333333,0.09686442096757054,0.3333333333333333,0,0,1
statistical,with_mstl,auto_sarima,1021.8604745415979,1.0981514995521515,0.5611111111111111,20,20,3,20,6815.194444444444,6738.858494364286,-76.33595008015796,1021.8604745415979,1405.999066776611,10,1021.8604745415978,965.7793615238128,3418.7013302574187,1.2540843840383746,0.8638514496314853,3.3088195056514316,0.5611111111111111,0.19945914523351382,0.2222222222222222,0,0,0
mlforecast,without_mstl,lgbm,1177.5585805367327,1.2654738618860975,0.49444444444444446,21,21,12,21,6815.194444444444,6672.128630183748,-143.0658142606964,1177.5585805367327,1354.4846174850936,10,1177.5585805367327,836.0217697514361,3341.7936231908348,2.113198129932816,1.7846123759853332,5.502804496439268,0.49444444444444446,0.09444444444444444,0.3888888888888889,0,0,0
