family,model,metric,n_series,mean_improvement,median_improvement,with_mstl_better_count,without_mstl_better_count,tie_count,with_mstl_better_share,corr_mean_y,avg_mean_y_when_with_mstl_better,avg_mean_y_when_without_mstl_better,corr_cv_y,avg_cv_y_when_with_mstl_better,avg_cv_y_when_without_mstl_better,corr_slope_over_mean,avg_slope_over_mean_when_with_mstl_better,avg_slope_over_mean_when_without_mstl_better,corr_trend_strength,avg_trend_strength_when_with_mstl_better,avg_trend_strength_when_without_mstl_better,corr_seasonal_strength,avg_seasonal_strength_when_with_mstl_better,avg_seasonal_strength_when_without_mstl_better,corr_lag12_autocorr,avg_lag12_autocorr_when_with_mstl_better,avg_lag12_autocorr_when_without_mstl_better
mlforecast,lgbm,mae,10,194.18060623093177,342.79052604779986,5,5,0,0.5,0.054277697738856545,5273.319793779581,5565.153084838533,-0.06343047532973967,0.23370294952712153,0.29901236912888346,-0.4077251420150461,0.003492860344704981,0.005140273035614511,-0.39997289672775127,0.8274234333496608,0.8983521257418771,-0.28197645873408195,0.29823659782854417,0.48421652234325413,-0.35712105168398656,0.5439141334556656,0.6882670056985054
mlforecast,lr,mae,10,-123.33992082771276,-54.052474179108955,4,6,0,0.4,-0.6885705050903437,4883.859742224477,5776.154237365445,0.2845038365633853,0.2945148035871482,0.24758622982190537,-0.0006065519954395072,0.009159002075110367,0.001088276433525999,-0.5825873131549272,0.7786487804389611,0.9190471122836409,0.5006117119379341,0.40144326082935783,0.38441542625692665,-0.6181523584338993,0.5222247665557519,0.678667771591308
mlforecast,rf,mae,10,23.538200367881178,-30.501649498527158,4,6,0,0.4,0.05479113989686727,6128.539828431373,4946.367513227513,-0.15141546874653714,0.24831865229617633,0.27838366401588666,-0.23396385576990478,0.004696463124463984,0.0040633024006235885,-0.4544859380753843,0.7901872925037292,0.9113547709071287,-0.07287092176585964,0.31637708612848214,0.44112620939084385,-0.420457804043852,0.5607452541190894,0.6529874465490829
mlforecast,xgb,mae,10,219.58557120943433,79.04558740121017,7,3,0,0.7,0.2325516098484157,5936.292463537139,4212.772382776865,0.18133097403507462,0.2949182604562184,0.19971625669549883,-0.03865021985953304,0.0020151523217472995,0.00968653354978879,-0.4392473907287335,0.8199983348768277,0.9629631504399647,-0.010032989221444867,0.367968981275739,0.44549424397627285,-0.2735095518445541,0.5052141102929666,0.8748023079066963
neuralforecast,nbeats,mae,10,-83.73467166587089,-50.83175088108635,2,8,0,0.2,-0.09405584858379423,3818.074696545285,5819.526875,-0.4466857218040205,0.20010012672046548,0.28292204247988684,-0.30870972567479205,0.006388125146168331,0.0037986770761576005,-0.016012971173185012,0.8245828262056499,0.8724640178807985,0.05680910376446372,0.6117753296510229,0.3360893676946182,-0.20411446079690712,0.5462432089681422,0.6335524097293214
neuralforecast,nhits,mae,10,-9.716495284330964,-39.50953749649362,4,6,0,0.4,0.005446600965845309,6133.836164638269,4942.836622422916,-0.2635441419911428,0.29181623517009636,0.24938527543327335,-0.27945231048155633,0.0015804789002853193,0.006140625216742697,-0.047893236902446956,0.8168091144198504,0.8936068896297146,0.15946637026551105,0.4399306793310628,0.35875714725579,-0.272599715364858,0.462809615189165,0.7182778725023659
neuralforecast,nlinear,mae,10,153.18829169060604,-1.8398812146970016,4,6,0,0.4,-0.15177145879835233,5041.974095672752,5670.744668399927,-0.09873299540667096,0.2694723921363721,0.2642811707890895,0.26824320052106554,0.000950675831096031,0.006560493929535557,-0.2267945390440489,0.8123984322496445,0.8965473444098518,0.3423307287307512,0.45343984974846413,0.34975103364418914,-0.28878635201470465,0.45272846175770665,0.7249986414566715
statistical,auto_arima,mae,10,17.462693169502117,19.665689268713308,5,5,0,0.5,0.046033629203670726,5738.579428668019,5099.893449950096,-0.2720914332051815,0.2648509351323874,0.26786438352361763,-0.041792185020596125,0.005763292387800765,0.002869840992518728,-0.28945937776566755,0.8076042211301173,0.9181713379614205,0.0223465057032822,0.373804759203147,0.4086483609686512,-0.2862653007807525,0.4951076091940692,0.7370735299601019
statistical,auto_sarima,mae,10,-217.0501185546108,-57.692820326962135,2,8,0,0.2,-0.03170040773191332,4582.924949290061,5628.314311813806,-0.6855422627770937,0.19818010065015662,0.283402048997464,-0.07979736670124718,0.005947660278927628,0.003908793292967777,0.7468197437372386,0.9274027009472937,0.8467590491953877,-0.18665859287287392,0.38539554125584913,0.3926843147934117,0.37176238425727265,0.5629432144629181,0.6293774083556274
transformer,patchtst,mae,10,148.70721600159578,-6.626404578620011,5,5,0,0.5,-0.17300000681629069,5191.565532116295,5646.90734650182,-0.17340262883312726,0.21029952356742765,0.3224157950885774,0.4095660822943503,0.010341805155490286,-0.0017086717751707953,-0.11756796538569092,0.899055577583509,0.826719981508029,0.31708024210369007,0.37184099891597283,0.41061212125582547,-0.15757261133966388,0.6938690021036307,0.5383121370505404
