family,variant,model,mae,mase,pocid,rank_mae,rank_mase,rank_pocid,benchmark_rank
mlforecast,with_mstl,xgb,627.2209493797584,0.6740486037694052,0.5444444444444444,1,1,5,1
mlforecast,with_mstl,rf,635.2355860592415,0.6826616047682824,0.5611111111111111,2,2,3,2
mlforecast,without_mstl,rf,658.7737864271226,0.7079571423438434,0.5055555555555555,3,3,11,3
neuralforecast,without_mstl,nbeats,707.8610582139756,0.7607092180573487,0.6,4,4,2,4
transformer,with_mstl,patchtst,716.474248977788,0.7699654605570425,0.4888888888888889,5,5,13,5
neuralforecast,without_mstl,nhits,723.0727966308593,0.7770566488167091,0.6166666666666667,6,6,1,6
neuralforecast,with_mstl,nhits,732.7892919151903,0.7874985673884848,0.5388888888888889,7,7,6,7
neuralforecast,with_mstl,nlinear,764.2953773360867,0.8213568639093443,0.49444444444444446,8,8,12,8
neuralforecast,with_mstl,nbeats,791.5957298798465,0.8506954319733269,0.5388888888888889,9,9,6,9
mlforecast,without_mstl,lr,793.25405096729,0.8524775615637016,0.5166666666666667,10,10,10,10
statistical,without_mstl,auto_sarima,804.8103559869869,0.8648966481247657,0.5222222222222223,11,11,9,11
statistical,with_mstl,auto_arima,818.9941592944961,0.8801393992239129,0.55,12,12,4,12
statistical,without_mstl,auto_arima,836.4568524639982,0.8989058386430621,0.4166666666666667,13,13,17,13
mlforecast,without_mstl,xgb,846.8065205891927,0.9100282020720302,0.45555555555555555,14,14,16,14
transformer,without_mstl,patchtst,865.1814649793837,0.929775000425619,0.4722222222222222,15,15,15,15
mlforecast,with_mstl,lr,916.5939717950027,0.9850259107621153,0.48333333333333334,16,16,14,16
neuralforecast,without_mstl,nlinear,917.4836690266927,0.985982031850531,0.5055555555555555,17,17,11,17
baseline,without_mstl,seasonal_naive,930.5277777777778,1.0,0.5277777777777778,18,18,8,18
mlforecast,with_mstl,lgbm,983.377974305801,1.056795936446128,0.5333333333333333,19,19,7,19
statistical,with_mstl,auto_sarima,1021.8604745415979,1.0981514995521515,0.5611111111111111,20,20,3,20
mlforecast,without_mstl,lgbm,1177.5585805367327,1.2654738618860975,0.49444444444444446,21,21,12,21
