matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_only_all_models,feature_bucket,arch_stat,all,High,transformer,666,2716,2,1.0327907795992648,0.964985020428916,561.4543677150139,0.5835736786123384,1.0
family_only_all_models,feature_bucket,arch_stat,all,High,neuralforecast,666,4074,3,1.102229940024186,1.0036971936299104,584.2825845395222,0.5863095238095238,2.0
family_only_all_models,feature_bucket,arch_stat,all,High,statistical,666,4074,3,1.1113032280551123,0.969292968611165,525.8356716744321,0.5899368624884089,3.0
family_only_all_models,feature_bucket,arch_stat,all,High,mlforecast,666,5432,4,1.1677483837821951,1.0718339666135521,566.649711216258,0.5752229585992473,4.0
family_only_all_models,feature_bucket,arch_stat,all,Low,transformer,667,2704,2,0.993362762579209,1.0024261588518817,683.5706125134575,0.5811195348454964,1.0
family_only_all_models,feature_bucket,arch_stat,all,Low,neuralforecast,667,4056,3,1.056127856964697,1.0403349804002553,707.2007012362434,0.5888909434582511,2.0
family_only_all_models,feature_bucket,arch_stat,all,Low,statistical,667,4056,3,1.0744847622470741,1.0220587525590334,677.5198087733016,0.5563773833004602,3.0
family_only_all_models,feature_bucket,arch_stat,all,Low,mlforecast,667,5408,4,1.0778907625017176,1.051839408027338,680.1488556518734,0.5770463510848126,4.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,transformer,663,2692,2,1.0156167764538522,0.9590096127942622,566.0408539261081,0.5702647762918936,1.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,statistical,663,4038,3,1.0847372825122266,0.9927968694603689,559.437198542028,0.5622523526498266,2.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,neuralforecast,663,4038,3,1.1052395790487122,1.0259516270225713,613.5153000685597,0.5756046722800066,3.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,mlforecast,663,5384,4,1.1525407694526446,1.0611992804003003,586.069628991551,0.5661450594353641,4.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,High,transformer,334,1340,2,1.0289131144979433,0.9242197200949789,500.56176032652166,0.5489635157545605,1.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,High,neuralforecast,334,2010,3,1.0582006905635597,0.9373067666729613,514.4170818240285,0.5599502487562189,2.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,High,statistical,334,2010,3,1.0688970311982486,0.9419760021973923,456.0787501004885,0.5576008844665561,3.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,High,mlforecast,334,2680,4,1.12353614596257,0.9972497514455528,519.3530694358531,0.5407131011608624,4.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Low,transformer,334,1336,2,0.9398007780405958,0.9738274735150663,816.8841485299816,0.5461992681304059,1.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Low,statistical,334,2004,3,0.9470904127690414,0.9539941813604388,790.1669001189817,0.5080671989354624,2.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Low,mlforecast,334,2672,4,0.961975168390589,0.9781368532378852,809.3999538731077,0.5474051896207585,3.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Low,neuralforecast,334,2004,3,0.9716174936019425,0.9982044164814017,838.9561482161766,0.5614604125083167,4.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Medium,statistical,332,1998,3,0.942023241735706,0.9023265543732906,626.4327221693511,0.5375375375375375,1.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Medium,transformer,332,1332,2,0.9645206026223508,0.9561671152367874,656.6702620665282,0.5418752085418752,2.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Medium,neuralforecast,332,1998,3,1.0094810293744072,1.004109980116103,692.7288357911867,0.5511344678011345,3.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_monthly,Medium,mlforecast,332,2664,4,1.0237478465337042,1.0113133472754683,676.1946308741865,0.5379129129129129,4.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,High,transformer,332,1376,2,1.036566994160145,1.0046837867424885,620.7538545613653,0.6172783430232558,1.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,High,neuralforecast,332,2064,3,1.1451072614465976,1.068350661742056,652.3202107304825,0.6119791666666666,2.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,High,statistical,332,2064,3,1.1525999604593253,0.9958952469501586,593.7675575095225,0.6214268410852714,3.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,High,mlforecast,332,2752,4,1.2108039060774698,1.1444668505707605,612.7089408570591,0.6088299418604651,4.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,Low,transformer,333,1368,2,1.0456718351987904,1.0303558690930992,553.3755217838694,0.6152229532163743,1.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,Low,neuralforecast,333,2052,3,1.1386613697224748,1.0814800340520012,578.5272530160745,0.6156798245614035,2.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,Low,mlforecast,333,2736,4,1.1910948807272055,1.1238179264474466,553.92117493289,0.6059941520467836,3.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,Low,statistical,333,2052,3,1.1988991269419949,1.0885311700453801,567.5077371082222,0.6035575048732943,4.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,Medium,transformer,331,1360,2,1.0656609702358817,0.9617935883432008,477.27734536504937,0.5980698529411764,1.0
family_only_all_models,feature_bucket_by_seasonality,arch_stat,combined_quarterly,Medium,neuralforecast,331,2040,3,1.1990266291708993,1.0473435929633184,535.9326312578688,0.5995710784313726,2.0
