scope,family,model,n_pairs,mean_rel_naive_delta,median_rel_naive_delta,win_rate_rel_naive,mean_mase_delta,median_mase_delta,win_rate_mase,mean_mae_delta,median_mae_delta,win_rate_mae,mean_pocid_delta,median_pocid_delta,win_rate_pocid
overall,mlforecast,auto_lr,2196,0.17964107659497186,0.08357358529686154,0.6006375227686703,0.17387155355713013,0.07416233904698993,0.6006375227686703,27.52439790870592,18.75054130321348,0.6006375227686703,0.039313904068002434,0.0,0.4772313296903461
overall,mlforecast,auto_rf,2196,0.05589756992699297,0.028478361769112115,0.5437158469945356,0.11744272811693245,0.024227619592304073,0.5437158469945356,25.98188267701147,8.050666022140376,0.5437158469945356,0.09447100789313904,0.1111111111111111,0.5883424408014571
overall,mlforecast,auto_ridge,2196,0.17020774385265142,0.07958310447042594,0.5979052823315119,0.16846295114819665,0.07372429053819402,0.5979052823315119,26.902794867535857,18.40436157349879,0.5979052823315119,0.036973790730621334,0.0,0.476775956284153
overall,mlforecast,auto_xgb,2196,0.03447516367131495,0.01808509770818345,0.529143897996357,0.0787923482386348,0.016981674937520508,0.529143897996357,3.2629856450961423,5.353674844539768,0.529143897996357,0.10004300748836269,0.11111111111111116,0.5956284153005464
overall,neuralforecast,auto_lstm,2196,-0.006474740684890386,0.021064179584150577,0.5368852459016393,0.0732380730682687,0.017687600979450463,0.5368852459016393,15.473133836799759,3.906214308737475,0.5368852459016393,0.04802924509208663,0.0,0.4981785063752277
overall,neuralforecast,auto_nhits,2196,-0.06364507721379299,-0.03843825645009258,0.44034608378870677,-0.026728564309680305,-0.036467774747050846,0.44034608378870677,-38.676225998175006,-7.977833201871832,0.44034608378870677,-0.005964126695001013,0.0,0.31102003642987247
overall,neuralforecast,auto_nlinear,2196,0.0397215129272854,0.05501453021239666,0.587431693989071,0.2526536200838002,0.0435579258062177,0.587431693989071,85.89198724785544,10.104152369409562,0.587431693989071,0.12158469945355191,0.1111111111111111,0.5728597449908925
overall,statistical,auto_arima,2196,0.0033071026304947538,-0.007177287053293319,0.4849726775956284,0.08295014792454188,-0.005667643483666912,0.4849726775956284,7.499850121889174,-1.4000847464973774,0.4849726775956284,0.15360630439182352,0.11111111111111105,0.5500910746812386
overall,statistical,auto_ets,2196,-0.06269589503556418,-0.03676369920523485,0.4007285974499089,-0.035889106271768924,-0.03116890980209297,0.4007285974499089,-36.82008556452351,-7.954472825596566,0.4007285974499089,0.1163289313904068,0.0,0.4412568306010929
overall,statistical,auto_sarima,2196,-0.19217119349261572,-0.0669615121285434,0.3907103825136612,-0.15356787261872137,-0.05882355632787794,0.3907103825136612,-73.21514597831099,-17.051555404990836,0.3907103825136612,0.058502833434527425,0.0,0.3697632058287796
overall,transformer,auto_patchtst,2196,0.05438036582735188,0.01312022880969882,0.5241347905282332,0.1822860952363964,0.010134143948773877,0.5241347905282332,44.61851727823085,2.6127866152172317,0.5241347905282332,0.08106911556365108,0.11111111111111108,0.5614754098360656
overall,transformer,auto_tft,2196,0.060815950584366056,0.001658598418815549,0.5036429872495446,0.08641534148630071,0.002253715450003052,0.5036429872495446,3.174192358903032,0.8857860471640651,0.5036429872495446,0.013009765229710583,0.0,0.4139344262295082
combined_monthly,mlforecast,auto_lr,1014,0.08175249978628327,0.0289140586138516,0.5266272189349113,0.08533701086101574,0.021720605382486824,0.5266272189349113,-7.189868848020047,6.272358757435761,0.5266272189349113,0.04421433267587113,0.05555555555555547,0.5226824457593688
combined_monthly,mlforecast,auto_rf,1014,0.04861617280971463,0.006337506033848084,0.5059171597633136,0.11179473138368531,0.005258098510522502,0.5059171597633136,1.150247717333302,1.219168128351935,0.5059171597633136,0.0831689677843524,0.05555555555555558,0.6134122287968442
combined_monthly,mlforecast,auto_ridge,1014,0.08105009570172286,0.026125972244740725,0.5216962524654832,0.08589018155336137,0.02088653658832118,0.5216962524654832,-7.307964805780864,5.794194725132225,0.5216962524654832,0.04136532982686829,0.055555555555555525,0.5276134122287969
combined_monthly,mlforecast,auto_xgb,1014,0.031006495153755417,0.0005327226369842841,0.5009861932938856,0.06121990858799381,0.0005967082202187335,0.5009861932938856,-27.547276071240816,0.20588329742382294,0.5009861932938856,0.08623712469866315,0.05555555555555558,0.6045364891518737
combined_monthly,neuralforecast,auto_lstm,1014,0.02277107092964952,0.026431683995833344,0.539447731755424,0.0735566162467165,0.021546025387976786,0.539447731755424,13.93592957991132,5.236539828266103,0.539447731755424,0.0564321718167872,0.05555555555555558,0.5562130177514792
combined_monthly,neuralforecast,auto_nhits,1014,-0.08155988858729937,-0.041151396109678884,0.42209072978303747,-0.023395198143617908,-0.04021885641875415,0.42209072978303747,-51.20282817639384,-9.820037922553556,0.42209072978303747,0.0012601358755204917,0.0,0.40236686390532544
combined_monthly,neuralforecast,auto_nlinear,1014,0.05393107478640032,0.03835642977360232,0.5562130177514792,0.25752113615554084,0.027750159198519142,0.5562130177514792,90.19262657901795,8.126190294917457,0.5562130177514792,0.07001972386587771,0.05555555555555558,0.5779092702169625
combined_monthly,statistical,auto_arima,1014,-0.010980664847124058,-0.008397309691917959,0.4881656804733728,0.09354074313484881,-0.007621272147650071,0.4881656804733728,-0.28474407964976345,-1.568716169343956,0.4881656804733728,0.16858426473811092,0.11111111111111116,0.6469428007889546
combined_monthly,statistical,auto_ets,1014,-0.059771815672502816,-0.04334534829209463,0.39546351084812625,-0.011922955690659464,-0.04266706776586538,0.39546351084812625,-42.66424631012881,-9.705430278898614,0.39546351084812625,0.12360289283366208,0.05555555555555547,0.5098619329388561
combined_monthly,statistical,auto_sarima,1014,-0.19319580678942683,-0.08427543032257812,0.3816568047337278,-0.13357693910172014,-0.07591145421198811,0.3816568047337278,-93.99988805940892,-19.29297016085458,0.3816568047337278,0.054459785229016004,0.0,0.4339250493096647
combined_monthly,transformer,auto_patchtst,1014,0.09517485964485406,0.035999414209888614,0.5364891518737672,0.1711198864867101,0.03012204005571316,0.5364891518737672,36.56405086055875,7.294665490434738,0.5364891518737672,0.08656585579662503,0.11111111111111105,0.6193293885601578
combined_monthly,transformer,auto_tft,1014,-0.07863757746178238,-0.025091020404030107,0.46548323471400394,0.003023088044082316,-0.01820392835008733,0.46548323471400394,-38.28555796064295,-3.7397451119531055,0.46548323471400394,0.029037913653298265,0.05555555555555547,0.5078895463510849
combined_quarterly,mlforecast,auto_lr,1182,0.26361655619227325,0.12657643232321514,0.6641285956006768,0.2498225064284161,0.12039319850364347,0.6641285956006768,57.30465720762313,33.32330793745102,0.6641285956006768,0.03510998307952622,0.0,0.43824027072758037
combined_quarterly,mlforecast,auto_rf,1182,0.062144047657043934,0.056623010022361364,0.5761421319796954,0.12228796389316983,0.04751241025025582,0.5761421319796954,47.2841482007963,14.711217100746381,0.5761421319796954,0.10416666666666667,0.125,0.5668358714043993
combined_quarterly,mlforecast,auto_ridge,1182,0.2466932389668998,0.12106549142404541,0.6632825719120136,0.2392994895315832,0.11289821885469215,0.6632825719120136,56.25111154159943,31.802188014004315,0.6632825719120136,0.03320642978003384,0.0,0.43316412859560066
combined_quarterly,mlforecast,auto_xgb,1182,0.03745082346556655,0.035084607194226625,0.5532994923857868,0.0938671822536517,0.032494763303219334,0.5532994923857868,29.694123868755767,6.944536672497293,0.5532994923857868,0.11188663282571912,0.125,0.5879864636209814
