matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_only_all_models,feature_bucket,arch_stat,all,High,transformer,666,2716,2,1.0327907795992648,0.964985020428916,561.4543677150139,0.5835736786123384,1.0
family_only_all_models,feature_bucket,arch_stat,all,High,neuralforecast,666,4074,3,1.102229940024186,1.0036971936299104,584.2825845395222,0.5863095238095238,2.0
family_only_all_models,feature_bucket,arch_stat,all,High,statistical,666,4074,3,1.1113032280551123,0.969292968611165,525.8356716744321,0.5899368624884089,3.0
family_only_all_models,feature_bucket,arch_stat,all,High,mlforecast,666,5432,4,1.1677483837821951,1.0718339666135521,566.649711216258,0.5752229585992473,4.0
family_only_all_models,feature_bucket,arch_stat,all,Low,transformer,667,2704,2,0.993362762579209,1.0024261588518817,683.5706125134575,0.5811195348454964,1.0
family_only_all_models,feature_bucket,arch_stat,all,Low,neuralforecast,667,4056,3,1.056127856964697,1.0403349804002553,707.2007012362434,0.5888909434582511,2.0
family_only_all_models,feature_bucket,arch_stat,all,Low,statistical,667,4056,3,1.0744847622470741,1.0220587525590334,677.5198087733016,0.5563773833004602,3.0
family_only_all_models,feature_bucket,arch_stat,all,Low,mlforecast,667,5408,4,1.0778907625017176,1.051839408027338,680.1488556518734,0.5770463510848126,4.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,transformer,663,2692,2,1.0156167764538522,0.9590096127942622,566.0408539261081,0.5702647762918936,1.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,statistical,663,4038,3,1.0847372825122266,0.9927968694603689,559.437198542028,0.5622523526498266,2.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,neuralforecast,663,4038,3,1.1052395790487122,1.0259516270225713,613.5153000685597,0.5756046722800066,3.0
family_only_all_models,feature_bucket,arch_stat,all,Medium,mlforecast,663,5384,4,1.1525407694526446,1.0611992804003003,586.069628991551,0.5661450594353641,4.0
family_only_all_models,feature_bucket,noise_non_normality,all,High,transformer,667,2720,2,1.0111927280181296,1.026911622363575,619.2681257366751,0.5938214869281045,1.0
family_only_all_models,feature_bucket,noise_non_normality,all,High,neuralforecast,667,4080,3,1.0510143368049463,1.0497165996063997,635.27511991707,0.5952784586056645,2.0
family_only_all_models,feature_bucket,noise_non_normality,all,High,statistical,667,4080,3,1.0564364740193606,1.0195799066676865,581.0937525891417,0.5952784586056645,3.0
family_only_all_models,feature_bucket,noise_non_normality,all,High,mlforecast,667,5440,4,1.1475292862417497,1.124546117392857,618.7491129990534,0.587594464869281,4.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,transformer,667,2712,2,1.0131397081118254,0.9686302744897853,571.0733207499846,0.56687356604392,1.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,neuralforecast,667,4068,3,1.1072252460411964,1.0402845994463625,627.6852395579626,0.57336051021523,2.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,statistical,667,4068,3,1.1103421094588886,0.9918041112033564,576.8132867608422,0.5484540587785426,3.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,mlforecast,667,5424,4,1.1274265724235049,1.0659109824589224,589.5025077169573,0.5643564609963946,4.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,transformer,664,2680,2,1.0175648958996162,0.9302196303796106,620.8607574036324,0.5742278192371476,1.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,statistical,664,4020,3,1.1041284025565377,0.9723230024385272,604.9610242268787,0.5648251796572692,2.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,neuralforecast,664,4020,3,1.1056631812552926,0.9792866269469951,641.990555104881,0.5821621061359867,3.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,mlforecast,664,5360,4,1.1231345001990678,0.9934728551226751,624.6694680244269,0.5663842247097844,4.0
family_only_all_models,feature_bucket,nonlinearity_score,all,High,transformer,666,2712,2,1.006188522182337,1.0396043696532988,721.4132245294546,0.586948951163553,1.0
family_only_all_models,feature_bucket,nonlinearity_score,all,High,statistical,666,4068,3,1.0696941949019028,1.0406503061083268,694.5990589731683,0.5520833333333334,2.0
family_only_all_models,feature_bucket,nonlinearity_score,all,High,neuralforecast,666,4068,3,1.0818123820273298,1.0905864308871966,762.487855999492,0.5845965803561674,3.0
family_only_all_models,feature_bucket,nonlinearity_score,all,High,mlforecast,666,5424,4,1.1351207807542205,1.1214682868809318,717.9740761825022,0.5819275442477876,4.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Low,transformer,667,2716,2,1.0212848450527412,0.95464825467204,547.8639765759493,0.5621113565701195,1.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Low,neuralforecast,667,4074,3,1.118275018611638,1.0219437842692811,602.288727011544,0.572069492172585,2.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Low,statistical,667,4074,3,1.1252613210661135,0.9866650768816947,550.2357103866728,0.5617670321278568,3.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Low,mlforecast,667,5432,4,1.1361750372121033,1.0512959261461758,568.334830687599,0.5585700990018,4.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Medium,transformer,664,2684,2,1.0143666610647584,0.9317741492077389,541.2055709445939,0.5860603990726941,1.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Medium,neuralforecast,664,4026,3,1.0631971156967348,0.9566689367378709,539.1513172513901,0.5943140420599438,2.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Medium,statistical,664,4026,3,1.075483876470627,0.9563449192542468,517.1368659912328,0.5951143953193134,3.0
family_only_all_models,feature_bucket,nonlinearity_score,all,Medium,mlforecast,664,5368,4,1.1268860003912393,1.0116548234097753,545.8641832476947,0.5780318554396423,4.0
family_only_all_models,feature_bucket,seasonality_evolution,all,High,transformer,666,2720,2,1.1081155392150104,0.8641384355129886,481.3495768780025,0.545751633986928,1.0
