matrix,week4_group,family,variant,selected_configs,total_configs,selection_rule
family_decomposition_all_models,combined_monthly,mlforecast,with_mstl,4,4,all available configurations included
family_decomposition_all_models,combined_monthly,mlforecast,without_mstl,4,4,all available configurations included
family_decomposition_all_models,combined_monthly,neuralforecast,with_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_monthly,neuralforecast,without_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_monthly,statistical,with_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_monthly,statistical,without_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_monthly,transformer,with_mstl,2,2,all available configurations included
family_decomposition_all_models,combined_monthly,transformer,without_mstl,2,2,all available configurations included
family_decomposition_all_models,combined_quarterly,mlforecast,with_mstl,4,4,all available configurations included
family_decomposition_all_models,combined_quarterly,mlforecast,without_mstl,4,4,all available configurations included
family_decomposition_all_models,combined_quarterly,neuralforecast,with_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_quarterly,neuralforecast,without_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_quarterly,statistical,with_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_quarterly,statistical,without_mstl,3,3,all available configurations included
family_decomposition_all_models,combined_quarterly,transformer,with_mstl,2,2,all available configurations included
family_decomposition_all_models,combined_quarterly,transformer,without_mstl,2,2,all available configurations included
family_only_all_models,combined_monthly,mlforecast,all,8,8,all available configurations included
family_only_all_models,combined_monthly,neuralforecast,all,6,6,all available configurations included
family_only_all_models,combined_monthly,statistical,all,6,6,all available configurations included
family_only_all_models,combined_monthly,transformer,all,4,4,all available configurations included
family_only_all_models,combined_quarterly,mlforecast,all,8,8,all available configurations included
family_only_all_models,combined_quarterly,neuralforecast,all,6,6,all available configurations included
family_only_all_models,combined_quarterly,statistical,all,6,6,all available configurations included
family_only_all_models,combined_quarterly,transformer,all,4,4,all available configurations included
