matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_only_all_models,feature_bucket,noise_non_normality,all,High,transformer,667,2720,2,1.0111927280181296,1.026911622363575,619.2681257366751,0.5938214869281045,1.0
family_only_all_models,feature_bucket,noise_non_normality,all,High,neuralforecast,667,4080,3,1.0510143368049463,1.0497165996063997,635.27511991707,0.5952784586056645,2.0
family_only_all_models,feature_bucket,noise_non_normality,all,High,statistical,667,4080,3,1.0564364740193606,1.0195799066676865,581.0937525891417,0.5952784586056645,3.0
family_only_all_models,feature_bucket,noise_non_normality,all,High,mlforecast,667,5440,4,1.1475292862417497,1.124546117392857,618.7491129990534,0.587594464869281,4.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,transformer,667,2712,2,1.0131397081118254,0.9686302744897853,571.0733207499846,0.56687356604392,1.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,neuralforecast,667,4068,3,1.1072252460411964,1.0402845994463625,627.6852395579626,0.57336051021523,2.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,statistical,667,4068,3,1.1103421094588886,0.9918041112033564,576.8132867608422,0.5484540587785426,3.0
family_only_all_models,feature_bucket,noise_non_normality,all,Low,mlforecast,667,5424,4,1.1274265724235049,1.0659109824589224,589.5025077169573,0.5643564609963946,4.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,transformer,664,2680,2,1.0175648958996162,0.9302196303796106,620.8607574036324,0.5742278192371476,1.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,statistical,664,4020,3,1.1041284025565377,0.9723230024385272,604.9610242268787,0.5648251796572692,2.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,neuralforecast,664,4020,3,1.1056631812552926,0.9792866269469951,641.990555104881,0.5821621061359867,3.0
family_only_all_models,feature_bucket,noise_non_normality,all,Medium,mlforecast,664,5360,4,1.1231345001990678,0.9934728551226751,624.6694680244269,0.5663842247097844,4.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,High,transformer,334,1340,2,1.000625556243554,0.9707121975531393,634.9963068628335,0.5507048092868988,1.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,High,statistical,334,2010,3,1.0039476727909193,0.9524273740826587,585.5372684812223,0.5473189607517965,2.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,High,neuralforecast,334,2010,3,1.0128460869562244,0.9685305439785196,636.7247716997086,0.5610005527915976,3.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,High,mlforecast,334,2680,4,1.057699945350074,1.0047779806382344,650.8525036440584,0.5479063018242123,4.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Low,transformer,334,1340,2,0.973550972567641,0.9505017281579058,621.9261874056086,0.544485903814262,1.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Low,statistical,334,2010,3,0.9844922310442558,0.9207123609309545,617.1150850732165,0.5216970702045329,2.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Low,neuralforecast,334,2010,3,1.0425466440589233,1.0171047866898473,671.5481025421245,0.5579878385848536,3.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Low,mlforecast,334,2680,4,1.0489340417551465,1.0139343121502031,638.7019489949853,0.5374792703150911,4.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Medium,transformer,332,1328,2,0.9590830624815134,0.93273785134488,717.2580030320012,0.5418340026773761,1.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Medium,statistical,332,1992,3,0.9698044428598783,0.9252076767688503,669.926758930905,0.5342481035252119,2.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Medium,neuralforecast,332,1992,3,0.9837894340163988,0.9535506914005711,737.7962812129629,0.5535475234270415,3.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_monthly,Medium,mlforecast,332,2656,4,1.002620368540338,0.9676960911877053,715.3461846435339,0.5406417336010709,4.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_quarterly,High,transformer,333,1380,2,1.02145360495866,1.0814820783389254,603.9958339185212,0.6356884057971014,1.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_quarterly,High,neuralforecast,333,2070,3,1.0880762605710965,1.1285494362305732,633.8674870266819,0.6285628019323671,2.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_quarterly,High,statistical,333,2070,3,1.1074038607194414,1.0847859890328586,576.7790342591503,0.6418478260869566,3.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_quarterly,High,mlforecast,333,2760,4,1.2347548781220723,1.2408427139516933,587.5762554162226,0.6261322463768116,4.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_quarterly,Low,transformer,333,1372,2,1.0518050912234922,0.9863359975836035,521.406526786037,0.5887390670553936,1.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_quarterly,Low,neuralforecast,333,2058,3,1.1703953092017254,1.0629237751706557,584.8454171098747,0.5883746355685131,2.0
family_only_all_models,feature_bucket_by_seasonality,noise_non_normality,combined_quarterly,Low,mlforecast,333,2744,4,1.2040883735135923,1.1166753689120446,541.4505752734023,0.590606778425656,3.0
