matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,transformer | with_mstl,666,1360,2,1.0545089738779596,0.8314580125462442,476.1792472119783,0.5440359477124184,1.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,neuralforecast | without_mstl,666,2040,3,1.1462499420404735,0.8794949824386061,487.7098925111021,0.5413875272331156,2.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,transformer | without_mstl,666,1360,2,1.1617221045520614,0.896818858479733,486.5199065440266,0.5474673202614379,3.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,mlforecast | with_mstl,666,2720,4,1.1930833994149708,0.9332333454849758,491.5468190735049,0.5525020424836602,4.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,neuralforecast | with_mstl,666,2040,3,1.2036850226542317,0.9014311322338049,496.662741136465,0.5585307734204793,5.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,statistical | without_mstl,666,2040,3,1.2102548355925498,0.9406042301236872,455.19756469942365,0.5454656862745098,6.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,statistical | with_mstl,666,2040,3,1.316442432302629,0.9967824256141753,491.06020669402875,0.5895084422657951,7.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,High,mlforecast | without_mstl,666,2720,4,1.3990387357791731,1.0438990869692417,519.939006089802,0.501858660130719,8.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,statistical | without_mstl,668,2022,3,0.9103904924288417,1.0266656595359378,645.1151097394745,0.4862347510715463,1.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,transformer | with_mstl,668,1348,2,0.9263946204955785,0.9931037561696232,680.4557557987449,0.6486770524233432,2.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,statistical | with_mstl,668,2022,3,0.9645147874630867,1.0270169662836481,683.2857662268382,0.6517268381140785,3.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,transformer | without_mstl,668,1348,2,0.9671198455211363,1.2523260751827754,729.5476480373601,0.5589762611275965,4.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,mlforecast | with_mstl,668,2696,4,0.9948394819693902,1.080072392128975,687.2017852519607,0.6501143669634025,5.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,neuralforecast | with_mstl,668,2022,3,1.009418993848016,1.0619219377374103,729.549922076632,0.648464116935927,6.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,neuralforecast | without_mstl,668,2022,3,1.0417683265842415,1.3329359645364354,789.2844229379524,0.5707907462358501,7.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Low,mlforecast | without_mstl,668,2696,4,1.0433517807562367,1.3162795647002405,713.4868656308173,0.5694083827893175,8.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,transformer | with_mstl,664,1348,2,0.9780558232765842,0.8996412635004256,627.0135748372674,0.6191167985492911,1.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,transformer | without_mstl,664,1348,2,0.9942151431656969,0.9815290402119006,624.5528496732766,0.55234091658424,2.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,statistical | without_mstl,664,2022,3,1.0191431754537972,0.9709812314199873,612.2913756198175,0.5091562259588966,3.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,mlforecast | with_mstl,664,2696,4,1.038041197670574,0.958495069884534,622.3111152503371,0.6201419798878998,4.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,neuralforecast | without_mstl,664,2022,3,1.0541364085209048,1.0116594191720403,657.9284967079275,0.5593746565556655,5.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,neuralforecast | with_mstl,664,2022,3,1.0703584944537838,0.9546916020640626,651.1441328887754,0.623756731508957,6.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,statistical | with_mstl,664,2022,3,1.1174581060038615,1.0065007499201972,640.3742295494851,0.6353239366963402,7.0
family_decomposition_all_models,feature_bucket,seasonality_evolution,all,Medium,mlforecast | without_mstl,664,2696,4,1.1252325838616402,1.0391612576543527,632.9511540220632,0.5436964226838115,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,statistical | without_mstl,333,1008,3,1.006734101273093,0.8428001473811007,404.5150014118724,0.5262896825396826,1.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,transformer | with_mstl,333,672,2,1.016783126280045,0.8101454959162259,487.61593739308984,0.533316798941799,2.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,neuralforecast | without_mstl,333,1008,3,1.0290868666845197,0.8316352428008051,487.75852617510174,0.5248567019400353,3.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,neuralforecast | with_mstl,333,1008,3,1.04450885006924,0.8184844160279146,487.9002666722493,0.5439263668430335,4.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,mlforecast | with_mstl,333,1344,4,1.0622838660267644,0.8612586658709249,501.0957061772874,0.5346395502645502,5.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,transformer | without_mstl,333,672,2,1.0705275635760583,0.8505100509249308,485.4921910382433,0.5067791005291005,6.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,statistical | with_mstl,333,1008,3,1.0960797469507806,0.8660313037572973,455.00758386786106,0.5771053791887125,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,mlforecast | without_mstl,333,1344,4,1.2262673684448047,0.9512088015897553,520.2594690274467,0.4732556216931217,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical | without_mstl,334,1002,3,0.8406430362319188,0.9693872777728817,752.1635242279183,0.4333000665335994,1.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,transformer | with_mstl,334,668,2,0.9019374330605411,0.9706111088537012,830.7148308921186,0.6020459081836328,2.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,transformer | without_mstl,334,668,2,0.9019412161940686,1.161094696398205,848.0955678699931,0.5247005988023952,3.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast | without_mstl,334,1336,4,0.9195026242821637,1.1638585016116876,816.1421920834704,0.5389221556886228,4.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast | with_mstl,334,1336,4,0.9281170055697378,1.0090266462005613,844.9115451775888,0.5998003992015969,5.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical | with_mstl,334,1002,3,0.9339398020764197,0.9896568428533442,825.7506664129414,0.602960745176314,6.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast | with_mstl,334,1002,3,0.9415268870483808,0.9985323441620345,857.686287822234,0.6022399645154136,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast | without_mstl,334,1002,3,0.9530954407910724,1.231209752121028,904.5815631229523,0.5512863162563761,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,transformer | without_mstl,332,664,2,0.9712250214124915,0.9748293438851972,639.5063144921869,0.5181559571619813,1.0
