matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_only_all_models,feature_bucket,spectral_entropy,all,High,transformer,667,2696,2,0.961768597686821,1.0106608075111085,813.1796790023194,0.5797014094955489,1.0
family_only_all_models,feature_bucket,spectral_entropy,all,High,statistical,667,4044,3,0.9966802489758961,0.9889075592182524,789.5898348376654,0.5368756181998022,2.0
family_only_all_models,feature_bucket,spectral_entropy,all,High,mlforecast,667,5392,4,1.023337958469783,1.0547981053841495,800.45955901518,0.5818522296406199,3.0
family_only_all_models,feature_bucket,spectral_entropy,all,High,neuralforecast,667,4044,3,1.0569298156185285,1.082486177361148,873.7280459501496,0.5856859270249477,4.0
family_only_all_models,feature_bucket,spectral_entropy,all,Low,transformer,665,2716,2,1.0841526266791455,0.9481479287878022,466.88713663286,0.5597385861561119,1.0
family_only_all_models,feature_bucket,spectral_entropy,all,Low,neuralforecast,665,4074,3,1.1383660295754492,0.9773922863758251,477.67783632536646,0.5610067910325642,2.0
family_only_all_models,feature_bucket,spectral_entropy,all,Low,statistical,665,4074,3,1.182056297484569,0.9949991659460011,447.2972514902427,0.5526509572901326,3.0
family_only_all_models,feature_bucket,spectral_entropy,all,Low,mlforecast,665,5432,4,1.30309015356778,1.1023315714280284,486.0990956867078,0.5428862911143839,4.0
family_only_all_models,feature_bucket,spectral_entropy,all,Medium,transformer,663,2700,2,0.9954319837760468,0.9678526722314662,532.0996666793885,0.5956893004115226,1.0
family_only_all_models,feature_bucket,spectral_entropy,all,Medium,neuralforecast,663,4050,3,1.0679430629269964,1.0103662818087014,554.7487289612621,0.6042969821673525,2.0
family_only_all_models,feature_bucket,spectral_entropy,all,Medium,mlforecast,663,5400,4,1.0706477742218443,1.0275389019821282,547.2438694819458,0.5939068930041153,3.0
family_only_all_models,feature_bucket,spectral_entropy,all,Medium,statistical,663,4050,3,1.0912238051220675,1.0001271214418948,526.8869095911331,0.6192146776406036,4.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,High,transformer,334,1336,2,0.9167001243396495,0.9743996255221643,943.2567399370358,0.5363023952095808,1.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,High,statistical,334,2004,3,0.9523269209651917,0.9590165206214369,930.4219835786536,0.4750499001996008,2.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,High,mlforecast,334,2672,4,0.9537748374214322,1.0085931440330518,941.9911755695488,0.5363855622089155,3.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,High,neuralforecast,334,2004,3,0.9908851877116049,1.035002743673189,1002.0136348619587,0.5443557329784875,4.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Low,neuralforecast,333,2016,3,1.0403282867805554,0.9014896007499127,469.03859956623126,0.5415013227513228,1.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Low,transformer,333,1344,2,1.0410864099657944,0.8856092792553119,464.5714648607404,0.5293898809523809,2.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Low,statistical,333,2016,3,1.0494647883637662,0.8923727693423763,406.4157228432498,0.5463789682539683,3.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Low,mlforecast,333,2688,4,1.145963396737213,0.9646872136424667,484.0268167957728,0.5124007936507936,4.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Medium,statistical,332,1992,3,0.9560394045833244,0.9473553961753625,536.1072199252868,0.5820504239178937,1.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Medium,transformer,332,1328,2,0.9752465018604305,0.9947633704985318,566.4305098023307,0.571619812583668,2.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Medium,neuralforecast,332,1992,3,1.0080382527999283,1.0035398887954121,575.1513696854513,0.5869868362338242,3.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_monthly,Medium,mlforecast,332,2656,4,1.008999551304757,1.0136708026130623,579.028951361819,0.5776439089692101,4.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,High,transformer,333,1360,2,1.006041745033748,1.046282086288483,685.3980956135096,0.6223345588235294,1.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,High,statistical,333,2040,3,1.0402508711981764,1.0182711088986534,651.2429593097536,0.5976102941176471,2.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,High,mlforecast,333,2720,4,1.0916734950290456,1.1001876850643455,661.4255592235356,0.626516544117647,3.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,High,neuralforecast,333,2040,3,1.1218089500918005,1.1291316681016723,747.7063203720783,0.6262867647058824,4.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Low,transformer,332,1372,2,1.1263399410105914,1.0094102793502417,469.15554979738533,0.5894679300291545,1.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Low,neuralforecast,332,2058,3,1.2344030021092223,1.0517459376012086,486.1407621302336,0.5801141885325559,2.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Low,statistical,332,2058,3,1.3119418574396406,1.0955311462924093,487.34446322607243,0.5587949465500486,3.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Low,mlforecast,332,2744,4,1.4570102418916004,1.2371668606873538,488.12908317170536,0.5727496355685131,4.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Medium,transformer,331,1372,2,1.0149701178751274,0.9418049992732568,498.86981269449973,0.6189868804664723,1.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Medium,neuralforecast,331,2058,3,1.1259267275397853,1.0169737525970746,535.0004003302687,0.6210519922254616,2.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Medium,mlforecast,331,2744,4,1.130318940427305,1.0409622518087458,516.4781342512813,0.6096483236151603,3.0
family_only_all_models,feature_bucket_by_seasonality,spectral_entropy,combined_quarterly,Medium,statistical,331,2058,3,1.2220728458767691,1.0512064590176635,517.9622943405819,0.655187074829932,4.0
family_only_all_models,feature_global,spectral_entropy,all,all,transformer,1986,8112,2,1.0139488448742053,0.9754824367187596,603.681826641944,0.5783390176419023,1.0
family_only_all_models,feature_global,spectral_entropy,all,all,neuralforecast,1986,12168,3,1.087861339883797,1.023295012924789,634.9562849527498,0.5836175487617795,2.0
family_only_all_models,feature_global,spectral_entropy,all,all,statistical,1986,12168,3,1.0902143896741479,0.9946814277927593,587.5478532625622,0.5695631528964862,3.0
family_only_all_models,feature_global,spectral_entropy,all,all,mlforecast,1986,16224,4,1.132749135049754,1.0616399501314024,610.9273375975441,0.5728182185513916,4.0
family_only_all_models,global,all,all,all,transformer,1986,8112,2,1.0139488448742053,0.9754824367187596,603.681826641944,0.5783390176419023,1.0
family_only_all_models,global,all,all,all,neuralforecast,1986,12168,3,1.087861339883797,1.023295012924789,634.9562849527498,0.5836175487617795,2.0
family_only_all_models,global,all,all,all,statistical,1986,12168,3,1.0902143896741479,0.9946814277927593,587.5478532625622,0.5695631528964862,3.0
family_only_all_models,global,all,all,all,mlforecast,1986,16224,4,1.132749135049754,1.0616399501314024,610.9273375975441,0.5728182185513916,4.0
family_only_all_models,seasonality,all,combined_monthly,all,transformer,999,4008,2,0.9778090957042044,0.9513728859877247,657.8829267330863,0.5456864049678422,1.0
family_only_all_models,seasonality,all,combined_monthly,all,statistical,999,6012,3,0.9861301824493645,0.9328051496175837,624.0561101854266,0.534421896946847,2.0
family_only_all_models,seasonality,all,combined_monthly,all,neuralforecast,999,6012,3,1.013148360262993,0.9798070512164597,681.8560661015147,0.5575238412064759,3.0
family_only_all_models,seasonality,all,combined_monthly,all,mlforecast,999,8016,4,1.0365193094168075,0.9955526151281885,668.1593562232863,0.5420131958305611,4.0
family_only_all_models,seasonality,all,combined_quarterly,all,transformer,987,4104,2,1.049243219794616,0.9990280213508229,550.7485885412376,0.6102278265107213,1.0
family_only_all_models,seasonality,all,combined_quarterly,all,neuralforecast,987,6156,3,1.160826647466688,1.0657657123709354,589.1535747080495,0.6091008771929824,2.0
family_only_all_models,seasonality,all,combined_quarterly,all,statistical,987,6156,3,1.1918638786012754,1.0551103076480477,551.8935906536828,0.603882391163093,3.0
family_only_all_models,seasonality,all,combined_quarterly,all,mlforecast,987,8208,4,1.2267279706094154,1.1261813825614422,555.0340796414099,0.6029026559454191,4.0
