matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,transformer | with_mstl,666,1358,2,1.059468799956509,0.8420665254358601,492.8353629758408,0.5625613647520864,1.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,neuralforecast | without_mstl,666,2037,3,1.156807102276743,0.9210442438100434,509.7408871121173,0.5457985599738178,2.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,transformer | without_mstl,666,1358,2,1.179974303329306,0.9474398293098295,518.3503276846533,0.5543384879725085,3.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,statistical | without_mstl,666,2037,3,1.1849979371796655,0.9652240393332236,470.0854672345389,0.5441689848906344,4.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,mlforecast | with_mstl,666,2716,4,1.1891711252566142,0.9418974135448602,497.96820695463384,0.5679461217476681,5.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,neuralforecast | with_mstl,666,2037,3,1.2078438999962462,0.917005249706989,507.7380752864521,0.5760513827524137,6.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,statistical | with_mstl,666,2037,3,1.3115067342125484,1.0218105603549414,501.8379983667615,0.6008563792068946,7.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,High,mlforecast | without_mstl,666,2716,4,1.4109004780766226,1.0879485771400463,544.2372664751123,0.5067705776468663,8.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,Low,statistical | without_mstl,668,2016,3,0.9191761207677476,1.0040192633911171,650.3971241479916,0.4505070546737213,1.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,Low,transformer | with_mstl,668,1344,2,0.9486838779810414,0.9932574299530523,694.3170573410921,0.6264880952380952,2.0
family_decomposition_all_models,feature_bucket,structural_break_strength,all,Low,transformer | without_mstl,668,1344,2,0.9501288061286149,1.1972697019454996,733.731444531851,0.5495205026455027,3.0
