matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_only_all_models,feature_bucket,structural_break_strength,all,High,transformer,666,2716,2,1.1197215516429075,0.8947531773728448,505.59284533024703,0.5584499263622975,1.0
family_only_all_models,feature_bucket,structural_break_strength,all,High,neuralforecast,666,4074,3,1.1823255011364948,0.9190247467585162,508.7394811992847,0.5609249713631157,2.0
family_only_all_models,feature_bucket,structural_break_strength,all,High,statistical,666,4074,3,1.2482523356961068,0.9935172998440825,485.96173280065017,0.5725126820487645,3.0
family_only_all_models,feature_bucket,structural_break_strength,all,High,mlforecast,666,5432,4,1.3000358016666185,1.0149229953424532,521.1027367148731,0.5373583496972673,4.0
family_only_all_models,feature_bucket,structural_break_strength,all,Low,transformer,668,2688,2,0.9494063420548281,1.095263565949276,714.0242509364716,0.588004298941799,1.0
family_only_all_models,feature_bucket,structural_break_strength,all,Low,statistical,668,4032,3,0.9572658252451004,1.015261084620807,673.7493419251861,0.5402784667107584,2.0
family_only_all_models,feature_bucket,structural_break_strength,all,Low,mlforecast,668,5376,4,1.0388243516244988,1.1728084491034185,716.5558801999659,0.5942537822420635,3.0
family_only_all_models,feature_bucket,structural_break_strength,all,Low,neuralforecast,668,4032,3,1.0621054756665864,1.1943549107208267,782.9063117853888,0.5909012621252204,4.0
family_only_all_models,feature_bucket,structural_break_strength,all,Medium,transformer,661,2708,2,0.9719294859357607,0.9375537044484039,592.5330957478814,0.58869296733957,1.0
family_only_all_models,feature_bucket,structural_break_strength,all,Medium,neuralforecast,661,4062,3,1.0186837553393127,0.9580767845761364,614.6886213147432,0.5991472454729472,2.0
family_only_all_models,feature_bucket,structural_break_strength,all,Medium,mlforecast,661,5416,4,1.0581993681796225,0.998147455290194,596.1688787652043,0.5871055924831774,3.0
family_only_all_models,feature_bucket,structural_break_strength,all,Medium,statistical,661,4062,3,1.0636762359775596,0.9754213295485991,603.8692349647114,0.5956733136386017,4.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,High,statistical,333,2016,3,1.0783930627914633,0.8831917853509457,471.4740681365106,0.5514219576719577,1.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,High,neuralforecast,333,2016,3,1.0794798003852946,0.8565500316686437,545.0853435940511,0.5435681216931216,2.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,High,transformer,333,1344,2,1.081557971911857,0.8589740207793837,545.7294152562839,0.5301339285714286,3.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,High,mlforecast,333,2688,4,1.1592603116117803,0.9128702231390797,555.9707150840832,0.5128554894179894,4.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Low,statistical,334,2004,3,0.8721240550015491,0.9500338211804898,773.418419591114,0.5016356176535817,1.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Low,transformer,334,1336,2,0.8908102484194214,1.0351212797016665,832.5199578058206,0.5531852960745176,2.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Low,mlforecast,334,2672,4,0.9268407246981444,1.0696554048582305,833.7772254886067,0.5566367265469062,3.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Low,neuralforecast,334,2004,3,0.9649362638747058,1.1141023600493556,888.7794425279328,0.5618208028387669,4.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Medium,transformer,332,1328,2,0.9603331697624763,0.9606320884261167,595.698623955714,0.5538821954484605,1.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Medium,neuralforecast,332,1992,3,0.9945202768671937,0.9694447783787454,612.1047258487561,0.5673248549754574,2.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Medium,statistical,332,1992,3,1.007448612487392,0.9656838065199319,628.2144077364393,0.5502008032128514,3.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_monthly,Medium,mlforecast,332,2656,4,1.0226387990509118,1.004681988436943,615.0841004647178,0.5568105756358769,4.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,High,transformer,333,1372,2,1.1571062828080183,0.9298021470970517,466.2753890761701,0.5861880466472303,1.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,High,neuralforecast,333,2058,3,1.2830723100356294,0.9802244676628811,473.13537109828906,0.577927599611273,2.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,High,statistical,333,2058,3,1.4146450928271863,1.1015912732251145,500.153730838991,0.593172983479106,3.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,High,mlforecast,333,2744,4,1.4379383225366638,1.1148930579090233,486.9463497409531,0.5613611516034985,4.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Low,transformer,334,1352,2,1.0073089907951414,1.1546941091643694,596.9308601247479,0.6224112426035503,1.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Low,statistical,334,2028,3,1.0414000005745268,1.079716427783724,575.259779971281,0.5784640039447732,2.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Low,mlforecast,334,2704,4,1.149482728528056,1.2747407472628647,600.7217697668121,0.6314256656804734,3.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Low,neuralforecast,334,2028,3,1.1581247559579717,1.2736577270648246,678.2861175013363,0.619637573964497,4.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Medium,transformer,329,1380,2,0.9830888394706314,0.915344940736518,589.4868483130977,0.6221920289855073,1.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Medium,neuralforecast,329,2070,3,1.0419367259269752,0.9471371499602924,617.1751526037509,0.6297705314009662,2.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Medium,mlforecast,329,2760,4,1.0924199738339178,0.991859150928685,577.9664045500205,0.6162590579710145,3.0
family_only_all_models,feature_bucket_by_seasonality,structural_break_strength,combined_quarterly,Medium,statistical,329,2070,3,1.11778513742317,0.9847919314196641,580.4414165293093,0.6394323671497585,4.0
family_only_all_models,feature_global,structural_break_strength,all,all,transformer,1986,8112,2,1.0139488448742053,0.9754824367187596,603.681826641944,0.5783390176419023,1.0
family_only_all_models,feature_global,structural_break_strength,all,all,neuralforecast,1986,12168,3,1.087861339883797,1.023295012924789,634.9562849527498,0.5836175487617795,2.0
family_only_all_models,feature_global,structural_break_strength,all,all,statistical,1986,12168,3,1.0902143896741479,0.9946814277927593,587.5478532625622,0.5695631528964862,3.0
family_only_all_models,feature_global,structural_break_strength,all,all,mlforecast,1986,16224,4,1.132749135049754,1.0616399501314024,610.9273375975441,0.5728182185513916,4.0
family_only_all_models,global,all,all,all,transformer,1986,8112,2,1.0139488448742053,0.9754824367187596,603.681826641944,0.5783390176419023,1.0
family_only_all_models,global,all,all,all,neuralforecast,1986,12168,3,1.087861339883797,1.023295012924789,634.9562849527498,0.5836175487617795,2.0
family_only_all_models,global,all,all,all,statistical,1986,12168,3,1.0902143896741479,0.9946814277927593,587.5478532625622,0.5695631528964862,3.0
family_only_all_models,global,all,all,all,mlforecast,1986,16224,4,1.132749135049754,1.0616399501314024,610.9273375975441,0.5728182185513916,4.0
family_only_all_models,seasonality,all,combined_monthly,all,transformer,999,4008,2,0.9778090957042044,0.9513728859877247,657.8829267330863,0.5456864049678422,1.0
family_only_all_models,seasonality,all,combined_monthly,all,statistical,999,6012,3,0.9861301824493645,0.9328051496175837,624.0561101854266,0.534421896946847,2.0
family_only_all_models,seasonality,all,combined_monthly,all,neuralforecast,999,6012,3,1.013148360262993,0.9798070512164597,681.8560661015147,0.5575238412064759,3.0
family_only_all_models,seasonality,all,combined_monthly,all,mlforecast,999,8016,4,1.0365193094168075,0.9955526151281885,668.1593562232863,0.5420131958305611,4.0
family_only_all_models,seasonality,all,combined_quarterly,all,transformer,987,4104,2,1.049243219794616,0.9990280213508229,550.7485885412376,0.6102278265107213,1.0
family_only_all_models,seasonality,all,combined_quarterly,all,neuralforecast,987,6156,3,1.160826647466688,1.0657657123709354,589.1535747080495,0.6091008771929824,2.0
family_only_all_models,seasonality,all,combined_quarterly,all,statistical,987,6156,3,1.1918638786012754,1.0551103076480477,551.8935906536828,0.603882391163093,3.0
family_only_all_models,seasonality,all,combined_quarterly,all,mlforecast,987,8208,4,1.2267279706094154,1.1261813825614422,555.0340796414099,0.6029026559454191,4.0
